,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ABE141,ABE Principles: Biological,54768,Lecture,MGD,10:00AM - 11:15AM,MW,248 Agricultural Engr Sciences Bld,"Leonelli, L"
1,ABE152,Water in the Global Environment,73114,Online,WGE,01:00PM - 02:50PM,MW,n.a.,"Bhattarai, R & Davidson, P & Kalita, P"
2,ABE199,Undergraduate Open Seminar,10141,Independent Study,,ARRANGED,n.a.,n.a.,
3,ABE199,Undergraduate Open Seminar,68015,Discussion/ Recitation,AMB,08:15PM - 09:15PM,W,248 Agricultural Engr Sciences Bld,"Boone, A"
4,ABE199,Undergraduate Open Seminar,72147,Lecture-Discussion,EWB,06:30PM - 07:50PM,W,208 Agricultural Engr Sciences Bld,"Witmer, A"
5,ABE225,ABE Principles: Bioenvironment,57090,Laboratory,AB1,08:00AM - 09:50AM,F,242 Agricultural Engr Sciences Bld,"Zhang, Y"
6,ABE225,ABE Principles: Bioenvironment,57091,Laboratory,AB2,10:00AM - 11:50AM,F,242 Agricultural Engr Sciences Bld,"Zhang, Y"
7,ABE225,ABE Principles: Bioenvironment,57089,Lecture-Discussion,AE1,08:30AM - 09:50AM,TR,208 Agricultural Engr Sciences Bld,"Zhang, Y"
8,ABE226,ABE Principles: Bioprocessing,57087,Laboratory,AB1,08:00AM - 09:50AM,F,242 Agricultural Engr Sciences Bld,"Singh, V"
9,ABE226,ABE Principles: Bioprocessing,57088,Laboratory,AB2,10:00AM - 11:50AM,F,242 Agricultural Engr Sciences Bld,"Singh, V"
10,ABE226,ABE Principles: Bioprocessing,57086,Lecture-Discussion,AE1,08:30AM - 09:50AM,TR,208 Agricultural Engr Sciences Bld,"Singh, V"
11,ABE397,Independent Study,47262,Independent Study,,ARRANGED,n.a.,n.a.,
12,ABE425,Engrg Measurement Systems,39995,Laboratory,AB1,01:00PM - 02:50PM,F,248 Agricultural Engr Sciences Bld,"Grift, T"
13,ABE425,Engrg Measurement Systems,56252,Laboratory,AB2,03:00PM - 04:50PM,F,248 Agricultural Engr Sciences Bld,"Grift, T"
14,ABE425,Engrg Measurement Systems,39997,Lecture-Discussion,AE1,09:30AM - 10:50AM,TR,272 Agricultural Engr Sciences Bld,"Grift, T"
15,ABE452,Engineering for Disaster Resilience,72308,Lecture-Discussion,LFR,11:00AM - 12:20PM,TR,3038 Campus Instructional Facility,"Rodriguez, L"
16,ABE452,Engineering for Disaster Resilience,73989,Lecture-Discussion,LR1,11:00AM - 12:20PM,TR,Location Pending,"Rodriguez, L"
17,ABE454,Environmental Soil Physics,67702,Lecture-Discussion,MLC,09:00AM - 10:15AM,MW,242 Agricultural Engr Sciences Bld,"Chu, M"
18,ABE456,Land & Water Resources Engrg,29875,Online Lab,G4,03:00PM - 04:50PM,M,n.a.,"Bhattarai, R"
19,ABE456,Land & Water Resources Engrg,40185,Online Lab,U3,03:00PM - 04:50PM,M,n.a.,"Bhattarai, R"
20,ABE469,Industry-Linked Design Project,70549,Discussion/ Recitation,APW,02:00PM - 02:50PM,R,208 Agricultural Engr Sciences Bld,"Witmer, A"
21,ABE497,Independent Study,61168,Independent Study,,ARRANGED,n.a.,n.a.,
22,ABE498,Special Topics,10169,Independent Study,,ARRANGED,n.a.,n.a.,
23,ABE498,Special Topics,73185,Online Lecture,JAG,09:00AM - 10:50AM,R,n.a.,"Guzman Jaimes, J"
24,ABE498,Special Topics,69694,Lecture-Discussion,XW3,ARRANGED,n.a.,Location Pending,"Wang, X"
25,ABE526,Autonomous Systems and Robots,72238,Lecture,GC,09:30AM - 10:50AM,MW,140 Henry Administration Bldg,"Chowdhary, G"
26,ABE594,Graduate Seminar,45390,Lecture-Discussion,A,12:00PM - 12:50PM,F,208 Agricultural Engr Sciences Bld,"Cooke, R & Guzman Jaimes, J"
27,ABE597,Independent Study,10174,Independent Study,,ARRANGED,n.a.,n.a.,
28,ABE598,Special Topics,73440,Lecture-Discussion,KAM,09:00AM - 10:50AM,TR,242 Agricultural Engr Sciences Bld,"Kamruzzaman, M"
29,ABE599,Thesis Research,10177,Independent Study,,ARRANGED,n.a.,n.a.,
