,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ACES102,Intro Sustainable Food Systems,63906,Lecture-Discussion,LR,02:00PM - 03:15PM,TR,166 Bevier Hall,"Ball, A"
1,ACES199,Undergraduate Open Seminar,10094,Independent Study,,ARRANGED,n.a.,n.a.,
2,ACES200,ACES Transfer Orientation,71417,Online Lecture,BJG,ARRANGED,n.a.,n.a.,"Gregg, B"
3,ACES293,International Internship,10098,Independent Study,,ARRANGED,n.a.,n.a.,
4,ACES293,International Internship,11664,Independent Study,OF,ARRANGED,n.a.,n.a.,"Ferguson, R"
5,ACES295,Undergrad Research or Thesis,11769,Independent Study,,ARRANGED,n.a.,n.a.,
6,ACES298,International Experience,10104,Independent Study,,ARRANGED,n.a.,n.a.,
7,ACES298,International Experience,73576,Lecture-Discussion,,02:00PM - 03:50PM,M,122 Bevier Hall,"Ochs, G"
8,ACES299,ACES Study Abroad,10107,Independent Study,,ARRANGED,n.a.,n.a.,
9,ACES299,ACES Study Abroad,30675,Conference,A,ARRANGED,n.a.,Location Pending,"Freter, A"
10,ACES396,Honors Study Abroad Retrospect,58043,Independent Study,,ARRANGED,n.a.,n.a.,"Ball, A"
11,ACES399,Honors Seminar,55117,Lecture-Discussion,JS,03:00PM - 03:50PM,W,107 Animal Sciences Laboratory,"Emmert, J"
