,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ADV150,Introduction to Advertising,60077,Lecture-Discussion,A,02:00PM - 03:20PM,TR,112 Gregory Hall,"Hall, S"
1,ADV150,Introduction to Advertising,65717,Lecture-Discussion,DGS,03:30PM - 04:50PM,TR,219 Gregory Hall,"Hall, S"
2,ADV199,Undergraduate Seminar,43676,Lecture-Discussion,P,05:00PM - 07:50PM,T,5/6/7 Weston Hall,"Hall, S"
3,ADV200,Data Literacy,73628,Laboratory,DL,03:00PM - 04:20PM,R,123 Gregory Hall,"Taneja, H"
4,ADV270,Principles of Sales,70232,Online,A,12:30PM - 01:50PM,MW,n.a.,"Clifton, D"
5,ADV281,Advertising Research Methods,68850,Discussion/ Recitation,D1,03:00PM - 03:50PM,R,70B Wohlers Hall,"Shabalina, O & Vargas, P"
6,ADV281,Advertising Research Methods,68854,Discussion/ Recitation,D3,09:00AM - 09:50AM,F,70B Wohlers Hall,"Shabalina, O & Vargas, P"
7,ADV281,Advertising Research Methods,68855,Discussion/ Recitation,D4,10:00AM - 10:50AM,F,70B Wohlers Hall,"Heo, S & Vargas, P"
8,ADV281,Advertising Research Methods,68856,Discussion/ Recitation,D5,11:00AM - 11:50AM,F,70B Wohlers Hall,"Heo, S & Vargas, P"
9,ADV281,Advertising Research Methods,68852,Lecture,L1,11:00AM - 11:50AM,TR,66 Library,"Vargas, P"
10,ADV283,Advertising and Brand Strategy,60080,Lecture-Discussion,A,12:30PM - 01:50PM,TR,31 Gregory Hall,"Hitchon, J"
11,ADV283,Advertising and Brand Strategy,60081,Lecture-Discussion,B,12:30PM - 01:50PM,TR,215 Gregory Hall,"Mabry-Flynn, A"
12,ADV283,Advertising and Brand Strategy,61736,Lecture-Discussion,C,09:30AM - 10:50AM,TR,215 Gregory Hall,"Hitchon, J"
13,ADV283,Advertising and Brand Strategy,70769,Lecture-Discussion,D,09:30AM - 10:50AM,TR,31 Gregory Hall,"Mabry-Flynn, A"
14,ADV284,Consumer Insight,68858,Discussion/ Recitation,D1,03:30PM - 04:50PM,R,428 Armory,"Duff, B & Pham, G"
15,ADV284,Consumer Insight,68859,Discussion/ Recitation,D2,02:00PM - 03:20PM,R,428 Armory,"Duff, B & Pham, G"
16,ADV284,Consumer Insight,68860,Discussion/ Recitation,D3,10:00AM - 11:20AM,F,428 Armory,"Duff, B & Liu, W"
17,ADV284,Consumer Insight,68865,Discussion/ Recitation,D4,12:00PM - 01:20PM,F,428 Armory,"Duff, B & Liu, W"
18,ADV284,Consumer Insight,68857,Lecture,L1,03:30PM - 04:50PM,T,213 Gregory Hall,"Duff, B"
19,ADV290,Special Topics in Advertising,71950,Lecture-Discussion,INF,03:00PM - 04:20PM,MW,223 Gregory Hall,"Wilson, C"
20,ADV290,Special Topics in Advertising,73632,Online,SMB,ARRANGED,n.a.,n.a.,"Muirhead, S"
21,ADV305,"Digital Advertising Content, Technologies and Concepts",67033,Lecture-Discussion,A,11:00AM - 12:20PM,TR,160 English Building,"Fisher, J"
22,ADV310,Intro to Public Relations,54936,Lecture-Discussion,A,12:00PM - 12:50PM,MWF,213 Gregory Hall,"Wilson, C"
23,ADV311,Classic Campaigns,65258,Lecture-Discussion,A,10:00AM - 11:20AM,TR,2233 Everitt Laboratory,"Chambers, J"
24,ADV314,Sports Public Relations,73629,Lecture-Discussion,SPR,11:00AM - 01:50PM,M,147 Armory,"Warren, S"
25,ADV320,Sales Management,70233,Online,A,ARRANGED,n.a.,n.a.,"Clifton, D"
26,ADV350,Writing for Public Relations,62664,Lecture-Discussion,C,05:00PM - 06:20PM,MW,2039 Campus Instructional Facility,"Vance, A"
27,ADV370,Sales and the Consumer,70234,Online,A,ARRANGED,n.a.,n.a.,"Clifton, D"
28,ADV390,Content Creation,60085,Lecture-Discussion,A,11:00AM - 12:20PM,TR,213 Gregory Hall,"Sheldon, P"
29,ADV392,Advertising Immersion,73423,Lecture-Discussion,AMZ,12:00PM - 12:50PM,W,146 Armory,"Hall, S"
30,ADV393,Advertising and Society,60086,Lecture-Discussion,A,01:30PM - 02:50PM,MW,1024 Chemistry Annex,"Nelson, M"
31,ADV396,Research Experience in Advertising,67032,Independent Study,,ARRANGED,n.a.,n.a.,
32,ADV400,Special Problems,10112,Independent Study,,ARRANGED,n.a.,n.a.,
33,ADV400,Special Problems,30686,Lecture-Discussion,NSA,06:00PM - 08:50PM,W,2036 Campus Instructional Facility,"Duff, B"
34,ADV409,Media Entrepreneurship,68732,Online,A,01:00PM - 02:20PM,TR,n.a.,"Kasdan, T"
35,ADV410,Public Relations Strategies,50144,Lecture-Discussion,A,11:00AM - 12:20PM,TR,31 Gregory Hall,"Wirtz, J"
36,ADV410,Public Relations Strategies,39501,Lecture-Discussion,B,02:00PM - 03:20PM,TR,215 Gregory Hall,"Wirtz, J"
37,ADV410,Public Relations Strategies,71952,Lecture-Discussion,C,03:00PM - 04:20PM,MW,2039 Campus Instructional Facility,"Vance, A"
38,ADV454,Creative Concepts II,52662,Lecture-Discussion,A,02:00PM - 03:50PM,TR,31 Gregory Hall,"Sheldon, P"
39,ADV460,Innovation in Advertising,71954,Lecture-Discussion,A,10:00AM - 11:20AM,MW,1000 Siebel Center for Design,"Yao, M"
40,ADV460,Innovation in Advertising,60087,Lecture-Discussion,D,01:30PM - 02:50PM,MW,215 Gregory Hall,"Wang, M"
41,ADV460,Innovation in Advertising,61526,Lecture-Discussion,E,12:30PM - 01:50PM,MW,1000 Siebel Center for Design,"Yao, M"
42,ADV461,Computational Advertising,70249,Lecture-Discussion,A,10:00AM - 12:50PM,W,206 David Kinley Hall,"Maslowska, E"
43,ADV476,Global Advertising,58592,Lecture-Discussion,B,01:00PM - 02:20PM,MW,217 Gregory Hall,"Sar, S"
44,ADV478,Psychology of Advertising,70640,Lecture-Discussion,A,02:00PM - 03:20PM,TR,317 Gregory Hall,"Vargas, P"
45,ADV483,Audience Analysis,57841,Lecture-Discussion,C,10:00AM - 11:20AM,MW,205 Gregory Hall,"Wise, K"
46,ADV483,Audience Analysis,61524,Lecture-Discussion,D,03:00PM - 04:20PM,MW,311 Gregory Hall,"Wise, K"
47,ADV483,Audience Analysis,68912,Lecture-Discussion,E,12:30PM - 01:50PM,TR,317 Gregory Hall,"Taneja, H"
48,ADV490,Advanced Special Topics in Advertising,62620,Online,MS,ARRANGED,n.a.,n.a.,"Clifton, D"
49,ADV490,Advanced Special Topics in Advertising,61427,Lecture-Discussion,SM2,09:30AM - 10:50AM,MW,70B Wohlers Hall,"Su, L"
50,ADV490,Advanced Special Topics in Advertising,63850,Lecture-Discussion,SMA,11:00AM - 12:20PM,MW,70B Wohlers Hall,"Su, L"
51,ADV491,Advertising Management Plan,41469,Lecture-Discussion,A,03:30PM - 04:50PM,TR,215 Gregory Hall,"Peacock, M"
52,ADV492,Tech and Advertising Campaigns,64125,Lecture-Discussion,U,03:00PM - 04:20PM,MW,113 Gregory Hall,"Maslowska, E"
53,ADV495,Internship Seminar,49210,Online,1,ARRANGED,n.a.,n.a.,"Peacock, M"
54,ADV495,Internship Seminar,49742,Online,2,ARRANGED,n.a.,n.a.,"Peacock, M"
55,ADV495,Internship Seminar,73777,Internship,EF,ARRANGED,n.a.,Location Pending,"Phillips, M"
56,ADV498,The Sandage Project,63424,Lecture-Discussion,A,01:00PM - 02:50PM,MWF,31 Gregory Hall,"Peacock, M"
57,ADV498,The Sandage Project,63425,Lecture-Discussion,B,01:00PM - 02:50PM,MWF,31 Gregory Hall,"Meron, S"
58,ADV498,The Sandage Project,63426,Lecture-Discussion,C,09:00AM - 10:50AM,MWF,31 Gregory Hall,"Meron, S"
59,ADV498,The Sandage Project,63427,Lecture-Discussion,D,09:00AM - 10:50AM,MWF,31 Gregory Hall,"Meron, S"
60,ADV582,Qualitative Rsrch in Advert,30749,Lecture-Discussion,A,10:30AM - 11:50AM,MW,307 David Kinley Hall,"Nelson, M"
61,ADV588,Graduate Seminar II,57001,Lecture-Discussion,A,02:00PM - 04:50PM,T,336 Gregory Hall,"Sar, S"
62,ADV590,Special Topics in Advertising,10116,Independent Study,,ARRANGED,n.a.,n.a.,
63,ADV590,Special Topics in Advertising,52664,Lecture-Discussion,CA,10:00AM - 12:50PM,W,206 David Kinley Hall,"Maslowska, E"
64,ADV598,Professional Project,71047,Laboratory-Discussion,A,ARRANGED,n.a.,Location Pending,
65,ADV598,Professional Project,67375,Laboratory-Discussion,CDH,ARRANGED,n.a.,Location Pending,"Ham, C"
66,ADV599,Thesis Research,10120,Independent Study,,ARRANGED,n.a.,n.a.,
