,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,AFRO100,Intro to African American St,46379,Online Lecture,AD3,ARRANGED,n.a.,n.a.,"McMillion, D"
1,AFRO101,"Black America, 1619-Present",45869,Discussion/ Recitation,AD2,09:00AM - 09:50AM,W,333 Armory,"McDuffie, E"
2,AFRO101,"Black America, 1619-Present",45872,Discussion/ Recitation,AD3,10:00AM - 10:50AM,W,333 Armory,"McDuffie, E"
3,AFRO101,"Black America, 1619-Present",43585,Lecture,AL1,09:00AM - 10:50AM,M,333 Armory,"McDuffie, E"
4,AFRO103,Black Women in the Diaspora,44761,Lecture-Discussion,A,09:30AM - 10:50AM,TR,145 Armory,"McDuffie, E"
5,AFRO105,Black Literature in America,61994,Lecture-Discussion,IR,11:00AM - 12:20PM,TR,137 Henry Administration Bldg,"Hunt, I"
6,AFRO132,African American Music,72386,Discussion/ Recitation,ADA,03:00PM - 03:50PM,F,219 David Kinley Hall,"Balekita, J & Meyers, J"
7,AFRO132,African American Music,72387,Discussion/ Recitation,ADB,03:00PM - 03:50PM,F,222 David Kinley Hall,"Meyers, J & Payne, R"
8,AFRO132,African American Music,72388,Discussion/ Recitation,ADC,04:00PM - 04:50PM,F,219 David Kinley Hall,"Balekita, J & Meyers, J"
9,AFRO132,African American Music,72389,Discussion/ Recitation,ADD,04:00PM - 04:50PM,F,222 David Kinley Hall,"Meyers, J & Payne, R"
10,AFRO132,African American Music,65553,Lecture,AFR,03:00PM - 03:50PM,MW,1030 Music Building,"Meyers, J"
11,AFRO134,"Religion, Race, and Resistance",72100,Discussion/ Recitation,ADA,11:00AM - 11:50AM,F,136 Davenport Hall,"Justice, D"
12,AFRO134,"Religion, Race, and Resistance",72101,Discussion/ Recitation,ADB,12:00PM - 12:50PM,F,136 Davenport Hall,"Justice, D"
13,AFRO134,"Religion, Race, and Resistance",72099,Lecture,AL,11:00AM - 11:50AM,MW,1092 Lincoln Hall,"Justice, D & McKinnis, L"
14,AFRO201,US Racial & Ethnic Politics,46980,Online,OL1,ARRANGED,n.a.,n.a.,"Agosto Rosa, R"
15,AFRO201,US Racial & Ethnic Politics,46979,Online,OL2,ARRANGED,n.a.,n.a.,"Jung, S"
16,AFRO201,US Racial & Ethnic Politics,46978,Online,OL3,ARRANGED,n.a.,n.a.,"Khan, A"
17,AFRO201,US Racial & Ethnic Politics,46977,Online,OL4,ARRANGED,n.a.,n.a.,"Cho, H"
18,AFRO215,US Citizenship Comparatively,52318,Lecture-Discussion,A,01:00PM - 02:20PM,MW,115 David Kinley Hall,"Park, D"
19,AFRO220,Intro to Research Methods AfAm,45863,Lecture-Discussion,A,11:00AM - 12:20PM,TR,214 Davenport Hall,"Sullers, A"
20,AFRO221,History of the Prison,64304,Lecture,RG,11:00AM - 12:20PM,MW,2 Education Building,"Ginsburg, R & Nyankalwa, M & Scarborough, A"
21,AFRO224,Humanist Persp of Afro-Am Exp,39646,Lecture-Discussion,1,02:00PM - 04:50PM,MW,113 David Kinley Hall,"Ngumbi, E"
22,AFRO226,Black Women Contemp US Society,63815,Lecture-Discussion,DMC,02:00PM - 04:50PM,TR,2018 Campus Instructional Facility,
23,AFRO228,Hip Hop Music: History and Culture,70808,Lecture-Discussion,JPM,12:30PM - 01:50PM,MW,313 Davenport Hall,"Meyers, J"
24,AFRO259,Early African American Literature and Culture,50054,Lecture-Discussion,D,01:00PM - 01:50PM,MWF,104 English Building,"Freeburg, C"
25,AFRO260,Modern African American Literature and Culture,49623,Lecture-Discussion,S,02:00PM - 03:20PM,TR,137 Henry Administration Bldg,"Hunt, I"
26,AFRO261,Intro to the African Diaspora,69407,Lecture-Discussion,A,01:00PM - 02:20PM,MW,430 Armory,"McDuffie, E"
27,AFRO298,Spec Topics African-Am Studies,57488,Lecture-Discussion,FN,04:00PM - 05:20PM,MW,1024 Lincoln Hall,"Ngo, F"
28,AFRO310,Race and Cultural Diversity,33076,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,22 Education Building,"Anderson, J & Livingston, C & Studamire, D"
29,AFRO310,Race and Cultural Diversity,45581,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,42A Education Building,"Anderson, J & Perkins-Williams, R & Studamire, D"
30,AFRO310,Race and Cultural Diversity,33075,Lecture,L,02:00PM - 03:50PM,T,22 Education Building,"Anderson, J & Livingston, C & Perkins-Williams, R & Studamire, D"
31,AFRO340,Dancing Black Popular Culture,52020,Online Lab,OL,ARRANGED,n.a.,n.a.,"Bowie, J & MacMaster, C"
32,AFRO342,Black Men and Masculinities,43467,Lecture,A,03:30PM - 04:45PM,TR,212 Davenport Hall,"Nance, C"
33,AFRO343,Criminalization and Punishment,69448,Lecture-Discussion,A,03:30PM - 04:50PM,TR,106 David Kinley Hall,"Velasquez Estrada, R"
34,AFRO398,Spec Topics Afro-Am Studies,66281,Independent Study,DMC,ARRANGED,n.a.,n.a.,"McMillion, D"
35,AFRO421,Racial and Ethnic Families,68792,Online,A,ARRANGED,n.a.,n.a.,"Barnett, B"
36,AFRO421,Racial and Ethnic Families,68793,Online,B,ARRANGED,n.a.,n.a.,"Barnett, B"
37,AFRO465,"Race, Sex, and Deviance",48490,Lecture-Discussion,G,12:30PM - 01:50PM,TR,1051 Lincoln Hall,"Flores, N"
38,AFRO465,"Race, Sex, and Deviance",48489,Lecture-Discussion,U,12:30PM - 01:50PM,TR,1051 Lincoln Hall,"Flores, N"
39,AFRO495,Senior Thesis Seminar,50165,Lecture-Discussion,A1,02:00PM - 04:50PM,R,313 Davenport Hall,"Bailey, R & Sullers, A"
40,AFRO498,Spec Topics African Am Studies,62132,Lecture,LMG,02:00PM - 04:50PM,M,1111 Siebel Center for Comp Sci,"McKinnis, L"
41,AFRO498,Spec Topics African Am Studies,62131,Lecture,LMU,02:00PM - 04:50PM,M,1111 Siebel Center for Comp Sci,"McKinnis, L"
42,AFRO501,Problems African American Hist,40164,Discussion/ Recitation,A,02:00PM - 03:50PM,R,243 Armory,"Cha-Jua, S"
43,AFRO531,Race and Cultural Critique,52840,Online,A,02:00PM - 04:50PM,W,n.a.,"Sharif, L"
44,AFRO595,Directed Independent Readings,63147,Independent Study,FH,ARRANGED,n.a.,n.a.,"Harrison, F"
