,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,AFST103,Black Women in the Diaspora,44764,Lecture-Discussion,A,09:30AM - 10:50AM,TR,145 Armory,"McDuffie, E"
1,AFST112,History of Africa from 1800,71778,Lecture-Discussion,A,09:00AM - 09:50AM,MWF,1002 Lincoln Hall,"LoBue, A"
2,AFST199,Undergraduate Open Seminar,10130,Independent Study,,ARRANGED,n.a.,n.a.,
3,AFST232,Elementary Swahili II,63321,Laboratory,A,10:00AM - 10:50AM,R,G8A Foreign Languages Building,"Gathogo, M & Wawire, G"
4,AFST232,Elementary Swahili II,63323,Laboratory,B,01:00PM - 01:50PM,R,G8A Foreign Languages Building,"Gathogo, M"
5,AFST242,Elementary Wolof II,30889,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Gathogo, M & Saadah, E"
6,AFST254,Economic Systems in Africa,44221,Lecture-Discussion,D,02:00PM - 03:20PM,TR,150 Animal Sciences Laboratory,
7,AFST406,Topics Swahili Lang & Lit II,45638,Lecture-Discussion,A1,ARRANGED,n.a.,Location Pending,"Gathogo, M"
8,AFST408,Adv Topics Swahili Lang&Lit II,56162,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Gathogo, M"
9,AFST434,Intermediate Swahili II,30977,Laboratory,CI,02:00PM - 02:50PM,W,G13 Foreign Languages Building,"Gathogo, M"
10,AFST436,Advanced Swahili II,39527,Lecture-Discussion,A,11:00AM - 12:20PM,TF,1112 Foreign Languages Building,"Gathogo, M"
11,AFST444,Intermediate Wolof II,30988,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Gathogo, M"
12,AFST446,Advanced Wolof II,62851,Lecture-Discussion,A1,ARRANGED,n.a.,Location Pending,"Gathogo, M & Saadah, E"
13,AFST490,Independent Study,69944,Independent Study,,ARRANGED,n.a.,n.a.,
14,AFST510,Problems in African History,32427,Discussion/ Recitation,A,02:00PM - 03:50PM,T,221 Gregory Hall,"Barnes, T"
15,AFST515,Practicum in African Studies,31025,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Barro, M"
16,AFST522,Development of African Studies,63685,Seminar,B,02:00PM - 03:50PM,R,Location Pending,"Barro, M"
17,AFST550,Special Topics,10134,Independent Study,,ARRANGED,n.a.,n.a.,
18,AFST599,Thesis Research,10137,Independent Study,,ARRANGED,n.a.,n.a.,
