,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,AHS199,Undergraduate Open Seminar,66133,Online,MN2,ARRANGED,n.a.,n.a.,"Firkins, C"
1,AHS199,Undergraduate Open Seminar,63179,Lecture-Discussion,SAI,06:00PM - 07:20PM,W,1001 Huff Hall,"Kimme, K"
2,AHS292,AHS Study Abroad,46523,Study Abroad,A,ARRANGED,n.a.,n.a.,"Klebek, C"
3,AHS375,Comm Partners & Health,58342,Lecture-Discussion,A,05:00PM - 05:50PM,M,1001 Huff Hall,"Strohman, A"
4,AHS375,Comm Partners & Health,58337,Lecture-Discussion,C,12:30PM - 01:20PM,T,144 Armory,"Strohman, A"
5,AHS375,Comm Partners & Health,58340,Lecture-Discussion,D,12:30PM - 01:20PM,R,144 Armory,"Strohman, A"
6,AHS399,Advanced Open Seminar,62500,Online,RG,ARRANGED,n.a.,n.a.,"Firkins, C"
7,AHS494,Special Topics,65380,Online,AD2,ARRANGED,n.a.,n.a.,"McCarthy, M & Rangin, H & Thompson, M"
8,AHS494,Special Topics,65381,Online,AD3,ARRANGED,n.a.,n.a.,"McCarthy, M & Thompson, M"
9,AHS494,Special Topics,73441,Online,SM,ARRANGED,n.a.,n.a.,"Clay, S"
