,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,AIS101,Intro to Amer Indian Studies,48361,Lecture-Discussion,A1,12:30PM - 01:45PM,TR,219 David Kinley Hall,"Ridgway, M"
1,AIS265,Intro to American Indian Lit,65548,Online,A,12:30PM - 01:45PM,TR,n.a.,"Rymhs, D"
2,AIS285,Indigenous Thinkers,67574,Lecture-Discussion,A,11:00AM - 12:15PM,TR,115 David Kinley Hall,"Tapia Arce, A"
3,AIS285,Indigenous Thinkers,60074,Lecture-Discussion,B,10:00AM - 10:50AM,MWF,223 David Kinley Hall,"Ryan Burchfield, R"
4,AIS285,Indigenous Thinkers,52585,Lecture-Discussion,C,11:00AM - 11:50AM,MWF,223 David Kinley Hall,"Ryan Burchfield, R"
5,AIS288,American Indians of Illinois,55150,Lecture,AL1,11:00AM - 12:20PM,TR,307 Gregory Hall,"Lehman, D"
6,AIS295,US Citizenship Comparatively,52319,Lecture-Discussion,A,01:00PM - 02:20PM,MW,115 David Kinley Hall,"Park, D"
7,AIS343,Criminalization and Punishment,69446,Lecture-Discussion,A,03:30PM - 04:50PM,TR,106 David Kinley Hall,"Velasquez Estrada, R"
8,AIS491,Readings in Am Ind Studies,46273,Independent Study,,ARRANGED,n.a.,n.a.,
9,AIS502,Indigenous Decolonial Methods,62617,Lecture-Discussion,A,04:00PM - 07:00PM,T,325 Gregory Hall,"Davis, J"
