,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ALEC295,Independent Study or Research,71094,Independent Study,,ARRANGED,n.a.,n.a.,
1,ALEC295,Independent Study or Research,73583,Independent Study,JAS,ARRANGED,n.a.,n.a.,"Smist, J"
2,ALEC393,"Internship in Agricultural Leadership, Education and Communications",72254,Internship,JAS,ARRANGED,n.a.,Location Pending,"Smist, J"
3,ALEC396,Honors Research or Thesis,71084,Independent Study,,ARRANGED,n.a.,n.a.,
4,ALEC410,"Program Planning, Implementation and Evaluation",72257,Online,XM,ARRANGED,n.a.,n.a.,"Leman, A"
5,ALEC499,Seminar,73131,Online,LMR,05:30PM - 07:20PM,W,n.a.,"Ruiz, L"
6,ALEC499,Seminar,73920,Online,SPB,05:30PM - 07:20PM,W,n.a.,"Morgan, E & Ruiz, L"
7,ALEC540,Volunteer Management,72261,Online,XM,05:30PM - 08:20PM,M,n.a.,"Taylor, A"
8,ALEC549,Independent Study,71055,Independent Study,,ARRANGED,n.a.,n.a.,
9,ALEC549,Independent Study,73387,Independent Study,ELM,ARRANGED,n.a.,n.a.,"Morgan, E"
10,ALEC595,Capstone Curriculum Project,72262,Online,A,05:30PM - 08:20PM,M,n.a.,"Tracy, M"
11,ALEC599,Thesis Research,71063,Independent Study,,ARRANGED,n.a.,n.a.,
