,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ANTH101,Introduction to Anthropology,54598,Online,ONL,ARRANGED,n.a.,n.a.,"Jelinek, P"
1,ANTH103,Anthro in a Changing World,54206,Online,ONL,ARRANGED,n.a.,n.a.,"Cox, N"
2,ANTH110,Humanizing Science,70671,Lecture-Discussion,1,09:30AM - 10:50AM,TR,312 Davenport Hall,"Clancy, K"
3,ANTH199,Undergraduate Open Seminar,10268,Independent Study,,ARRANGED,n.a.,n.a.,
4,ANTH209,"Food, Culture, and Society",43563,Lecture-Discussion,1,11:00AM - 12:20PM,MW,114 David Kinley Hall,"Silverman, H"
5,ANTH210,Families in Global Perspective,33812,Online Lecture,AL1,11:00AM - 12:20PM,TR,n.a.,"Codamon, A & Kramer, K & Sahin, E"
6,ANTH221,Archaeology of South Asia,73121,Lecture-Discussion,1,12:00PM - 12:50PM,MWF,329 Davenport Hall,"Riggs, E"
7,ANTH240,Biological Anthropology,30050,Discussion/ Recitation,ADA,09:00AM - 09:50AM,F,116 Davenport Hall,"Jelinek, P"
8,ANTH240,Biological Anthropology,30051,Discussion/ Recitation,ADB,11:00AM - 11:50AM,F,116 Davenport Hall,"Jelinek, P"
9,ANTH240,Biological Anthropology,30054,Lecture,AL1,11:00AM - 11:50AM,MW,329 Davenport Hall,"Jelinek, P"
10,ANTH242,History of Human Evolution,72172,Lecture-Discussion,L,09:30AM - 10:50AM,TR,212 Davenport Hall,"Ambrose, S"
11,ANTH246,Forensic Science,70382,Online,OL2,ARRANGED,n.a.,n.a.,"Farley, M"
12,ANTH246,Forensic Science,63359,Online,ONL,ARRANGED,n.a.,n.a.,"Hughes, C"
13,ANTH249,Evolution and Human Disease,43609,Online Lecture,1,12:00PM - 12:50PM,M,n.a.,"Brinkworth, J"
14,ANTH250,The World Through Museums,57616,Lecture-Discussion,1,10:00AM - 10:50AM,MWF,1092 Lincoln Hall,"Frankenberg, S"
15,ANTH261,Intro to the African Diaspora,69411,Lecture-Discussion,A,01:00PM - 02:20PM,MW,430 Armory,"McDuffie, E"
16,ANTH268,Images of the Other,72181,Online Lecture,1,05:30PM - 08:20PM,T,n.a.,"Dominguez, V"
17,ANTH270,Language in Culture,30080,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,329 Davenport Hall,"Kramer, E"
18,ANTH270,Language in Culture,43580,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,329 Davenport Hall,"Kramer, E"
19,ANTH270,Language in Culture,30081,Lecture,AL1,02:00PM - 02:50PM,MW,223 Gregory Hall,"Kramer, E"
20,ANTH272,Language and Culture in Turkey,70895,Online,A,11:00AM - 12:20PM,TR,n.a.,"Ozcan, A & Saadah, E"
21,ANTH278,Climate Change & Civilization,56878,Lecture-Discussion,1,11:00AM - 12:20PM,TR,2055 Sidney Lu Mech Engr Bldg,"Lucero, L"
22,ANTH279,"Economy, Business & Society",72212,Lecture,AL1,11:00AM - 12:20PM,TR,161 Noyes Laboratory,"Orta, A"
23,ANTH285,Intro to Korea Through Film,52438,Lecture-Discussion,A,02:00PM - 03:20PM,MW,110 Speech & Hearing Science Bldg,"Song, M"
24,ANTH288,American Indians of Illinois,30092,Lecture,AL1,11:00AM - 12:20PM,TR,307 Gregory Hall,"Lehman, D"
25,ANTH342,Animal Behavior,56887,Lecture,A,03:00PM - 03:50PM,MWF,2079 Natural History Building,"Hardin, F & Suarez, A"
26,ANTH346,Forensic Anthropology,60574,Lecture-Discussion,1,11:00AM - 01:50PM,T,116 Davenport Hall,"Hughes, C"
27,ANTH346,Forensic Anthropology,73541,Lecture-Discussion,2,01:00PM - 03:50PM,W,116 Davenport Hall,"Sgheiza, V"
28,ANTH350,Cultures of Law,72292,Lecture-Discussion,1,11:00AM - 12:20PM,MW,214 Davenport Hall,"Fok, B"
29,ANTH361,Ecology and Human Health,56918,Lecture,A,12:30PM - 01:50PM,TR,100 Gregory Hall,"Allan, B"
30,ANTH372,Topics in Lang & Culture,65188,Lecture-Discussion,3,12:30PM - 01:50PM,TR,113 Davenport Hall,"Smalls, K"
31,ANTH390,Individual Study,10274,Independent Study,,ARRANGED,n.a.,n.a.,
32,ANTH399,Special Topics,12209,Lecture-Discussion,KB,09:30AM - 10:50AM,TR,329 Davenport Hall,"Bishop, K"
33,ANTH403,Women in Muslim Societies,70411,Lecture-Discussion,G4,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
34,ANTH403,Women in Muslim Societies,70410,Lecture-Discussion,U3,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
35,ANTH411,Research Methods in Socio-Cultural Anthropology,30142,Lecture-Discussion,1,12:00PM - 01:20PM,MW,312 Davenport Hall,"Moodie, E"
36,ANTH420,Case Studies Global Heritage,54620,Lecture-Discussion,1G,05:00PM - 06:20PM,TR,169 Davenport Hall,"Riggs, E"
37,ANTH420,Case Studies Global Heritage,54619,Lecture-Discussion,1U,05:00PM - 06:20PM,TR,169 Davenport Hall,"Riggs, E"
38,ANTH432,Genes and Behavior,48569,Lecture,AL1,08:00AM - 09:20AM,TR,2020 Natural History Building,"Dolezal, A"
39,ANTH436,Biogeography,52942,Lecture-Discussion,A,09:30AM - 10:50AM,TR,2083 Natural History Building,"Punyasena, S"
40,ANTH444,Methods in Bioanthropology,10292,Independent Study,,ARRANGED,n.a.,n.a.,
41,ANTH445,Research in Bioanthropology,10294,Independent Study,,ARRANGED,n.a.,n.a.,
42,ANTH447,Advanced Skeletal Biology,67040,Lecture-Discussion,1,10:00AM - 10:50AM,MWF,136 Davenport Hall,"Konigsberg, L"
43,ANTH449,North American Archeology,43603,Online,1G,08:00AM - 09:20AM,TR,n.a.,"Ritchison, B"
44,ANTH449,North American Archeology,43602,Online,1U,08:00AM - 09:20AM,TR,n.a.,"Ritchison, B"
45,ANTH450,Zooarchaeology,72329,Lecture-Discussion,1G,03:00PM - 05:50PM,W,230 Davenport Hall,"Bishop, K"
