,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ARAB150,Lang&Culture of Arab World,52738,Online,A,ARRANGED,n.a.,n.a.,"Saadah, E"
1,ARAB150,Lang&Culture of Arab World,66045,Lecture,A1,02:00PM - 03:50PM,M,G36 Foreign Languages Building,"Saadah, E"
2,ARAB202,Elementary Standard Arabic II,30198,Laboratory,BE1,11:00AM - 11:50AM,M,G3 Foreign Languages Building,"El Karkafi, J & Saadah, E"
3,ARAB202,Elementary Standard Arabic II,30202,Laboratory,CE1,01:00PM - 01:50PM,M,G8A Foreign Languages Building,"Layek, M & Saadah, E"
4,ARAB202,Elementary Standard Arabic II,41477,Laboratory,DE1,10:00AM - 10:50AM,M,G3 Foreign Languages Building,"El Karkafi, J & Saadah, E"
5,ARAB211,Colloquial Arabic II,58607,Laboratory,A,02:00PM - 03:20PM,T,G3 Foreign Languages Building,"El Karkafi, J & Saadah, E"
6,ARAB404,Intermediate Stand Arabic II,38896,Laboratory,B,12:00PM - 12:50PM,R,G8A Foreign Languages Building,"Mohamed, M & Saadah, E"
7,ARAB406,Advanced Standard Arabic II,30207,Laboratory,A,10:00AM - 10:50AM,M,G8A Foreign Languages Building,"Saadah, E"
8,ARAB408,Topics Stand Arabic LangLit II,52012,Laboratory,C1,12:00PM - 12:50PM,W,G8A Foreign Languages Building,"Ahyad, H & Saadah, E"
9,ARAB410,AdvTop Stand Arabic LangLit II,54865,Lecture-Discussion,A,03:00PM - 04:20PM,WF,1140 Foreign Languages Building,"Ahyad, H & Saadah, E"
10,ARAB413,Arabic-English Translation,61956,Lecture-Discussion,G4,01:00PM - 02:20PM,MW,1136 Foreign Languages Building,"Ahyad, H & Saadah, E & Tolliver, J"
11,ARAB413,Arabic-English Translation,61958,Lecture-Discussion,U3,01:00PM - 02:20PM,MW,1136 Foreign Languages Building,"Ahyad, H & Saadah, E & Tolliver, J"
