,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ARCH172,Drawing and Modeling,67071,Laboratory,AB,03:00PM - 05:50PM,TR,ARR Architecture Annex,"Bliss, A"
1,ARCH199,Undergraduate Open Seminar,10337,Independent Study,,ARRANGED,n.a.,n.a.,
2,ARCH199,Undergraduate Open Seminar,67520,Conference,DDF,12:00PM - 12:50PM,MWF,17 Temple Hoyne Buell Hall,"Hemingway, E"
3,ARCH222,Islamic Gardens & Architecture,73057,Lecture-Discussion,A1,09:30AM - 10:20AM,R,102B Architecture Building,
4,ARCH222,Islamic Gardens & Architecture,73060,Lecture-Discussion,B1,10:30AM - 11:20AM,R,102B Architecture Building,
5,ARCH222,Islamic Gardens & Architecture,73063,Lecture-Discussion,C1,09:30AM - 10:20AM,F,215 David Kinley Hall,
6,ARCH222,Islamic Gardens & Architecture,73066,Lecture-Discussion,D1,10:30AM - 11:20AM,F,317 David Kinley Hall,
7,ARCH222,Islamic Gardens & Architecture,58986,Online Lecture,DFR,ARRANGED,n.a.,n.a.,"Ruggles, D"
8,ARCH232,Structural Fundamentals,67166,Laboratory,AB1,09:30AM - 10:50AM,TR,ARR Architecture Annex,"Uihlein, M"
9,ARCH232,Structural Fundamentals,67165,Lecture,AL1,08:00AM - 09:20AM,TR,134 Temple Hoyne Buell Hall,"Uihlein, M"
10,ARCH274,Representation,68735,Laboratory,AB,12:30PM - 03:20PM,TR,ARR Architecture Annex,"Melgarejo De Berry, A & Yi, Y"
11,ARCH314,History of World Landscapes,64531,Lecture-Discussion,A,09:30AM - 10:20AM,R,170 Wohlers Hall,"Kletzing, D"
12,ARCH314,History of World Landscapes,64532,Lecture-Discussion,B,10:30AM - 11:20AM,R,170 Wohlers Hall,"Kletzing, D"
13,ARCH314,History of World Landscapes,64533,Lecture-Discussion,C,02:30PM - 03:20PM,R,102B Architecture Building,"Champagne, A"
14,ARCH314,History of World Landscapes,64534,Lecture-Discussion,D,03:30PM - 04:20PM,R,102B Architecture Building,"Champagne, A"
