,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ART102,Drawing for Non-Majors,63645,Studio,DR3,04:00PM - 05:50PM,MW,219 Art and Design Building,"Bazzell-Smith, K"
1,ART103,Painting for Non-Majors,60431,Studio,PA2,04:00PM - 05:50PM,MW,330 Art and Design Building,"Grimes, N"
2,ART103,Painting for Non-Majors,69158,Studio,PA3,02:00PM - 03:50PM,TR,330 Art and Design Building,"Keller, T"
3,ART104,Sculpture for Non-Majors,61975,Online Lab,SC1,01:00PM - 02:50PM,MW,n.a.,"Meares, I"
4,ART104,Sculpture for Non-Majors,65168,Online Lab,SC2,09:00AM - 10:50AM,MW,n.a.,"Meares, I"
5,ART104,Sculpture for Non-Majors,70908,Online Lab,SC3,09:30AM - 11:20AM,TR,n.a.,"Meares, I"
6,ART140,Introduction to Art,52285,Studio,BB1,01:00PM - 03:40PM,M,309 Flagg Hall,"Baez, V & Bergmark, J"
7,ART140,Introduction to Art,52286,Studio,BB2,09:00AM - 11:40AM,M,309 Flagg Hall,"Abel, T & Bergmark, J"
8,ART140,Introduction to Art,30358,Studio,BB3,05:00PM - 07:40PM,T,309 Flagg Hall,"Abel, T & Bergmark, J"
9,ART140,Introduction to Art,30359,Studio,BB4,09:00AM - 11:40AM,W,309 Flagg Hall,"Baez, V & Bergmark, J"
10,ART140,Introduction to Art,30362,Studio,BB5,02:00PM - 04:40PM,T,309 Flagg Hall,"Bergmark, J & Ostraff, K"
11,ART140,Introduction to Art,52287,Studio,BB6,04:00PM - 06:40PM,W,309 Flagg Hall,"Bergmark, J & Valentin Velilla, J"
12,ART140,Introduction to Art,52288,Studio,BB7,02:00PM - 04:40PM,R,309 Flagg Hall,"Bergmark, J & Valentin Velilla, J"
13,ART140,Introduction to Art,52289,Studio,BB8,01:00PM - 03:40PM,W,309 Flagg Hall,"Bergmark, J & Ostraff, K"
14,ART140,Introduction to Art,43765,Lecture,BL1,11:00AM - 12:20PM,R,134 Temple Hoyne Buell Hall,"Bergmark, J"
15,ART140,Introduction to Art,69289,Studio,DGS,09:00AM - 10:50AM,MW,329 Flagg Hall,"Bergmark, J"
16,ART150,Introduction to Drawing,63901,Online Lab,1,04:00PM - 05:50PM,M,n.a.,"Jones, C"
17,ART150,Introduction to Drawing,72106,Online Lab,2,01:00PM - 02:50PM,M,n.a.,"Jones, C"
18,ART151,Black & White Film Photography,65423,Studio,U1,02:00PM - 04:50PM,MW,63 Allen Residence Hall,"Hudson, B"
19,ART191,Unit One Studio/Seminar,49851,Studio,A1,02:00PM - 04:20PM,T,64 Allen Residence Hall,"Hudson, B"
20,ART191,Unit One Studio/Seminar,69892,Studio,A2,02:00PM - 04:20PM,T,64 Allen Residence Hall,"Hudson, B"
21,ART191,Unit One Studio/Seminar,40341,Studio,CW,03:30PM - 05:50PM,W,89 Allen Residence Hall,"Wiesener, C"
22,ART191,Unit One Studio/Seminar,30576,Studio,U1,01:00PM - 02:50PM,MW,89 Allen Residence Hall,"Wiesener, C"
23,ART199,Undergraduate Open Seminar,10355,Independent Study,,ARRANGED,n.a.,n.a.,
