,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ARTD101,Introduction to Industrial Design,68888,Studio,1,09:00AM - 11:40AM,MW,9 Art and Design Building,"Kendall, J"
1,ARTD101,Introduction to Industrial Design,68889,Studio,2,01:00PM - 03:40PM,MW,9 Art and Design Building,"Kendall, J"
2,ARTD151,Introduction to Graphic Design,68871,Studio,1,09:00AM - 11:40AM,MW,228 Art and Design Building,"Sibrian Mai, A"
3,ARTD202,Industrial Design II,50472,Studio,M9A,09:00AM - 10:20AM,F,25West Art and Design Building,"Park, J & Sethi, S & Tang, Z"
4,ARTD202,Industrial Design II,50473,Studio,M9C,09:00AM - 11:40AM,MW,106 Art and Design Building,"Araujo de Aguiar, C & Park, J & Tang, Z"
5,ARTD202,Industrial Design II,69165,Studio,M9D,01:00PM - 02:20PM,F,25West Art and Design Building,"Park, J & Sethi, S & Tang, Z"
6,ARTD218,Interaction Design Foundation,65186,Studio,GD1,09:30AM - 12:10PM,TR,208 Art and Design Building,"Luo, Z & Mercer, L"
7,ARTD218,Interaction Design Foundation,65187,Studio,GD2,02:00PM - 04:40PM,TR,208 Art and Design Building,"Mercer, L"
8,ARTD218,Interaction Design Foundation,72157,Studio,GD3,05:00PM - 07:40PM,TR,208 Art and Design Building,"Han, R & Salamanca Garcia, J"
9,ARTD218,Interaction Design Foundation,72158,Studio,GD4,09:30AM - 12:10PM,TR,216 Art and Design Building,"Salamanca Garcia, J"
10,ARTD228,Computer Applications,63648,Online Lab,M1,09:30AM - 12:10PM,TR,n.a.,"Raheel, S"
11,ARTD228,Computer Applications,68122,Studio,T3,04:00PM - 06:40PM,MW,224 Art and Design Building,"Li, Y & Zhang, Z"
12,ARTD228,Computer Applications,51410,Online Lab,T4,02:00PM - 04:40PM,TR,n.a.,"Raheel, S"
13,ARTD302,Industrial Design IV,50474,Studio,T1,09:00AM - 10:20AM,F,107 Art and Design Building,"Raheel, S & Yue, X & Zhu, H"
14,ARTD302,Industrial Design IV,50475,Studio,T8,01:00PM - 02:20PM,F,107 Art and Design Building,"Shin, S & Yue, X & Zhu, H"
15,ARTD326,Sustainability & Manufacturing,51827,Lecture,1,05:00PM - 07:40PM,T,331 Art and Design Building,"Araujo de Aguiar, C & Park, J"
16,ARTD326,Sustainability & Manufacturing,72112,Lecture,2,05:00PM - 07:40PM,R,331 Art and Design Building,"Araujo de Aguiar, C & Park, J"
17,ARTD333,Type & Image,65176,Studio,GD1,01:00PM - 03:40PM,MW,216 Art and Design Building,"Sibrian Mai, A"
18,ARTD333,Type & Image,65177,Studio,GD2,04:00PM - 06:40PM,MW,216 Art and Design Building,"Fathinezhad, K & Thomas, N"
