,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ARTE101,"Art, Design, and Society",68870,Online Lecture,1,12:00PM - 12:50PM,F,n.a.,"Bhalla, S & Lucero, J & Peyravi, P & Reyes, S & Young, I"
1,ARTE301,"Curriculum, Assessment, and Art Education",30427,Lecture-Discussion,R8,09:30AM - 10:50AM,MW,320 Flagg Hall,"Travis, S"
2,ARTE391,Independent Study,10367,Independent Study,,ARRANGED,n.a.,n.a.,
3,ARTE393,Teachers as Researchers,72109,Lecture-Discussion,1,09:30AM - 10:50AM,TR,320 Flagg Hall,"Smith, B"
4,ARTE401,Teaching Seminar,60425,Online,B,ARRANGED,n.a.,n.a.,"Bergmark, J"
5,ARTE480,Popular Visual Culture,53016,Lecture-Discussion,LHG,01:00PM - 03:40PM,W,410 Flagg Hall,"Hetrick, L"
6,ARTE480,Popular Visual Culture,52291,Lecture-Discussion,LHU,01:00PM - 03:40PM,W,410 Flagg Hall,"Hetrick, L"
7,ARTE490,Senior Honors,10365,Independent Study,,ARRANGED,n.a.,n.a.,
8,ARTE501,Issues in Art Education,47913,Conference,LH,02:00PM - 04:40PM,T,404 Flagg Hall,"Hetrick, L"
9,ARTE501,Issues in Art Education,44192,Conference,ST,09:30AM - 12:10PM,T,131 Flagg Hall,"Travis, S"
10,ARTE505,Foundations of Art Education,56975,Conference,JL,05:00PM - 07:40PM,R,410 Flagg Hall,"Lucero, J"
11,ARTE591,Independent Graduate Studies,10370,Independent Study,,ARRANGED,n.a.,n.a.,
12,ARTE599,Thesis Research,10372,Independent Study,,ARRANGED,n.a.,n.a.,
