,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ARTH110,Introduction to the History of Art and Visual Culture,68862,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,131 Flagg Hall,"Cochran, S & Vazquez, O"
1,ARTH110,Introduction to the History of Art and Visual Culture,68863,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,131 Flagg Hall,"Cochran, S & Vazquez, O"
2,ARTH110,Introduction to the History of Art and Visual Culture,68864,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,131 Flagg Hall,"Mitchell, K & Vazquez, O"
3,ARTH110,Introduction to the History of Art and Visual Culture,68866,Discussion/ Recitation,AD4,12:30PM - 01:20PM,T,131 Flagg Hall,"Mitchell, K & Vazquez, O"
4,ARTH110,Introduction to the History of Art and Visual Culture,68867,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,131 Flagg Hall,"Ting, A & Vazquez, O"
5,ARTH110,Introduction to the History of Art and Visual Culture,68868,Discussion/ Recitation,AD6,12:30PM - 01:20PM,R,131 Flagg Hall,"Ting, A & Vazquez, O"
6,ARTH110,Introduction to the History of Art and Visual Culture,68861,Lecture,AL1,12:00PM - 12:50PM,MW,134 Temple Hoyne Buell Hall,"Vazquez, O"
7,ARTH214,Art in China,70636,Online Lecture,1,11:00AM - 12:20PM,MW,n.a.,"Burkus-Chasson, A"
8,ARTH217,Development of Ancient Cities,43709,Online Lecture,A,ARRANGED,n.a.,n.a.,"Kaufman, B"
9,ARTH219,Islamic Gardens & Architecture,73058,Lecture-Discussion,A1,09:30AM - 10:20AM,R,102B Architecture Building,
10,ARTH219,Islamic Gardens & Architecture,73061,Lecture-Discussion,B1,10:30AM - 11:20AM,R,102B Architecture Building,
11,ARTH219,Islamic Gardens & Architecture,73064,Lecture-Discussion,C1,09:30AM - 10:20AM,F,215 David Kinley Hall,
12,ARTH219,Islamic Gardens & Architecture,73067,Lecture-Discussion,D1,10:30AM - 11:20AM,F,317 David Kinley Hall,
13,ARTH219,Islamic Gardens & Architecture,73054,Online Lecture,DFR,ARRANGED,n.a.,n.a.,"Ruggles, D"
14,ARTH235,"Art, Power and Culture in 17th-Century Europe",53014,Online Lecture,LR,11:00AM - 12:20PM,TR,n.a.,"Richter, S & Rosenthal, L"
15,ARTH242,Art Since 1940,65135,Lecture,KR,02:00PM - 03:20PM,TR,331 Art and Design Building,"Cherniakov, I & Romberg, K"
16,ARTH299,Spec Topics in Art History,65136,Lecture-Discussion,2,04:00PM - 05:20PM,MW,316 Art and Design Building,"Burge, K"
17,ARTH361,Contemporary Art,72068,Lecture-Discussion,1,03:30PM - 04:50PM,TR,331 Art and Design Building,"Leatherman, B & Reitz, E"
18,ARTH391,Individual Art History Topics,10382,Independent Study,,ARRANGED,n.a.,n.a.,
19,ARTH403,Word and Image in Chinese Art,39091,Online Lecture,A3,02:00PM - 03:20PM,MW,n.a.,"Burkus-Chasson, A"
20,ARTH403,Word and Image in Chinese Art,39090,Online Lecture,G,02:00PM - 03:20PM,MW,n.a.,"Burkus-Chasson, A"
21,ARTH415,The Archaeology of Greece,40092,Lecture-Discussion,C,11:00AM - 12:20PM,TR,215 David Kinley Hall,"Bevis, B"
22,ARTH416,The Archaeology of Italy,39787,Lecture-Discussion,A,11:00AM - 12:50PM,MW,G30 Foreign Languages Building,"Kaufman, B"
23,ARTH443,The Russian Avant-Garde: Revolutionary Forms and Socialist Norms,72073,Lecture,G,09:30AM - 10:50AM,TR,331 Art and Design Building,"Romberg, K"
24,ARTH443,The Russian Avant-Garde: Revolutionary Forms and Socialist Norms,72072,Lecture,U,09:30AM - 10:50AM,TR,331 Art and Design Building,"Romberg, K"
25,ARTH489,Senior Art-History Honors-BA,10379,Independent Study,,ARRANGED,n.a.,n.a.,
26,ARTH490,Senior Art-History Honors-BFA,10381,Independent Study,,ARRANGED,n.a.,n.a.,
27,ARTH491,Topics in Art History,10383,Independent Study,,ARRANGED,n.a.,n.a.,
28,ARTH491,Topics in Art History,12454,Seminar,KB,02:00PM - 04:50PM,R,312 Art and Design Building,"Burge, K"
29,ARTH491,Topics in Art History,30646,Seminar,KBG,02:00PM - 04:50PM,R,312 Art and Design Building,"Burge, K"
30,ARTH491,Topics in Art History,45238,Lecture-Discussion,NG,01:00PM - 02:20PM,TR,206 David Kinley Hall,"Gunji, N"
31,ARTH515,Seminar in Ancient Art,67442,Seminar,ANC,09:00AM - 11:50AM,W,312 Art and Design Building,"Burge, K"
32,ARTH535,Seminar in Baroque Art,39099,Online Lecture,LR,02:00PM - 04:50PM,T,n.a.,"Rosenthal, L"
33,ARTH546,Seminar in Contemporary Art,30661,Seminar,A,01:00PM - 03:50PM,W,316 Art and Design Building,"Reitz, E"
34,ARTH591,Individual Readings,10384,Independent Study,,ARRANGED,n.a.,n.a.,
35,ARTH599,Thesis Research,10385,Independent Study,,ARRANGED,n.a.,n.a.,
