,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ASRM210,Theory of Interest,73486,Discussion/ Recitation,ADA,07:00PM - 07:50PM,T,4039 Campus Instructional Facility,"Wu, Y"
1,ASRM210,Theory of Interest,73487,Discussion/ Recitation,ADB,07:00PM - 07:50PM,W,241 Altgeld Hall,"Wu, Y"
2,ASRM210,Theory of Interest,68699,Lecture,AL1,09:30AM - 10:50AM,TR,1000 Lincoln Hall,"Cardinal, T"
3,ASRM390,Introduction to Actuarial Research,69684,Independent Study,ASR,ARRANGED,n.a.,n.a.,"Freiji, C"
4,ASRM392,Actuarial Problem Solving,69329,Seminar,P,07:00PM - 08:50PM,M,245 Altgeld Hall,"Freiji, C"
5,ASRM401,Actuarial Statistics I,68737,Discussion/ Recitation,AD1,02:00PM - 02:50PM,T,1066 Lincoln Hall,
6,ASRM401,Actuarial Statistics I,68740,Discussion/ Recitation,AD2,03:00PM - 03:50PM,T,1066 Lincoln Hall,
7,ASRM401,Actuarial Statistics I,68739,Lecture,AL1,09:00AM - 09:50AM,MWF,1092 Lincoln Hall,"Lee, H"
8,ASRM409,Stochastic Processes for Finance and Insurance,69393,Online,GR,11:00AM - 12:20PM,TR,n.a.,"Cole, P"
9,ASRM409,Stochastic Processes for Finance and Insurance,68701,Online,UG,11:00AM - 12:20PM,TR,n.a.,"Cole, P"
10,ASRM410,Investments and Financial Markets,70898,Lecture-Discussion,GR,12:30PM - 01:50PM,TR,2310 Everitt Laboratory,"Cardinal, T"
11,ASRM410,Investments and Financial Markets,68702,Lecture-Discussion,UG,12:30PM - 01:50PM,TR,2310 Everitt Laboratory,"Cardinal, T"
12,ASRM450,Methods of Applied Statistics,68745,Lecture-Discussion,1GR,01:00PM - 01:50PM,MWF,1002 Lincoln Hall,"Li, X"
13,ASRM450,Methods of Applied Statistics,68746,Lecture-Discussion,1UG,01:00PM - 01:50PM,MWF,1002 Lincoln Hall,"Li, X"
14,ASRM450,Methods of Applied Statistics,68743,Lecture-Discussion,2GR,11:00AM - 12:20PM,TR,1092 Lincoln Hall,"Deeke, J"
15,ASRM450,Methods of Applied Statistics,68744,Lecture-Discussion,2UG,11:00AM - 12:20PM,TR,1092 Lincoln Hall,"Deeke, J"
16,ASRM451,Basics of Statistical Learning,68749,Lecture-Discussion,1GR,09:30AM - 10:50AM,TR,4025 Campus Instructional Facility,"Zhu, R"
17,ASRM451,Basics of Statistical Learning,68750,Lecture-Discussion,1UG,09:30AM - 10:50AM,TR,4025 Campus Instructional Facility,"Zhu, R"
18,ASRM453,Applied Bayesian Analysis,68747,Lecture-Discussion,1GR,02:00PM - 02:50PM,MWF,160 English Building,"Culpepper, S"
19,ASRM453,Applied Bayesian Analysis,68748,Lecture-Discussion,1UG,02:00PM - 02:50PM,MWF,160 English Building,"Culpepper, S"
20,ASRM461,Loss Models,68703,Lecture-Discussion,G1,03:00PM - 04:20PM,MW,1090 Lincoln Hall,"Freiji, C"
21,ASRM472,Life Contingencies II,68705,Online,G1,09:00AM - 09:50AM,MWF,n.a.,"Cole, P"
22,ASRM490,Actuarial Research,69685,Independent Study,ASR,ARRANGED,n.a.,n.a.,"Freiji, C"
23,ASRM499,Topics in Actuarial Science,73113,Lecture-Discussion,GR,11:00AM - 12:20PM,TR,1090 Lincoln Hall,"Freiji, C"
24,ASRM499,Topics in Actuarial Science,68706,Lecture-Discussion,PA,02:00PM - 03:20PM,TR,245 Altgeld Hall,"Jing, X"
25,ASRM499,Topics in Actuarial Science,72802,Lecture-Discussion,S13,11:00AM - 12:20PM,TR,1090 Lincoln Hall,"Freiji, C"
26,ASRM551,Statistical Learning,68736,Lecture-Discussion,A1,03:00PM - 03:50PM,MWF,1002 Lincoln Hall,"Zhu, R"
27,ASRM552,Predictive Analytics,69153,Lecture-Discussion,PA,02:00PM - 03:20PM,TR,245 Altgeld Hall,"Jing, X"
28,ASRM561,Loss Data Analytics & Credibility,68704,Lecture-Discussion,G1,03:00PM - 04:20PM,MW,1090 Lincoln Hall,"Freiji, C"
29,ASRM575,Life Insurance and Pension Mathematics,70697,Online,G14,10:00AM - 10:50AM,MWF,n.a.,"Cole, P"
30,ASRM593,Graduate Internship,71620,Internship,AS,ARRANGED,n.a.,Location Pending,"Serafini, P"
31,ASRM598,Literature Seminar,69535,Lecture-Discussion,FQ,ARRANGED,n.a.,Location Pending,"Quan, F"
