,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ASTR100,Introduction to Astronomy,57339,Online,A,ARRANGED,n.a.,n.a.,"Winans, A"
1,ASTR100,Introduction to Astronomy,57338,Online,B,ARRANGED,n.a.,n.a.,"Winans, A"
2,ASTR121,Solar System and Worlds Beyond,30816,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,204 Transportation Building,"Makhambetova, K & Winans, A"
3,ASTR121,Solar System and Worlds Beyond,30820,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,204 Transportation Building,"Makhambetova, K & Winans, A"
4,ASTR121,Solar System and Worlds Beyond,30823,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,204 Transportation Building,"Makhambetova, K & Winans, A"
5,ASTR121,Solar System and Worlds Beyond,30825,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,204 Transportation Building,"Merz, G & Winans, A"
6,ASTR121,Solar System and Worlds Beyond,30828,Discussion/ Recitation,AD5,01:00PM - 01:50PM,F,204 Transportation Building,"Merz, G & Winans, A"
7,ASTR121,Solar System and Worlds Beyond,30831,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,204 Transportation Building,"Merz, G & Winans, A"
8,ASTR121,Solar System and Worlds Beyond,57295,Discussion/ Recitation,AD8,12:00PM - 12:50PM,F,134 Astronomy Building,"Winans, A"
9,ASTR121,Solar System and Worlds Beyond,30832,Lecture,AL1,01:00PM - 01:50PM,TR,100 Materials Science & Eng Bld,"Winans, A"
10,ASTR122,Stars and Galaxies,30834,Discussion/ Recitation,AD1,09:00AM - 09:50AM,R,206 Transportation Building,"Bhartia, A & Dunne, B"
11,ASTR122,Stars and Galaxies,30836,Discussion/ Recitation,AD2,10:00AM - 10:50AM,R,206 Transportation Building,"Bhartia, A & Dunne, B"
12,ASTR122,Stars and Galaxies,30839,Discussion/ Recitation,AD3,11:00AM - 11:50AM,R,206 Transportation Building,"Bhartia, A & Dunne, B"
13,ASTR122,Stars and Galaxies,30840,Discussion/ Recitation,AD4,12:00PM - 12:50PM,R,206 Transportation Building,"Dunne, B & Solanki, S"
14,ASTR122,Stars and Galaxies,30841,Discussion/ Recitation,AD5,01:00PM - 01:50PM,R,206 Transportation Building,"Dunne, B & Solanki, S"
15,ASTR122,Stars and Galaxies,30842,Discussion/ Recitation,AD6,02:00PM - 02:50PM,R,204 Transportation Building,"Dunne, B & Solanki, S"
16,ASTR122,Stars and Galaxies,57296,Discussion/ Recitation,AD8,09:00AM - 09:50AM,R,134 Astronomy Building,"Dunne, B"
17,ASTR122,Stars and Galaxies,30845,Lecture,AL1,01:00PM - 01:50PM,MW,3039 Campus Instructional Facility,"Dunne, B"
18,ASTR210,Introduction to Astrophysics,30855,Lecture,1,01:00PM - 01:50PM,MWF,100 Materials Science & Eng Bld,"French, D"
19,ASTR310,Computing in Astronomy,68851,Lecture,1,11:00AM - 12:20PM,TR,134 Astronomy Building,"Narayan, G"
20,ASTR330,Extraterrestrial Life,63575,Online,ONL,ARRANGED,n.a.,n.a.,"Dunne, B"
21,ASTR350,"The Big Bang, Black Holes, and the End of the Universe",48250,Lecture,CH,10:00AM - 10:50AM,MWF,106B6 Engineering Hall,"Fields, B"
22,ASTR390,Individual Study,10396,Independent Study,,ARRANGED,n.a.,n.a.,
23,ASTR401,Scientific Writing for Astronomy,30858,Lecture,1,02:00PM - 03:50PM,F,134 Astronomy Building,"Mouschovias, T"
24,ASTR405,Planetary Systems,39316,Lecture,1,11:00AM - 11:50AM,MWF,2039 Campus Instructional Facility,"Wong, T"
25,ASTR414,Astronomical Techniques,43741,Lecture,AT,10:00AM - 10:50AM,MWF,3025 Campus Instructional Facility,"Kemball, A"
26,ASTR490,Senior Thesis,63598,Independent Study,,ARRANGED,n.a.,n.a.,
27,ASTR505,Star Formation,72804,Lecture,SF,02:00PM - 03:20PM,TR,134 Astronomy Building,"Mouschovias, T"
28,ASTR510,Computational Astrophysics,57084,Lecture,CA,02:00PM - 03:20PM,MW,134 Astronomy Building,"Ricker, P"
29,ASTR515,General Relativity I,70853,Lecture,A,05:00PM - 06:20PM,MW,464 Loomis Laboratory,"Witek, H"
30,ASTR590,Individual Study,10399,Independent Study,,ARRANGED,n.a.,n.a.,
31,ASTR593,Astronomy Internship,71288,Internship,DGS,ARRANGED,n.a.,Location Pending,"Ricker, P"
32,ASTR599,Thesis Research,10387,Independent Study,,ARRANGED,n.a.,n.a.,
