,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ATMS100,Introduction to Meteorology,48350,Discussion/ Recitation,ADB,10:00AM - 10:50AM,R,G7 Foreign Languages Building,"Adams, A & Frame, J"
1,ATMS100,Introduction to Meteorology,48351,Discussion/ Recitation,ADC,11:00AM - 11:50AM,R,G7 Foreign Languages Building,"Adams, A & Frame, J"
2,ATMS100,Introduction to Meteorology,30876,Discussion/ Recitation,ADE,01:00PM - 01:50PM,R,G27 Foreign Languages Building,"Adams, A & Frame, J"
3,ATMS100,Introduction to Meteorology,48342,Discussion/ Recitation,ADF,02:00PM - 02:50PM,R,G27 Foreign Languages Building,"Adams, A & Frame, J"
4,ATMS100,Introduction to Meteorology,30880,Discussion/ Recitation,ADK,10:00AM - 10:50AM,F,G17 Foreign Languages Building,"Frame, J & Wolff, E"
5,ATMS100,Introduction to Meteorology,30881,Discussion/ Recitation,ADL,11:00AM - 11:50AM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
6,ATMS100,Introduction to Meteorology,30883,Discussion/ Recitation,ADM,12:00PM - 12:50PM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
7,ATMS100,Introduction to Meteorology,30885,Discussion/ Recitation,ADN,01:00PM - 01:50PM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
8,ATMS100,Introduction to Meteorology,39350,Lecture,AL2,01:00PM - 01:50PM,MW,100 Gregory Hall,"Frame, J"
9,ATMS120,Severe and Hazardous Weather,39412,Lecture,A,02:00PM - 03:20PM,TR,THEAT Lincoln Hall,"Choate, J"
10,ATMS120,Severe and Hazardous Weather,51498,Lecture,HA,02:00PM - 03:20PM,TR,THEAT Lincoln Hall,"Choate, J"
11,ATMS140,Climate and Global Change,30894,Online Lecture,A,11:00AM - 12:20PM,TR,n.a.,"De Vera, M & Hence, D"
12,ATMS199,Undergraduate Open Seminar,10389,Independent Study,,ARRANGED,n.a.,n.a.,
13,ATMS201,General Physical Meteorology,48377,Lecture-Discussion,A,11:00AM - 12:20PM,TR,156 Henry Administration Bldg,"Choate, J"
14,ATMS304,Radiative Transfer-Remote Sens,50295,Lecture,A,12:30PM - 01:50PM,TR,2020B Natural History Building,"Liu, Y & Riemer, N"
