,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,BADM199,Undergraduate Open Seminar,10398,Independent Study,,ARRANGED,n.a.,n.a.,
1,BADM210,Business Analytics I,71693,Discussion/ Recitation,AD1,08:00AM - 08:50AM,F,152 Wohlers Hall,"Kogen, A"
2,BADM210,Business Analytics I,71694,Discussion/ Recitation,AD2,09:00AM - 09:50AM,F,152 Wohlers Hall,"Kogen, A"
3,BADM210,Business Analytics I,71695,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,152 Wohlers Hall,"Kogen, A"
4,BADM210,Business Analytics I,71696,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,152 Wohlers Hall,"Shen, M"
5,BADM210,Business Analytics I,71697,Discussion/ Recitation,AD5,12:00PM - 12:50PM,F,152 Wohlers Hall,"Shen, M"
6,BADM210,Business Analytics I,71698,Discussion/ Recitation,AD6,01:00PM - 01:50PM,F,152 Wohlers Hall,"Shen, M"
7,BADM210,Business Analytics I,71034,Lecture,AL,12:30PM - 01:20PM,TR,1001 Business Instructional Fac,"Larson, E"
8,BADM210,Business Analytics I,71699,Online Discussion,DD1,03:00PM - 03:50PM,R,n.a.,"Kertcher, Z"
9,BADM210,Business Analytics I,71700,Online Discussion,DD2,04:00PM - 04:50PM,R,n.a.,"Kertcher, Z"
10,BADM210,Business Analytics I,71701,Discussion/ Recitation,DD3,10:00AM - 10:50AM,F,240 Wohlers Hall,"Baddam, S"
11,BADM210,Business Analytics I,71703,Discussion/ Recitation,DD4,11:00AM - 11:50AM,F,240 Wohlers Hall,"Baddam, S"
12,BADM210,Business Analytics I,71704,Discussion/ Recitation,DD5,12:00PM - 12:50PM,F,240 Wohlers Hall,"Baddam, S"
13,BADM210,Business Analytics I,71707,Online Discussion,DD6,01:00PM - 01:50PM,F,n.a.,"Kertcher, Z"
14,BADM210,Business Analytics I,68637,Lecture,DL,09:30AM - 10:20AM,TR,1001 Business Instructional Fac,"Larson, E"
15,BADM211,Business Analytics II,68638,Lecture-Discussion,A,09:30AM - 10:50AM,MW,130 Wohlers Hall,"Souyris, S"
16,BADM211,Business Analytics II,68639,Lecture-Discussion,B,11:00AM - 12:20PM,MW,130 Wohlers Hall,"Souyris, S"
17,BADM211,Business Analytics II,70076,Lecture-Discussion,D,09:30AM - 10:50AM,TR,166 Wohlers Hall,"Ahsen, M"
18,BADM211,Business Analytics II,70077,Online,E,11:00AM - 12:20PM,TR,n.a.,"Guggenheim, D"
19,BADM211,Business Analytics II,70080,Lecture-Discussion,H,08:00AM - 09:20AM,TR,166 Wohlers Hall,"Ahsen, M"
20,BADM211,Business Analytics II,70081,Lecture-Discussion,I,12:30PM - 01:50PM,TR,166 Wohlers Hall,"Ahsen, M"
21,BADM211,Business Analytics II,70082,Lecture-Discussion,J,02:00PM - 03:20PM,MW,130 Wohlers Hall,"Khandelwal, A"
22,BADM211,Business Analytics II,70083,Lecture-Discussion,K,12:30PM - 01:50PM,MW,130 Wohlers Hall,"Khandelwal, A"
23,BADM211,Business Analytics II,70084,Lecture-Discussion,L,02:00PM - 03:20PM,TR,166 Wohlers Hall,"Guggenheim, D"
24,BADM275,Fundamentals of Operations Management,71710,Lecture-Discussion,A,08:00AM - 09:20AM,MW,2007 Business Instructional Fac,"Kirci, I"
25,BADM275,Fundamentals of Operations Management,70088,Lecture-Discussion,B,02:00PM - 03:20PM,MW,243 Wohlers Hall,"Wang, I"
26,BADM275,Fundamentals of Operations Management,71711,Lecture-Discussion,C,09:30AM - 10:50AM,MW,243 Wohlers Hall,"Moshref Javadi, M"
27,BADM275,Fundamentals of Operations Management,71712,Lecture-Discussion,D,12:30PM - 01:50PM,MW,243 Wohlers Hall,"Wang, I"
28,BADM275,Fundamentals of Operations Management,71713,Online,E,09:30AM - 10:50AM,TR,n.a.,"Kwon, H"
29,BADM275,Fundamentals of Operations Management,71714,Lecture-Discussion,F,09:30AM - 10:50AM,TR,3063 Business Instructional Fac,"Baddam, S"
30,BADM275,Fundamentals of Operations Management,71715,Lecture-Discussion,G,02:00PM - 03:20PM,TR,2043 Business Instructional Fac,"Kwon, H"
31,BADM275,Fundamentals of Operations Management,71716,Lecture-Discussion,H,03:30PM - 04:50PM,TR,2043 Business Instructional Fac,"Kwon, H"
32,BADM300,The Legal Environment of Bus,30956,Lecture,1,12:30PM - 01:50PM,MW,141 Wohlers Hall,"Warnick, T"
33,BADM300,The Legal Environment of Bus,40037,Lecture-Discussion,2,02:00PM - 03:20PM,MW,141 Wohlers Hall,"Warnick, T"
34,BADM303,Principles of Public Policy,58332,Lecture-Discussion,WA,05:30PM - 07:30PM,W,Location Pending,"Planty, D"
35,BADM310,Mgmt and Organizational Beh,30963,Lecture,1,09:30AM - 10:50AM,TR,THEAT Lincoln Hall,"White, J"
36,BADM310,Mgmt and Organizational Beh,57199,Online,OL,ARRANGED,n.a.,n.a.,"Gill, S"
37,BADM311,Leading Individuals and Teams,31044,Lecture-Discussion,A,11:00AM - 12:20PM,TR,2007 Business Instructional Fac,"Ybarra, O"
38,BADM311,Leading Individuals and Teams,39261,Lecture-Discussion,B,02:00PM - 03:20PM,TR,2063 Business Instructional Fac,"Reinhard, D"
39,BADM312,Designing and Managing Orgs,31046,Lecture-Discussion,A,09:30AM - 10:50AM,TR,241 Wohlers Hall,"Khessina, O"
