,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,BIOC199,Undergraduate Open Seminar,10408,Independent Study,,ARRANGED,n.a.,n.a.,
1,BIOC290,Individual Topics,57125,Independent Study,,ARRANGED,n.a.,n.a.,
2,BIOC406,Gene Expression & Regulation,62537,Lecture,A,12:30PM - 01:50PM,TR,2055 Sidney Lu Mech Engr Bldg,"Jin, H"
3,BIOC446,Physical Biochemistry,38713,Lecture,AL1,11:00AM - 12:20PM,TR,3025 Campus Instructional Facility,"Zhang, K"
4,BIOC455,Technqs Biochem & Biotech,31674,Laboratory,A,08:00AM - 11:50AM,MW,495C Burrill Hall,"Buntrock, D"
5,BIOC455,Technqs Biochem & Biotech,58725,Laboratory,B,01:00PM - 04:50PM,MW,495C Burrill Hall,"Buntrock, D"
6,BIOC492,Senior Thesis,10409,Independent Study,,ARRANGED,n.a.,n.a.,
7,BIOC590,Individual Topics,10410,Independent Study,,ARRANGED,n.a.,n.a.,
8,BIOC590,Individual Topics,68664,Lecture-Discussion,JC,05:00PM - 05:50PM,T,Location Pending,"Nair, S"
9,BIOC595,Biochemistry Seminar,31789,Lecture-Discussion,A,12:00PM - 12:50PM,F,Location Pending,"Nair, S"
10,BIOC599,Thesis Research,10411,Independent Study,,ARRANGED,n.a.,n.a.,
