,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,BIOE120,Introduction to Bioengineering,31790,Lecture,1,11:00AM - 11:50AM,MW,4029 Campus Instructional Facility,"Golecki, H"
1,BIOE198,Special Topics,67742,Laboratory,MI,03:00PM - 04:50PM,MW,3117 Everitt Laboratory,"Insana, M"
2,BIOE202,Cell & Tissue Engineering Lab,46392,Laboratory,AB1,11:30AM - 03:20PM,T,3109 Everitt Laboratory,"Jensen, K"
3,BIOE202,Cell & Tissue Engineering Lab,46395,Laboratory,AB3,03:30PM - 07:20PM,T,3109 Everitt Laboratory,"Jensen, K"
4,BIOE202,Cell & Tissue Engineering Lab,58436,Laboratory,AB4,11:00AM - 02:50PM,M,3109 Everitt Laboratory,"Jensen, K"
5,BIOE202,Cell & Tissue Engineering Lab,64020,Laboratory,AB5,03:00PM - 06:50PM,M,3109 Everitt Laboratory,"Jensen, K"
6,BIOE202,Cell & Tissue Engineering Lab,46396,Lecture,AL1,12:00PM - 12:50PM,W,2310 Everitt Laboratory,"Jensen, K"
7,BIOE205,Signals & Systems in Bioengrg,60964,Lecture-Discussion,LEC,10:00AM - 10:50AM,MWF,1302 Everitt Laboratory,"Reck, R"
8,BIOE210,Linear Algebra for Biomedical Data Science,69415,Lecture,LEC,09:30AM - 10:50AM,TR,2310 Everitt Laboratory,"Jensen, P"
9,BIOE297,Individual Study,45391,Independent Study,,ARRANGED,n.a.,n.a.,
10,BIOE303,Quantitative Physiology Lab,59648,Laboratory,AB1,11:00AM - 01:50PM,T,0215 Everitt Laboratory,"Asilador, A & Cvetkovic, C"
11,BIOE303,Quantitative Physiology Lab,60230,Laboratory,AB3,02:00PM - 04:50PM,T,0215 Everitt Laboratory,"Cvetkovic, C & Tarabey, M"
12,BIOE303,Quantitative Physiology Lab,59647,Lecture-Discussion,AL1,01:00PM - 01:50PM,M,1306 Everitt Laboratory,"Cvetkovic, C"
13,BIOE306,Biofabrication Lab,71977,Laboratory,AL1,09:00AM - 10:50AM,TR,3109 Everitt Laboratory,"Perez Pinera, P"
14,BIOE310,Comp Tools Bio Data,60965,Lecture,LEC,09:30AM - 10:50AM,TR,1302 Everitt Laboratory,"Maslov, S"
15,BIOE360,Transport & Flow in Bioengrg,60966,Lecture,LEC,09:00AM - 09:50AM,MWF,1302 Everitt Laboratory,"Cvetkovic, C"
16,BIOE397,Individual Study,10412,Independent Study,,ARRANGED,n.a.,n.a.,
17,BIOE414,Biomedical Instrumentation,33725,Discussion/ Recitation,B,11:00AM - 11:50AM,MWF,1302 Everitt Laboratory,"Irudayaraj, J"
