,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,BSE601,Anatomy,73339,Laboratory,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
1,BSE634,Clinical Neuroscience,69028,Discussion/ Recitation,A,08:00AM - 09:50AM,MWF,274 Medical Sciences Building,"Richards, V & Van Orman, C"
2,BSE635,Musculoskeletal and Integument,69029,Discussion/ Recitation,A,08:00AM - 09:50AM,MWF,274 Medical Sciences Building,"Richards, V & Van Orman, C"
3,BSE636,"Digestion, Nutrition, & Metabolism",71337,Discussion/ Recitation,A,08:00AM - 09:50AM,MWF,274 Medical Sciences Building,"Richards, V & Van Orman, C"
4,BSE644,Multisystem Conditions,73371,Online,A,ARRANGED,MWF,n.a.,"Richards, V & Van Orman, C"
5,BSE645,Synthesis & Summary,71029,Lecture-Discussion,A,10:00AM - 11:50AM,MWF,Location Pending,"Richards, V & Van Orman, C"
6,BSE646,Synthesis & Summary - Phase 2,73748,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
7,BSE655,Research Elective,73241,Independent Study,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
8,BSE655,Research Elective,73514,Independent Study,B,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
9,BSE660,Self-Designed Study,73242,Independent Study,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
10,BSE665,Special Topics,73243,Independent Study,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
11,BSE666,Academic Progress I (Longitudinal),73244,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
12,BSE680,"Innovation, Design, Engineering and Analysis Projects (Longitudinal)",71330,Lecture,A,01:00PM - 03:20PM,F,Location Pending,"Richards, V & Van Orman, C"
13,BSE680,"Innovation, Design, Engineering and Analysis Projects (Longitudinal)",73347,Lecture,B,01:00PM - 03:20PM,F,Location Pending,"Richards, V & Van Orman, C"
14,BSE685,Medicine - Capstone Project (Longitudinal),73325,Research,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
15,BSE685,Medicine - Capstone Project (Longitudinal),73348,Research,B,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
16,BSE686,Medicine - Data Science Project (Longitudinal),73326,Research,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
17,BSE686,Medicine - Data Science Project (Longitudinal),73349,Research,B,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
18,BSE700,Innovations in Problem Based Learning,73246,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
19,BSE701,Introduction to Telemedicine,73245,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
20,BSE702,Medical Spanish,73247,Online,A,ARRANGED,MTWR,n.a.,"Richards, V & Van Orman, C"
21,BSE703,Medical Informatics,73248,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
22,BSE704,Medicine in Literature,73249,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
23,BSE705,Race in Medicine,73250,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
24,BSE706,Literature Review in Pathology,73251,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
25,BSE710,Computational Genomics,73252,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
26,BSE711,Climate Aware Physicians,73340,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
27,BSE720,Advanced Anatomy,73253,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
28,BSE730,Introduction to Deep Learning on Healthcare Data,73289,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
