,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,BTW250,Principles Bus Comm,31488,Lecture-Discussion,B1,09:00AM - 09:50AM,MWF,69 English Building,"Keener, J"
1,BTW250,Principles Bus Comm,70299,Lecture-Discussion,B3,09:00AM - 09:50AM,MWF,119 English Building,"Norcross, K"
2,BTW250,Principles Bus Comm,31494,Lecture-Discussion,C1,10:00AM - 10:50AM,MWF,G7 Foreign Languages Building,"Slobodnik, S"
3,BTW250,Principles Bus Comm,31492,Lecture-Discussion,C2,10:00AM - 10:50AM,MWF,119 English Building,"Kelly, D"
4,BTW250,Principles Bus Comm,31515,Online,C3,10:00AM - 10:50AM,MWF,n.a.,"Gilmore, S"
5,BTW250,Principles Bus Comm,31537,Lecture-Discussion,D2,11:00AM - 11:50AM,MWF,119 English Building,"Kelly, D"
6,BTW250,Principles Bus Comm,65192,Lecture-Discussion,D3,11:00AM - 11:50AM,MWF,36 English Building,"Keener, J"
7,BTW250,Principles Bus Comm,31509,Lecture-Discussion,E1,01:00PM - 01:50PM,MWF,69 English Building,"Merrill, A"
8,BTW250,Principles Bus Comm,46085,Lecture-Discussion,E2,01:00PM - 01:50PM,MWF,119 English Building,"Kelly, D"
9,BTW250,Principles Bus Comm,31513,Lecture-Discussion,F1,02:00PM - 03:15PM,MW,69 English Building,"McVicker, Z"
10,BTW250,Principles Bus Comm,31499,Lecture-Discussion,F2,02:00PM - 03:15PM,MW,119 English Building,"Canipe, J"
11,BTW250,Principles Bus Comm,65194,Online,F3,02:00PM - 03:15PM,MW,n.a.,"Selznick, H"
12,BTW250,Principles Bus Comm,31519,Lecture-Discussion,G1,03:30PM - 04:45PM,MW,69 English Building,"Cheslow, E"
13,BTW250,Principles Bus Comm,31523,Lecture-Discussion,M1,09:30AM - 10:45AM,TR,119 English Building,"Moss, A"
14,BTW250,Principles Bus Comm,51860,Online,M3,09:30AM - 10:45AM,TR,n.a.,"Selznick, H"
15,BTW250,Principles Bus Comm,31526,Lecture-Discussion,P1,11:00AM - 12:15PM,TR,119 English Building,"Moss, A"
16,BTW250,Principles Bus Comm,70301,Lecture-Discussion,P2,11:00AM - 12:15PM,TR,G23 Foreign Languages Building,"McGuire, L"
17,BTW250,Principles Bus Comm,31490,Lecture-Discussion,P3,11:00AM - 12:15PM,TR,36 English Building,"Hudek, B"
18,BTW250,Principles Bus Comm,31530,Lecture-Discussion,Q1,12:30PM - 01:45PM,TR,G7 Foreign Languages Building,"Hapke, G"
19,BTW250,Principles Bus Comm,31532,Lecture-Discussion,Q2,12:30PM - 01:45PM,TR,69 English Building,"Hudek, B"
20,BTW250,Principles Bus Comm,70962,Lecture-Discussion,Q4,12:30PM - 01:45PM,TR,115 English Building,"Moss, A"
21,BTW250,Principles Bus Comm,31535,Lecture-Discussion,S1,02:00PM - 03:15PM,TR,G7 Foreign Languages Building,"Hapke, G"
22,BTW250,Principles Bus Comm,46086,Lecture-Discussion,S2,02:00PM - 03:15PM,TR,G23 Foreign Languages Building,"McGuire, L"
23,BTW250,Principles Bus Comm,31517,Online,S3,02:00PM - 03:15PM,TR,n.a.,"Roche, D"
24,BTW250,Principles Bus Comm,31485,Lecture-Discussion,T1,03:30PM - 04:45PM,TR,119 English Building,"Hechler, W"
25,BTW250,Principles Bus Comm,51861,Lecture-Discussion,T2,03:30PM - 04:45PM,TR,G23 Foreign Languages Building,"McGuire, L"
26,BTW250,Principles Bus Comm,70298,Online,T3,03:30PM - 04:45PM,TR,n.a.,"Roche, D"
27,BTW250,Principles Bus Comm,31507,Online,T4,06:30PM - 07:45PM,TR,n.a.,"Roche, D"
28,BTW250,Principles Bus Comm,46082,Lecture-Discussion,X2,12:00PM - 12:50PM,MWF,69 English Building,"Merrill, A"
29,BTW250,Principles Bus Comm,31528,Online,X4,05:00PM - 06:15PM,TR,n.a.,"Bales, A"
30,BTW250,Principles Bus Comm,31534,Online,Z1,05:00PM - 06:15PM,MW,n.a.,"Burstein, A"
31,BTW250,Principles Bus Comm,44318,Online,Z2,06:30PM - 07:45PM,MW,n.a.,"Burstein, A"
32,BTW261,Principles Tech Comm,31541,Lecture-Discussion,Q,12:30PM - 01:45PM,TR,140 Henry Administration Bldg,"Hechler, W"
33,BTW261,Principles Tech Comm,31553,Lecture-Discussion,S,02:00PM - 03:15PM,TR,140 Henry Administration Bldg,"Hechler, W"
34,BTW263,Writing in the Disciplines,40318,Lecture-Discussion,Z1,02:00PM - 03:15PM,TR,36 English Building,"McVicker, Z"
35,BTW263,Writing in the Disciplines,40319,Online,Z2,02:00PM - 03:15PM,MW,n.a.,"Roche, D"
36,BTW271,Persuasive Writing,31557,Lecture-Discussion,Q,02:00PM - 03:15PM,TR,304 English Building,"Bales, A"
37,BTW280,Global Business Communication,71811,Online,KE,ARRANGED,n.a.,n.a.,"Emmert, K"
38,BTW290,Individual Study,10407,Independent Study,,ARRANGED,n.a.,n.a.,
39,BTW402,Descriptive English Grammar,32126,Lecture-Discussion,1G,02:00PM - 03:15PM,MW,149 Henry Administration Bldg,"Prior, P"
40,BTW402,Descriptive English Grammar,32125,Lecture-Discussion,1U,02:00PM - 03:15PM,MW,149 Henry Administration Bldg,"Prior, P"
