,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CEE201,Systems Engrg & Economics,31707,Lecture-Discussion,NP,09:30AM - 10:50AM,TR,1310 Newmark Civil Engineering Bldg,"Kontou, E"
1,CEE202,Engineering Risk & Uncertainty,31708,Lecture-Discussion,E,12:30PM - 01:50PM,TR,1310 Newmark Civil Engineering Bldg,"Tessum, C"
2,CEE300,Behavior of Materials,36257,Laboratory,AB1,10:00AM - 11:50AM,M,201 Talbot Laboratory,
3,CEE300,Behavior of Materials,36258,Laboratory,AB2,02:00PM - 03:50PM,M,201 Talbot Laboratory,
4,CEE300,Behavior of Materials,36259,Laboratory,AB3,10:00AM - 11:50AM,W,201 Talbot Laboratory,
5,CEE300,Behavior of Materials,36260,Laboratory,AB4,12:00PM - 01:50PM,R,201 Talbot Laboratory,
6,CEE300,Behavior of Materials,39839,Laboratory,AB5,08:00AM - 09:50AM,F,201 Talbot Laboratory,
7,CEE300,Behavior of Materials,53044,Laboratory,AB6,05:00PM - 06:50PM,W,201 Talbot Laboratory,
8,CEE300,Behavior of Materials,54749,Laboratory,AB7,12:00PM - 01:50PM,T,201 Talbot Laboratory,
9,CEE300,Behavior of Materials,36261,Lecture-Discussion,AE1,01:00PM - 01:50PM,MWF,1310 Newmark Civil Engineering Bldg,"Popovics, J"
10,CEE300,Behavior of Materials,73833,Online,ZJO,ARRANGED,n.a.,n.a.,"Popovics, J"
11,CEE310,Transportation Engineering,31699,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,1017 Civil Eng Hydrosystems Lab,"Lehe, L & Roesler, J"
12,CEE320,Construction Engineering,31698,Lecture,LM,03:30PM - 04:50PM,TR,1310 Newmark Civil Engineering Bldg,"Amer, F"
13,CEE320,Construction Engineering,73615,Online,ONC,ARRANGED,n.a.,n.a.,"Amer, F"
14,CEE330,Environmental Engineering,31700,Lecture-Discussion,PQ,02:00PM - 03:20PM,TR,1310 Newmark Civil Engineering Bldg,"Nguyen, T"
15,CEE350,Water Resources Engineering,31701,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,1017 Civil Eng Hydrosystems Lab,"Ghadiri, M"
16,CEE360,Structural Engineering,31702,Lecture-Discussion,B,10:00AM - 10:50AM,MWF,1310 Newmark Civil Engineering Bldg,"Cha, E"
17,CEE380,Geotechnical Engineering,41439,Lecture-Discussion,A,11:00AM - 12:20PM,TR,2015 Civil Eng Hydrosystems Lab,"Makhnenko, R"
18,CEE380,Geotechnical Engineering,31705,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,3310 Newmark Civil Engineering Bldg,"Baser, T"
19,CEE380,Geotechnical Engineering,73834,Online,ZJO,ARRANGED,n.a.,n.a.,"Baser, T"
20,CEE398,Special Topics,63170,Lecture-Discussion,REU,ARRANGED,n.a.,Location Pending,
21,CEE410,Railway Signaling & Control,71006,Online,ONC,ARRANGED,n.a.,n.a.,"Barkan, C"
22,CEE410,Railway Signaling & Control,60842,Online,ONL,ARRANGED,n.a.,n.a.,"Barkan, C"
23,CEE410,Railway Signaling & Control,51457,Lecture-Discussion,RO3,01:30PM - 02:50PM,MW,2312 Newmark Civil Engineering Bldg,"Barkan, C"
24,CEE410,Railway Signaling & Control,52965,Lecture-Discussion,RO4,01:30PM - 02:50PM,MW,2312 Newmark Civil Engineering Bldg,"Barkan, C"
25,CEE411,RR Project Design & Constr,71007,Online,ONC,ARRANGED,n.a.,n.a.,"Dick, C"
26,CEE411,RR Project Design & Constr,57664,Online,ONL,ARRANGED,n.a.,n.a.,"Dick, C"
27,CEE411,RR Project Design & Constr,56997,Lecture-Discussion,RR3,12:30PM - 01:50PM,TR,1311 Newmark Civil Engineering Bldg,"Dick, C"
28,CEE411,RR Project Design & Constr,56998,Lecture-Discussion,RR4,12:30PM - 01:50PM,TR,1311 Newmark Civil Engineering Bldg,"Dick, C"
29,CEE415,Geometric Design of Roads,60850,Online,ONL,ARRANGED,n.a.,n.a.,"Schmidt, A & Talebpour, A"
30,CEE415,Geometric Design of Roads,31716,Lecture-Discussion,TW,03:00PM - 04:50PM,MWF,1017 Civil Eng Hydrosystems Lab,"Schmidt, A & Talebpour, A"
31,CEE417,Urban Transportation Planning,37268,Lecture-Discussion,AL,10:30AM - 11:50AM,MW,386 Armory,"Braun, L"
32,CEE418,Public Transportation Systems,68213,Online,ONC,ARRANGED,n.a.,n.a.,"Ouyang, Y"
33,CEE418,Public Transportation Systems,64160,Online,ONL,ARRANGED,n.a.,n.a.,"Ouyang, Y"
34,CEE418,Public Transportation Systems,63803,Lecture-Discussion,PT3,11:00AM - 12:20PM,TR,3310 Newmark Civil Engineering Bldg,"Ouyang, Y"
35,CEE418,Public Transportation Systems,63804,Lecture-Discussion,PT4,11:00AM - 12:20PM,TR,3310 Newmark Civil Engineering Bldg,"Ouyang, Y"
36,CEE420,Construction Productivity,39554,Lecture-Discussion,3,11:00AM - 12:20PM,TR,1310 Newmark Civil Engineering Bldg,"Ignacio, E"
37,CEE420,Construction Productivity,39555,Lecture-Discussion,4,11:00AM - 12:20PM,TR,1310 Newmark Civil Engineering Bldg,"Ignacio, E"
38,CEE420,Construction Productivity,68027,Online,ONC,ARRANGED,n.a.,n.a.,"Ignacio, E"
39,CEE420,Construction Productivity,57665,Online,ONL,ARRANGED,n.a.,n.a.,"Ignacio, E"
40,CEE421,Construction Planning,31712,Lecture-Discussion,LM3,08:00AM - 09:20AM,TR,1310 Newmark Civil Engineering Bldg,"El-Rayes, K"
41,CEE421,Construction Planning,31713,Lecture-Discussion,LM4,08:00AM - 09:20AM,TR,1310 Newmark Civil Engineering Bldg,"El-Rayes, K"
42,CEE421,Construction Planning,68028,Online,ONC,ARRANGED,n.a.,n.a.,"El-Rayes, K"
43,CEE421,Construction Planning,57666,Online,ONL,ARRANGED,n.a.,n.a.,"El-Rayes, K"
44,CEE433,Water Technology and Policy,69565,Online,ONC,ARRANGED,n.a.,n.a.,"Stillwell, A"
45,CEE433,Water Technology and Policy,69323,Online,ONL,ARRANGED,n.a.,n.a.,"Stillwell, A"
46,CEE433,Water Technology and Policy,67374,Lecture-Discussion,SW3,08:00AM - 09:20AM,TR,3310 Newmark Civil Engineering Bldg,"Stillwell, A"
47,CEE433,Water Technology and Policy,67390,Lecture-Discussion,SW4,08:00AM - 09:20AM,TR,3310 Newmark Civil Engineering Bldg,"Stillwell, A"
48,CEE437,3,31720,Lecture-Discussion,F,03:30PM - 04:50PM,TR,3310 Newmark Civil Engineering Bldg,"Cusick, R"
49,CEE437,3,70860,Online,ONC,ARRANGED,n.a.,n.a.,"Cusick, R"
50,CEE437,3,65756,Online,ONL,ARRANGED,n.a.,n.a.,"Cusick, R"
51,CEE438,Science & Environmental Policy,63664,Lecture-Discussion,G,02:00PM - 03:20PM,MW,3019 Civil Eng Hydrosystems Lab,"Koloutsou-Vakakis, S"
52,CEE438,Science & Environmental Policy,73475,Online,ONC,ARRANGED,n.a.,n.a.,"Koloutsou-Vakakis, S"
53,CEE438,Science & Environmental Policy,73343,Online,ONL,ARRANGED,n.a.,n.a.,"Koloutsou-Vakakis, S"
54,CEE440,Fate Cleanup Environ Pollutant,31718,Lecture,NP,08:00AM - 08:50AM,MWF,3310 Newmark Civil Engineering Bldg,"Wei, N"
55,CEE440,Fate Cleanup Environ Pollutant,69549,Online,ONC,ARRANGED,n.a.,n.a.,"Wei, N"
56,CEE440,Fate Cleanup Environ Pollutant,45291,Online,ONL,ARRANGED,n.a.,n.a.,"Wei, N"
57,CEE447,Atmospheric Chemistry,31724,Lecture-Discussion,A,09:00AM - 09:50AM,MWF,2312 Newmark Civil Engineering Bldg,"Horowitz, H"
58,CEE447,Atmospheric Chemistry,73379,Online Lecture,ONL,ARRANGED,n.a.,n.a.,"Horowitz, H"
59,CEE449,Environmental Engineering Lab,31717,Laboratory-Discussion,RAM,12:00PM - 12:50PM,TR,2312 Newmark Civil Engineering Bldg,"Cusick, R & Verma, V"
60,CEE452,Hydraulic Analysis and Design,31727,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,2311 Newmark Civil Engineering Bldg,"Garcia, M"
61,CEE452,Hydraulic Analysis and Design,70861,Online,ONC,ARRANGED,n.a.,n.a.,"Garcia, M"
62,CEE452,Hydraulic Analysis and Design,69614,Online,ONL,ARRANGED,n.a.,n.a.,"Garcia, M"
63,CEE453,Urban Hydrology and Hydraulics,44664,Online,ONL,ARRANGED,n.a.,n.a.,"Schmidt, A & Talebpour, A"
64,CEE453,Urban Hydrology and Hydraulics,31728,Lecture-Discussion,TW,03:00PM - 04:50PM,MWF,1017 Civil Eng Hydrosystems Lab,"Schmidt, A & Talebpour, A"
65,CEE460,Steel Structures I,31703,Lecture-Discussion,LM,08:00AM - 09:50AM,TR,2311 Newmark Civil Engineering Bldg,"Lombardo, F"
66,CEE460,Steel Structures I,73256,Online,ONL,ARRANGED,n.a.,n.a.,"Lombardo, F"
67,CEE461,Reinforced Concrete I,31704,Lecture-Discussion,NP,10:00AM - 11:50AM,TR,2311 Newmark Civil Engineering Bldg,"Henschen, J"
68,CEE461,Reinforced Concrete I,73258,Online,ONL,ARRANGED,n.a.,n.a.,"Henschen, J"
69,CEE462,Steel Structures II,62000,Lecture-Discussion,3,02:00PM - 03:20PM,TR,2311 Newmark Civil Engineering Bldg,"Fahnestock, L"
70,CEE462,Steel Structures II,62001,Lecture-Discussion,4,02:00PM - 03:20PM,TR,2311 Newmark Civil Engineering Bldg,"Fahnestock, L"
71,CEE462,Steel Structures II,68031,Online,ONC,ARRANGED,n.a.,n.a.,"Fahnestock, L"
72,CEE462,Steel Structures II,62439,Online,ONL,ARRANGED,n.a.,n.a.,"Fahnestock, L"
73,CEE465,Design of Structural Systems,31731,Lecture-Discussion,TW3,10:00AM - 11:50AM,MW,3310 Newmark Civil Engineering Bldg,"Sychterz, A"
74,CEE470,Structural Analysis,68033,Online,ONC,ARRANGED,n.a.,n.a.,"Zhang, S"
75,CEE470,Structural Analysis,60847,Online,ONL,ARRANGED,n.a.,n.a.,"Zhang, S"
76,CEE470,Structural Analysis,31729,Lecture-Discussion,RS,02:00PM - 03:50PM,MW,3310 Newmark Civil Engineering Bldg,"Zhang, S"
77,CEE474,Mechanics of Additive Manufacturing,73604,Lecture-Discussion,AM3,09:30AM - 10:50AM,MW,3019 Civil Eng Hydrosystems Lab,"Masud, A"
78,CEE474,Mechanics of Additive Manufacturing,73605,Lecture-Discussion,AM4,09:30AM - 10:50AM,MW,3019 Civil Eng Hydrosystems Lab,"Masud, A"
79,CEE483,Soil Mechanics and Behavior,31734,Laboratory,AB1,10:00AM - 11:50AM,T,2310 Newmark Civil Engineering Bldg,"Mesri, G"
