,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CHBE121,CHBE Profession,31770,Lecture-Discussion,A,02:00PM - 02:50PM,M,2035 Campus Instructional Facility,"Kenis, P & Monye, U"
1,CHBE199,Undergraduate Open Seminar,10480,Independent Study,,ARRANGED,n.a.,n.a.,
2,CHBE202,Cooperative Education Practice,32570,Practice,A,ARRANGED,n.a.,Location Pending,"Simpson, P"
3,CHBE210,CHBE Internship,31771,Discussion/ Recitation,1,ARRANGED,n.a.,Location Pending,"Simpson, P"
4,CHBE221,Principles of CHE,60171,Lecture,A,12:00PM - 12:50PM,MWF,161 Noyes Laboratory,"Hammack, W"
5,CHBE297,Individual Study Sophomores,48919,Independent Study,,ARRANGED,n.a.,n.a.,
6,CHBE321,Thermodynamics,31773,Discussion/ Recitation,AD1,12:00PM - 12:50PM,F,327 Gregory Hall,"Mironenko, A"
7,CHBE321,Thermodynamics,31774,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,345 Altgeld Hall,"Mironenko, A"
8,CHBE321,Thermodynamics,53751,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,345 Altgeld Hall,"Mironenko, A"
9,CHBE321,Thermodynamics,32027,Lecture,AL1,11:00AM - 12:20PM,TR,116 Roger Adams Laboratory,"Mironenko, A"
10,CHBE397,Individual Study for Juniors,48921,Independent Study,,ARRANGED,n.a.,n.a.,
11,CHBE421,Momentum and Heat Transfer,60296,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,162 Noyes Laboratory,"Higdon, J"
12,CHBE421,Momentum and Heat Transfer,60297,Discussion/ Recitation,AD2,12:00PM - 12:50PM,F,162 Noyes Laboratory,"Higdon, J"
13,CHBE421,Momentum and Heat Transfer,60295,Lecture,AL1,09:30AM - 10:50AM,TR,217 Noyes Laboratory,"Higdon, J"
14,CHBE422,Mass Transfer Operations,32028,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,163 Noyes Laboratory,"Guironnet, D"
15,CHBE422,Mass Transfer Operations,32029,Discussion/ Recitation,AD2,12:00PM - 12:50PM,F,163 Noyes Laboratory,"Guironnet, D"
16,CHBE422,Mass Transfer Operations,32031,Discussion/ Recitation,AD3,12:00PM - 12:50PM,F,1064 Lincoln Hall,"Guironnet, D"
