,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CHEM101,Introductory Chemistry,59948,Discussion/ Recitation,ADA,09:00AM - 09:50AM,F,304 Noyes Laboratory,"Ansar, H & McCarren, E"
1,CHEM101,Introductory Chemistry,59949,Discussion/ Recitation,ADB,03:00PM - 03:50PM,F,304 Noyes Laboratory,"McCarren, E & Mohr, A"
2,CHEM101,Introductory Chemistry,59951,Discussion/ Recitation,ADD,12:00PM - 12:50PM,F,304 Noyes Laboratory,"Ansar, H & McCarren, E"
3,CHEM101,Introductory Chemistry,59953,Discussion/ Recitation,ADF,08:00AM - 08:50AM,F,304 Noyes Laboratory,"McCarren, E & Mohr, A"
4,CHEM101,Introductory Chemistry,59954,Discussion/ Recitation,ADG,10:00AM - 10:50AM,F,304 Noyes Laboratory,"McCarren, E & Salmon, A"
5,CHEM101,Introductory Chemistry,59955,Discussion/ Recitation,ADH,02:00PM - 02:50PM,F,304 Noyes Laboratory,"McCarren, E & Tin, A"
6,CHEM101,Introductory Chemistry,59956,Discussion/ Recitation,ADI,01:00PM - 01:50PM,F,304 Noyes Laboratory,"Kim, H & McCarren, E"
7,CHEM101,Introductory Chemistry,59957,Discussion/ Recitation,ADJ,11:00AM - 11:50AM,F,304 Noyes Laboratory,"Granato, V & McCarren, E"
8,CHEM101,Introductory Chemistry,59958,Lecture,AL1,11:00AM - 11:50AM,TR,100 Noyes Laboratory,"McCarren, E"
9,CHEM101,Introductory Chemistry,73728,Online Lecture,AL2,11:00AM - 11:50AM,TR,n.a.,"McCarren, E"
10,CHEM102,General Chemistry I,32172,Online Lecture,AL1,10:00AM - 10:50AM,TR,n.a.,"Leveritt, J"
11,CHEM102,General Chemistry I,32134,Quiz,AQA,09:00AM - 09:50AM,WF,203 Noyes Laboratory,"Croslow, S & Leveritt, J"
12,CHEM102,General Chemistry I,32143,Quiz,AQB,10:00AM - 10:50AM,WF,203 Noyes Laboratory,"Kim, E & Leveritt, J"
13,CHEM102,General Chemistry I,32146,Quiz,AQC,11:00AM - 11:50AM,WF,203 Noyes Laboratory,"Croslow, S & Leveritt, J"
