,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CHIN201,Elementary Chinese I,68677,Lecture-Discussion,A,12:00PM - 12:50PM,MWF,1126 Foreign Languages Building,"Lien, Z & Shih, C & Zhang, X"
1,CHIN202,Elementary Chinese II,31035,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,1134 Foreign Languages Building,"Lien, Z & Shih, C"
2,CHIN202,Elementary Chinese II,40045,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,1134 Foreign Languages Building,"Shih, C & Yang, Q"
3,CHIN202,Elementary Chinese II,53438,Lecture-Discussion,E,12:00PM - 12:50PM,MWF,1134 Foreign Languages Building,"Lien, Z & Shih, C & Wang, R"
4,CHIN203,Intermediate Chinese I,68673,Lecture-Discussion,A,11:00AM - 11:50AM,MWF,1126 Foreign Languages Building,"Guo, S & Lin, J & Shih, C"
5,CHIN204,Intermediate Chinese II,31036,Lecture-Discussion,A,10:00AM - 10:50AM,MWF,1048 Foreign Languages Building,"Du, P & Lin, J & Shih, C"
6,CHIN204,Intermediate Chinese II,31037,Lecture-Discussion,B,11:00AM - 11:50AM,MWF,1048 Foreign Languages Building,"Lin, J & Shih, C"
7,CHIN242,Chinese Reading and Writing,31041,Lecture-Discussion,B,11:00AM - 11:50AM,TR,G18 Foreign Languages Building,"Shih, C & Zeng, H"
8,CHIN306,Advanced Chinese II,49332,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,1048 Foreign Languages Building,"Maeng, J & Shih, C"
9,CHIN409,Social Science Rdgs Chinese,48747,Lecture-Discussion,G4,10:00AM - 11:20AM,MW,156 English Building,"Shao, D"
10,CHIN409,Social Science Rdgs Chinese,48746,Lecture-Discussion,U3,10:00AM - 11:20AM,MW,156 English Building,"Shao, D"
11,CHIN441,Fourth-Year Chinese II,41727,Lecture-Discussion,B3,01:00PM - 01:50PM,MWF,1126 Foreign Languages Building,"Jiang, Y & Shih, C"
12,CHIN441,Fourth-Year Chinese II,31052,Lecture-Discussion,B4,01:00PM - 01:50PM,MWF,1126 Foreign Languages Building,"Jiang, Y & Shih, C"
13,CHIN490,Readings in Chinese Lit,10517,Independent Study,,ARRANGED,n.a.,n.a.,
