,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CHLH100,Contemporary Health,31058,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,144 Armory,"Hong, S & Su, T"
1,CHLH100,Contemporary Health,31061,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,144 Armory,"Hong, S & Su, T"
2,CHLH100,Contemporary Health,31062,Discussion/ Recitation,AD3,11:00AM - 11:50AM,T,429 Armory,"Su, T & Yarnot, R"
3,CHLH100,Contemporary Health,31064,Discussion/ Recitation,AD4,11:00AM - 11:50AM,R,145 Armory,"Su, T & Yarnot, R"
4,CHLH100,Contemporary Health,31075,Lecture,AL1,10:00AM - 10:50AM,MW,112 Huff Hall,"Su, T"
5,CHLH100,Contemporary Health,71648,Online,ON2,ARRANGED,n.a.,n.a.,"Schwingel, A & Trask, J"
6,CHLH101,Introduction to Public Health,31077,Discussion/ Recitation,AD1,10:00AM - 10:50AM,T,3005 Huff Hall,"Hoopsick, R & Yarnot, R"
7,CHLH101,Introduction to Public Health,31083,Discussion/ Recitation,AD3,01:00PM - 01:50PM,W,3005 Huff Hall,"Fujimoto, E & Hoopsick, R"
8,CHLH101,Introduction to Public Health,31085,Discussion/ Recitation,AD4,02:00PM - 02:50PM,T,1001 Huff Hall,"Hoopsick, R & Ogunjesa, B"
9,CHLH101,Introduction to Public Health,31086,Discussion/ Recitation,AD5,11:00AM - 11:50AM,T,430 Armory,"Hoopsick, R & Ogunjesa, B"
10,CHLH101,Introduction to Public Health,71647,Discussion/ Recitation,AD8,02:00PM - 02:50PM,R,429 Armory,"Hoopsick, R & Yarnot, R"
11,CHLH101,Introduction to Public Health,31079,Lecture,AL1,02:00PM - 02:50PM,MW,112 Huff Hall,"Hoopsick, R"
12,CHLH101,Introduction to Public Health,63867,Online,ON1,ARRANGED,n.a.,n.a.,"Schwingel, A & Woodson, M"
13,CHLH125,Orientation KIN & Comm Health,57044,Lecture-Discussion,A,11:00AM - 12:20PM,TR,2001 Huff Hall,"Cardenas Gonzalez, N & Heintz, H"
14,CHLH126,Campus Acquaintance Rape Education,71651,Lecture-Discussion,A,03:30PM - 04:50PM,TR,136 Armory,"Peterson, N & Schwingel, A"
15,CHLH199,Undergraduate Open Seminar,10519,Independent Study,,ARRANGED,n.a.,n.a.,
16,CHLH199,Undergraduate Open Seminar,42065,Lecture-Discussion,AHS,03:30PM - 04:50PM,T,0060 Siebel Center for Design,"Pulley, T"
17,CHLH199,Undergraduate Open Seminar,66162,Lecture-Discussion,IR1,02:00PM - 03:20PM,TR,450 Freer Hall,"Rice, I"
18,CHLH200,Mental Health,31113,Lecture-Discussion,A,11:00AM - 11:50AM,TR,100 Gregory Hall,"Gobin, R"
19,CHLH201,Public Health Research Methods,64933,Discussion/ Recitation,AB1,12:00PM - 12:50PM,F,3005 Huff Hall,"Ashrafi, S"
20,CHLH201,Public Health Research Methods,71652,Discussion/ Recitation,AB2,01:00PM - 01:50PM,F,3005 Huff Hall,"Ashrafi, S"
21,CHLH201,Public Health Research Methods,71653,Discussion/ Recitation,AB3,09:00AM - 09:50AM,F,3005 Huff Hall,"Pebole, M"
22,CHLH201,Public Health Research Methods,71654,Discussion/ Recitation,AB4,10:00AM - 10:50AM,F,3005 Huff Hall,"Pebole, M"
23,CHLH201,Public Health Research Methods,64927,Online Lecture,AL1,12:00PM - 12:50PM,MW,n.a.,"Barnes, B & Schwingel, A"
24,CHLH203,Introduction to Health Technology,71655,Online,A,ARRANGED,MWF,n.a.,"Hale, T"
25,CHLH206,Human Sexuality,65902,Lecture,AAP,11:00AM - 12:50PM,TR,3005 Huff Hall,"Fujimoto, E"
26,CHLH206,Human Sexuality,31167,Online,ON1,ARRANGED,n.a.,n.a.,"Grabert, R & Schwingel, A"
27,CHLH206,Human Sexuality,57810,Online,ON2,ARRANGED,n.a.,n.a.,"Cole, S & Schwingel, A"
28,CHLH210,Community Health Organizations,48218,Lecture-Discussion,A,01:00PM - 01:50PM,MW,101 Armory,"Greenwalt, N & Schwingel, A"
29,CHLH243,Drug Use and Abuse,65894,Online,ON1,ARRANGED,n.a.,n.a.,"Bazan, C & Schwingel, A"
30,CHLH243,Drug Use and Abuse,57812,Online,ON2,ARRANGED,n.a.,n.a.,"Bazan, C & Schwingel, A"
31,CHLH244,Health Statistics,31235,Discussion/ Recitation,AD1,09:00AM - 09:50AM,M,3005 Huff Hall,"Ogunjesa, B"
32,CHLH244,Health Statistics,31237,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,145 Armory,"Ogunjesa, B"
33,CHLH244,Health Statistics,31246,Lecture,AL1,11:00AM - 11:50AM,MW,333 Armory,"Chiu, C"
34,CHLH250,Health Care Systems,31249,Lecture-Discussion,A,02:00PM - 03:20PM,TR,66 Library,"Raj, M"
35,CHLH250,Health Care Systems,55839,Lecture-Discussion,URH,04:00PM - 05:20PM,MW,9 FAR - Food Service Building,"Mendy, M"
36,CHLH260,Introduction to Medical Ethics,31252,Discussion/ Recitation,AD1,11:00AM - 11:50AM,M,3005 Huff Hall,"Yerkin, M"
37,CHLH260,Introduction to Medical Ethics,31254,Discussion/ Recitation,AD2,12:00PM - 12:50PM,M,3005 Huff Hall,"Yerkin, M"
38,CHLH260,Introduction to Medical Ethics,31256,Discussion/ Recitation,AD3,09:00AM - 09:50AM,T,3005 Huff Hall,"Xu, H"
39,CHLH260,Introduction to Medical Ethics,31258,Discussion/ Recitation,AD4,12:00PM - 12:50PM,W,3005 Huff Hall,"Xu, H"
