,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CI205,Undergraduate Honors Research,69379,Lecture-Discussion,A,04:00PM - 04:50PM,W,17 Education Building,"Hale, J"
1,CI210,Introduction to Digital Learning Environments,70204,Discussion/ Recitation,AD3,01:00PM - 02:50PM,W,166 Education Building,"Kang, J"
2,CI210,Introduction to Digital Learning Environments,70152,Lecture,AL1,01:00PM - 01:50PM,M,22 Education Building,"Kang, J"
3,CI395,Independent Study,10440,Independent Study,,ARRANGED,n.a.,n.a.,
4,CI401,Introductory Teaching in a Diverse Society,46092,Lecture-Discussion,E,08:00AM - 10:50AM,T,42A Education Building,"James, C"
5,CI401,Introductory Teaching in a Diverse Society,46145,Lecture-Discussion,M,08:00AM - 10:50AM,T,22 Education Building,"Poetzel, A"
6,CI401,Introductory Teaching in a Diverse Society,46146,Lecture-Discussion,S,08:00AM - 10:50AM,T,4F Education Building,"Hug, B"
7,CI401,Introductory Teaching in a Diverse Society,43425,Lecture-Discussion,T,08:00AM - 10:50AM,T,166 Education Building,"Hale, J"
8,CI404,Teaching and Assessing Secondary School Students,31868,Online,E,06:00PM - 08:50PM,W,n.a.,"Moermond, V"
9,CI404,Teaching and Assessing Secondary School Students,31896,Online,M,06:00PM - 07:50PM,T,n.a.,"Gutierrez, R"
10,CI404,Teaching and Assessing Secondary School Students,31869,Online,MG,06:00PM - 08:50PM,W,n.a.,"Gutzmer, C"
11,CI404,Teaching and Assessing Secondary School Students,31899,Online,MG2,06:00PM - 08:50PM,W,n.a.,"James, C"
12,CI404,Teaching and Assessing Secondary School Students,31897,Online,S,06:00PM - 08:50PM,W,n.a.,"Dean, S"
13,CI404,Teaching and Assessing Secondary School Students,31898,Online,T,06:00PM - 08:50PM,W,n.a.,"Masters, A"
14,CI407,Theory Practice in Elementary School Teaching II,31903,Online,C1,06:00PM - 07:50PM,T,n.a.,"Dean, S"
15,CI407,Theory Practice in Elementary School Teaching II,31904,Online,C2,06:00PM - 07:50PM,T,n.a.,"Dean, S"
16,CI407,Theory Practice in Elementary School Teaching II,31905,Online,C3,06:00PM - 07:50PM,T,n.a.,"Lane, M"
17,CI415,"Language Varieties, Cultures and Learning",52440,Lecture-Discussion,A,04:00PM - 06:50PM,T,42A Education Building,"Crenshaw, M"
18,CI415,"Language Varieties, Cultures and Learning",52441,Lecture-Discussion,B,09:00AM - 11:50AM,W,42A Education Building,"Gonzalez, M"
19,CI415,"Language Varieties, Cultures and Learning",52443,Lecture-Discussion,C,04:00PM - 06:50PM,R,242 Education Building,"Lomax, K"
20,CI420,Foundations of Early Childhood Education,31915,Lecture-Discussion,AE,09:00AM - 11:20AM,WF,17 Education Building,"Smith, S"
21,CI424,Child Development & Technology,62105,Lecture-Discussion,A,01:00PM - 03:50PM,T,166 Education Building,"D'Angelo, C"
22,CI424,Child Development & Technology,68569,Lecture-Discussion,B,01:00PM - 03:50PM,T,166 Education Building,"D'Angelo, C"
23,CI431,Teaching Elementary Mathematics,31938,Lecture-Discussion,SE,08:00AM - 10:50AM,M,201 505 E Green,"Griffin, C & Poetzel, A"
24,CI432,Investigative Approach to Elementary Mathematics Instruction,63324,Lecture-Discussion,C1,09:00AM - 11:50AM,W,4G Education Building,"Poetzel, A"
25,CI432,Investigative Approach to Elementary Mathematics Instruction,63325,Lecture-Discussion,C2,01:00PM - 03:50PM,W,4G Education Building,"Poetzel, A"
26,CI432,Investigative Approach to Elementary Mathematics Instruction,63326,Lecture-Discussion,C3,01:00PM - 03:50PM,M,4G Education Building,"Brown-Tess, K"
27,CI438,Computer Programming and the Classroom,65292,Online,G4,05:00PM - 07:50PM,M,n.a.,"Paquette, L"
28,CI438,Computer Programming and the Classroom,70537,Online,ONL,05:00PM - 07:50PM,M,n.a.,"Paquette, L"
29,CI438,Computer Programming and the Classroom,70536,Online,UG3,05:00PM - 07:50PM,M,n.a.,"Paquette, L"
30,CI439,Critiques of Educational Technology,73199,Online,A,05:00PM - 07:50PM,R,n.a.,"Lindgren, R"
31,CI439,Critiques of Educational Technology,73200,Online,ONL,05:00PM - 07:50PM,R,n.a.,"Lindgren, R"
32,CI439,Critiques of Educational Technology,73201,Online,UG,05:00PM - 07:50PM,R,n.a.,"Lindgren, R"
33,CI443,Mathematics in Early Childhood Education,68567,Lecture-Discussion,A,01:00PM - 03:50PM,R,17 Education Building,"Taylor, A"
34,CI445,Science and Social Studies Inquiry,70455,Online,A,05:00PM - 06:50PM,W,n.a.,"Harris, J"
35,CI446,Culture in the Classroom,64886,Lecture-Discussion,A,04:00PM - 06:50PM,M,42A Education Building,"Wawire, P"
36,CI446,Culture in the Classroom,67358,Online,B,05:00PM - 07:50PM,W,n.a.,"Castillo, N"
37,CI446,Culture in the Classroom,67359,Online,ONL,05:00PM - 07:50PM,W,n.a.,"Castillo, N"
38,CI448,Teaching Elementary Social Studies,63328,Lecture-Discussion,C1,01:00PM - 03:50PM,M,17 Education Building,"Elassi, A"
39,CI448,Teaching Elementary Social Studies,63329,Lecture-Discussion,C2,09:00AM - 11:50AM,M,385 Education Building,"McMillian, R"
40,CI448,Teaching Elementary Social Studies,63330,Lecture-Discussion,C3,09:00AM - 11:50AM,M,42A Education Building,"Lewis, A"
41,CI451,Teaching Elementary Science II,63332,Lecture-Discussion,C1,01:00PM - 03:50PM,W,4F Education Building,"Machaka, N"
42,CI451,Teaching Elementary Science II,63333,Lecture-Discussion,C2,01:00PM - 03:50PM,M,4F Education Building,"Hug, B"
43,CI451,Teaching Elementary Science II,63334,Lecture-Discussion,C3,09:00AM - 11:50AM,W,4F Education Building,"Leonardi, N"
44,CI466,Language Literacy in Early Childhood Education II,68570,Lecture-Discussion,B,01:00PM - 03:50PM,W,323 Education Building,"MacGregor, N"
45,CI473,Disciplinary Literacy,43436,Discussion/ Recitation,AD1,07:30PM - 08:50PM,T,4G Education Building,
46,CI473,Disciplinary Literacy,48827,Discussion/ Recitation,AD2,07:30PM - 08:50PM,T,42A Education Building,
47,CI473,Disciplinary Literacy,56814,Lecture,AL1,06:00PM - 07:20PM,T,2 Education Building,"Moermond, V"
48,CI473,Disciplinary Literacy,31968,Discussion/ Recitation,BD1,07:30PM - 08:50PM,M,166 Education Building,"Bridges, m"
49,CI473,Disciplinary Literacy,48711,Discussion/ Recitation,BD2,07:30PM - 08:50PM,M,42A Education Building,"Pinto, J"
50,CI473,Disciplinary Literacy,49877,Discussion/ Recitation,BD3,07:30PM - 08:50PM,M,17 Education Building,"Pinto, J"
51,CI473,Disciplinary Literacy,48828,Discussion/ Recitation,BD4,07:30PM - 08:50PM,M,162 Education Building,"Conerty, J"
52,CI473,Disciplinary Literacy,56816,Lecture,BL2,06:00PM - 07:20PM,M,2 Education Building,"Bridges, m"
53,CI473,Disciplinary Literacy,49879,Discussion/ Recitation,CD1,07:30PM - 08:50PM,T,166 Education Building,"Moermond, V"
54,CI473,Disciplinary Literacy,31965,Lecture,CL1,06:00PM - 07:20PM,T,2 Education Building,"Moermond, V"
55,CI475,Teaching Elementary Reading and Language Arts I,63338,Lecture-Discussion,C1,09:00AM - 11:50AM,M,242 Education Building,"MacGregor, N"
56,CI475,Teaching Elementary Reading and Language Arts I,63339,Lecture-Discussion,C2,09:00AM - 11:50AM,W,323 Education Building,"MacGregor, N"
57,CI475,Teaching Elementary Reading and Language Arts I,63340,Lecture-Discussion,C3,01:00PM - 03:50PM,W,242 Education Building,"Zhang, J"
58,CI475,Teaching Elementary Reading and Language Arts I,64887,Lecture-Discussion,SE1,05:00PM - 07:50PM,R,42A Education Building,"Talbott, S"
59,CI475,Teaching Elementary Reading and Language Arts I,31969,Lecture-Discussion,SE2,05:00PM - 07:50PM,R,42A Education Building,"Talbott, S"
60,CI477,Bilingual/ESL Methods & Materials,53472,Online,A,04:00PM - 06:50PM,M,n.a.,"Nunez Cortez, I"
61,CI477,Bilingual/ESL Methods & Materials,63342,Lecture-Discussion,B,04:00PM - 06:50PM,T,242 Education Building,"Nunez Cortez, I"
62,CI477,Bilingual/ESL Methods & Materials,61551,Online,ONL,04:00PM - 06:50PM,M,n.a.,"Nunez Cortez, I"
63,CI483,Computer Systems for CS Teachers,73450,Online,A,05:00PM - 07:50PM,T,n.a.,"Fong, M"
64,CI492,Discrete Mathematics for CS Teachers,73449,Online,A,05:00PM - 07:50PM,T,n.a.,"Bajpai, T"
65,CI499,Issues and Development in Education,40444,Online,TS,03:00PM - 05:00PM,R,n.a.,"Hug, B"
66,CI499,Issues and Development in Education,52344,Online,TSO,03:00PM - 05:00PM,R,n.a.,"Hug, B"
67,CI501,Curriculum Development for the 21st Century,31985,Online,A,ARRANGED,n.a.,n.a.,"Smith, S"
68,CI501,Curriculum Development for the 21st Century,47622,Online,ONL,ARRANGED,n.a.,n.a.,"Smith, S"
69,CI517,Bilingual and English as a Second Language Assessment,60668,Online,B,04:00PM - 06:50PM,M,n.a.,"Martinez Negrette, G"
70,CI517,Bilingual and English as a Second Language Assessment,63963,Online,ONL,04:00PM - 06:50PM,M,n.a.,"Martinez Negrette, G"
71,CI517,Bilingual and English as a Second Language Assessment,64240,Online,UG,04:00PM - 06:50PM,M,n.a.,"Martinez Negrette, G"
72,CI543,Constructivism & STEM Education,58554,Lecture-Discussion,A,04:00PM - 06:50PM,M,4F Education Building,"Krist, C"
73,CI544,Education Reforms & Inquiry,61418,Online,MST,06:00PM - 08:50PM,T,n.a.,"Hug, B"
74,CI544,Education Reforms & Inquiry,57264,Online,ONL,06:00PM - 08:50PM,T,n.a.,"Hug, B"
75,CI550,Methods of Educational Inquiry,32001,Lecture-Discussion,A,05:00PM - 07:50PM,M,22 Education Building,"Zarate, K"
76,CI550,Methods of Educational Inquiry,70563,Online,ONL,07:00PM - 09:30PM,W,n.a.,"Bear, J & Lee, S"
77,CI552,Qualitative Writing,57745,Lecture-Discussion,A,02:00PM - 04:20PM,T,210A Education Building,"Goodnight, M"
78,CI552,Qualitative Writing,71921,Online,ONL,05:00PM - 07:20PM,T,n.a.,"Goodnight, M"
79,CI561,Theory & Practice in Children's and Youth's Composition,39532,Online,A,04:00PM - 06:50PM,T,n.a.,"McCarthey, S"
80,CI565,Topics Research and Writing,43361,Lecture-Discussion,T,03:00PM - 05:50PM,R,123 English Building,"Russell, L"
81,CI565,Topics Research and Writing,32284,Lecture-Discussion,X,12:00PM - 02:50PM,R,135 English Building,"Prior, P"
82,CI587,Multicultural Literature K-12,57263,Lecture-Discussion,A,04:00PM - 06:50PM,R,323 Education Building,"Gonzalez, M"
83,CI590,Seminar for Advanced Study of Education,10448,Independent Study,,ARRANGED,n.a.,n.a.,
84,CI590,Seminar for Advanced Study of Education,14923,Lecture-Discussion,SEM,04:00PM - 05:50PM,T,162 Education Building,"Tissenbaum, M"
85,CI590,Seminar for Advanced Study of Education,49849,Online,TE,04:00PM - 06:00PM,W,n.a.,"Castillo, N"
86,CI590,Seminar for Advanced Study of Education,48825,Online,TEO,04:00PM - 06:00PM,W,n.a.,"Castillo, N"
87,CI591,Field Study & Thesis Seminar,10450,Independent Study,,ARRANGED,n.a.,n.a.,
88,CI595,Independent Study,10443,Independent Study,,ARRANGED,n.a.,n.a.,
89,CI599,Thesis Research,10452,Independent Study,,ARRANGED,n.a.,n.a.,
