,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CIC500,CIC Traveling Scholar,30931,Conference,A,ARRANGED,n.a.,Location Pending,"Hart, J"
1,CIC500,CIC Traveling Scholar,43288,Conference,B,ARRANGED,n.a.,Location Pending,"Hart, J"
2,CIC500,CIC Traveling Scholar,43289,Conference,C,ARRANGED,n.a.,Location Pending,"Hart, J"
3,CIC500,CIC Traveling Scholar,43290,Conference,D,ARRANGED,n.a.,Location Pending,"Hart, J"
4,CIC500,CIC Traveling Scholar,43291,Conference,E,ARRANGED,n.a.,Location Pending,"Hart, J"
5,CIC500,CIC Traveling Scholar,43292,Conference,F,ARRANGED,n.a.,Location Pending,"Hart, J"
6,CIC500,CIC Traveling Scholar,43293,Conference,G,ARRANGED,n.a.,Location Pending,"Hart, J"
7,CIC500,CIC Traveling Scholar,43294,Conference,H,ARRANGED,n.a.,Location Pending,"Hart, J"
8,CIC500,CIC Traveling Scholar,43295,Conference,I,ARRANGED,n.a.,Location Pending,"Hart, J"
9,CIC500,CIC Traveling Scholar,43296,Conference,J,ARRANGED,n.a.,Location Pending,"Hart, J"
