,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CLCV100,Vocabulary Building from Greek and Latin Roots,70177,Online,ON1,ARRANGED,n.a.,n.a.,"Furner, J"
1,CLCV100,Vocabulary Building from Greek and Latin Roots,70178,Online,ON2,ARRANGED,n.a.,n.a.,"Furner, J"
2,CLCV102,Medical Terms-GRK & LAT Roots,70175,Online,ON1,ARRANGED,n.a.,n.a.,"Furner, J"
3,CLCV102,Medical Terms-GRK & LAT Roots,70176,Online,ON2,ARRANGED,n.a.,n.a.,"Furner, J"
4,CLCV111,Mythology of Greece and Rome,31318,Online Lecture,A,01:00PM - 01:50PM,TR,n.a.,"Solomon, J"
5,CLCV115,Mythology of Greece and Rome,31321,Discussion/ Recitation,ADC,10:00AM - 10:50AM,F,111 David Kinley Hall,"Merkley, K"
6,CLCV115,Mythology of Greece and Rome,31322,Discussion/ Recitation,ADD,03:00PM - 03:50PM,R,222 David Kinley Hall,"McQueen, K"
7,CLCV115,Mythology of Greece and Rome,31323,Discussion/ Recitation,ADE,01:00PM - 01:50PM,F,207 Gregory Hall,"Reymann, E"
8,CLCV115,Mythology of Greece and Rome,31324,Discussion/ Recitation,ADF,10:00AM - 10:50AM,F,111 Gregory Hall,"Rahat, G"
9,CLCV115,Mythology of Greece and Rome,31325,Discussion/ Recitation,ADG,02:00PM - 02:50PM,R,222 David Kinley Hall,"Baronovic, J"
10,CLCV115,Mythology of Greece and Rome,31326,Discussion/ Recitation,ADH,10:00AM - 10:50AM,F,138 Wohlers Hall,"Jennings, E"
11,CLCV115,Mythology of Greece and Rome,31327,Discussion/ Recitation,ADI,09:00AM - 09:50AM,F,40 Allen Residence Hall,"Smith, A"
12,CLCV115,Mythology of Greece and Rome,31328,Discussion/ Recitation,ADJ,12:00PM - 12:50PM,F,111 David Kinley Hall,"Vandervelde, A"
13,CLCV115,Mythology of Greece and Rome,31329,Discussion/ Recitation,ADK,09:00AM - 09:50AM,F,207 Gregory Hall,"Scheele, G"
14,CLCV115,Mythology of Greece and Rome,31330,Discussion/ Recitation,ADL,11:00AM - 11:50AM,F,111 David Kinley Hall,"Vandervelde, A"
15,CLCV115,Mythology of Greece and Rome,38766,Discussion/ Recitation,ADM,01:00PM - 01:50PM,F,138 Wohlers Hall,"Scheele, G"
