,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CLE610,"Faith, Medicine, and End-of-Life Care",73254,Online,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
1,CLE613,Introduction to Clinical Practice (Longitudinal),71381,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
2,CLE645,Internal Medicine Clerkship,71229,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
3,CLE645,Internal Medicine Clerkship,71331,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
4,CLE650,Neurology Clerkship,71230,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
5,CLE650,Neurology Clerkship,71231,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
6,CLE650,Neurology Clerkship,71333,Practice,C,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
7,CLE650,Neurology Clerkship,73350,Practice,D,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
8,CLE655,Psychiatry Clerkship,71232,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
9,CLE655,Psychiatry Clerkship,71233,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
10,CLE655,Psychiatry Clerkship,71334,Practice,C,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
11,CLE655,Psychiatry Clerkship,73351,Practice,D,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
12,CLE660,Obstetrics & Gynecology Clerkship,71234,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
13,CLE660,Obstetrics & Gynecology Clerkship,71235,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
14,CLE660,Obstetrics & Gynecology Clerkship,71335,Practice,C,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
15,CLE660,Obstetrics & Gynecology Clerkship,73352,Practice,D,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
16,CLE665,Pediatrics Clerkship,71236,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
17,CLE665,Pediatrics Clerkship,71237,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
18,CLE665,Pediatrics Clerkship,71336,Practice,C,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
19,CLE665,Pediatrics Clerkship,73353,Practice,D,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
20,CLE670,Surgery Clerkship,71238,Practice,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
21,CLE670,Surgery Clerkship,71332,Practice,B,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
22,CLE675,Adult Reconstruction - Hip and Knee,73324,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
23,CLE680,Family Medicine Continuity Clinic,71329,Practice,A,ARRANGED,MTWR,Location Pending,"Richards, V & Van Orman, C"
24,CLE680,Family Medicine Continuity Clinic,73354,Practice,B,ARRANGED,MTWR,Location Pending,"Richards, V & Van Orman, C"
25,CLE681,General Surgery Sub-Internship,73318,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
26,CLE683,Pediatrics Sub-Internship,73320,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
27,CLE684,Internal Medicine Sub-Internship,73319,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
28,CLE685,Anesthesiology Sub-Internship,73321,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
29,CLE686,Neurology Sub-Internship,73322,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
30,CLE687,Obstetrics and Gynecology Sub-Internship,73323,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
31,CLE690,Clinical Research,73255,Research,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
32,CLE691,Translational Research,73257,Research,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
33,CLE692,Immersion in Clinical Practice - Phase 2,73809,Lecture-Discussion,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
34,CLE693,Self-designed Clinical Elective,73264,Independent Study,A,ARRANGED,MTWRF,n.a.,"Richards, V & Van Orman, C"
35,CLE694,Career Boot Camp,73454,Lecture,A,ARRANGED,MTWRF,Location Pending,"Richards, V & Van Orman, C"
36,CLE702,Anesthesiology,73271,Practice,A,ARRANGED,MTWRF,ARR Carle Foundation Hospital,"Richards, V & Van Orman, C"
37,CLE704,Dermatology,73276,Practice,A,ARRANGED,MTWRF,ARR Christie Clinic,"Richards, V & Van Orman, C"
