,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CMN101,Public Speaking,50462,Lecture-Discussion,A1,08:00AM - 08:50AM,MWF,1026 Lincoln Hall,"Booth, M"
1,CMN101,Public Speaking,50464,Lecture-Discussion,B1,09:00AM - 09:50AM,MWF,1026 Lincoln Hall,"Marshall, A"
2,CMN101,Public Speaking,50465,Lecture-Discussion,B2,09:00AM - 09:50AM,MWF,1062 Lincoln Hall,"Khanam, S"
3,CMN101,Public Speaking,50466,Online,B3,09:00AM - 09:50AM,MWF,n.a.,"Brewster, J"
4,CMN101,Public Speaking,50468,Lecture-Discussion,C1,10:00AM - 10:50AM,MWF,1026 Lincoln Hall,"Marshall, A"
5,CMN101,Public Speaking,50469,Lecture-Discussion,C2,10:00AM - 10:50AM,MWF,1062 Lincoln Hall,"Khanam, S"
6,CMN101,Public Speaking,50470,Lecture-Discussion,C3,10:00AM - 10:50AM,MWF,136 Armory,"Livingston, N"
7,CMN101,Public Speaking,50471,Lecture-Discussion,C4,10:00AM - 10:50AM,MWF,137 Armory,"Choudhry, B"
8,CMN101,Public Speaking,50479,Online,C5,10:00AM - 10:50AM,MWF,n.a.,"Brewster, J"
9,CMN101,Public Speaking,50481,Lecture-Discussion,D1,11:00AM - 11:50AM,MWF,1026 Lincoln Hall,"Knight, A"
10,CMN101,Public Speaking,50482,Lecture-Discussion,D2,11:00AM - 11:50AM,MWF,136 Armory,"Babu, S"
11,CMN101,Public Speaking,50483,Lecture-Discussion,D3,11:00AM - 11:50AM,MWF,1062 Lincoln Hall,"Stewart, N"
12,CMN101,Public Speaking,50484,Lecture-Discussion,D4,11:00AM - 11:50AM,MWF,137 Armory,"Paros, B"
13,CMN101,Public Speaking,58526,Online,D6,11:00AM - 11:50AM,MWF,n.a.,"Ross, A"
14,CMN101,Public Speaking,50486,Lecture-Discussion,E1,12:00PM - 12:50PM,MWF,1062 Lincoln Hall,"Stewart, N"
15,CMN101,Public Speaking,58528,Lecture-Discussion,E2,12:00PM - 12:50PM,MWF,136 Armory,"Salas, M"
16,CMN101,Public Speaking,58531,Lecture-Discussion,E3,12:00PM - 12:50PM,MWF,137 Armory,"Paros, B"
17,CMN101,Public Speaking,50489,Online,E4,12:00PM - 12:50PM,MWF,n.a.,"Ross, A"
18,CMN101,Public Speaking,50490,Lecture-Discussion,F1,01:00PM - 01:50PM,MWF,1026 Lincoln Hall,"Rodriguez, M"
19,CMN101,Public Speaking,50491,Lecture-Discussion,F2,01:00PM - 01:50PM,MWF,1062 Lincoln Hall,"Luk, S"
20,CMN101,Public Speaking,58532,Lecture-Discussion,F3,01:00PM - 01:50PM,MWF,136 Armory,"Salas, M"
21,CMN101,Public Speaking,50498,Lecture-Discussion,F4,01:00PM - 01:50PM,MWF,137 Armory,"Gailey, B"
22,CMN101,Public Speaking,50497,Online,F5,01:00PM - 01:50PM,MWF,n.a.,"Bacon, E"
23,CMN101,Public Speaking,50506,Lecture-Discussion,G1,02:00PM - 03:20PM,MW,1026 Lincoln Hall,"Workman, H"
24,CMN101,Public Speaking,58492,Lecture-Discussion,H1,02:00PM - 02:50PM,MWF,1062 Lincoln Hall,"Luk, S"
25,CMN101,Public Speaking,50504,Online,H2,02:00PM - 02:50PM,MWF,n.a.,"Bacon, E"
26,CMN101,Public Speaking,58530,Online,L1,08:00AM - 09:20AM,TR,n.a.,"Alberti, G"
27,CMN101,Public Speaking,50501,Lecture-Discussion,M1,09:30AM - 10:50AM,TR,1026 Lincoln Hall,"Rollins, D"
28,CMN101,Public Speaking,50502,Lecture-Discussion,M2,09:30AM - 10:50AM,TR,1062 Lincoln Hall,"Devey, E"
29,CMN101,Public Speaking,50503,Lecture-Discussion,M3,09:30AM - 10:50AM,TR,136 Armory,"Yan, J"
30,CMN101,Public Speaking,58533,Online,M4,09:30AM - 10:50AM,TR,n.a.,"Alberti, G"
