,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CPSC113,"Environment, Agric, & Society",71645,Lecture-Discussion,A,02:00PM - 03:20PM,TR,W109 Turner Hall,"Christianson, R"
1,CPSC113,"Environment, Agric, & Society",71686,Online,B,ARRANGED,n.a.,n.a.,"Christianson, R"
2,CPSC116,The Global Food Production Web,48193,Lecture-Discussion,A,06:00PM - 08:50PM,W,103 Mumford Hall,"Bohn, M"
3,CPSC180,Medicinal Plants and Herbology,34188,Lecture-Discussion,A,11:00AM - 11:50AM,MWF,W109 Turner Hall,"Riggins, C"
4,CPSC180,Medicinal Plants and Herbology,69405,Online,OLP,ARRANGED,n.a.,n.a.,"Riggins, C"
5,CPSC212,Introduction to Plant Protection,71662,Laboratory,AB1,09:00AM - 10:50AM,T,W9 Turner Hall,"Athey, K & Schroeder, N & Tranel, P"
6,CPSC212,Introduction to Plant Protection,71663,Laboratory,AB2,12:00PM - 01:50PM,T,W9 Turner Hall,"Athey, K & Schroeder, N & Tranel, P"
7,CPSC212,Introduction to Plant Protection,71661,Lecture,AL1,09:00AM - 09:50AM,MWF,W109 Turner Hall,"Athey, K & Schroeder, N & Tranel, P"
8,CPSC241,Intro to Applied Statistics,31493,Laboratory,A,01:00PM - 02:50PM,W,M205 Turner Hall,"Martin, N"
9,CPSC261,Biotechnology in Agriculture,31518,Lecture-Discussion,A,09:30AM - 10:50AM,TR,W203 Turner Hall,"Moose, S"
10,CPSC265,Genetic Engineering Lab,31495,Laboratory,A,12:00PM - 03:50PM,M,M5 Turner Hall,"Lambert, K"
11,CPSC393,Crop Sciences Internship,70102,Internship,,ARRANGED,n.a.,Location Pending,
12,CPSC395,Undergrad Research or Thesis,70275,Independent Study,,ARRANGED,n.a.,n.a.,
13,CPSC396,Undergrad Honors Res or Thesis,10562,Independent Study,,ARRANGED,n.a.,n.a.,
14,CPSC418,Crop Growth and Management,31547,Online Lecture Discussion,A,02:00PM - 03:20PM,T,n.a.,"Villamil, M"
15,CPSC431,Plants and Global Change,31539,Lecture-Discussion,A,11:00AM - 12:20PM,TR,2020B Natural History Building,"Ainsworth, E & Leakey, A"
16,CPSC436,Conservation Biology,39490,Laboratory,AB1,02:00PM - 03:50PM,T,4004 Natural History Building,"Paige, K"
17,CPSC436,Conservation Biology,39494,Laboratory,AB2,12:00PM - 01:50PM,T,4004 Natural History Building,"Paige, K"
18,CPSC436,Conservation Biology,47629,Laboratory,AB3,12:00PM - 01:50PM,W,4004 Natural History Building,"Paige, K"
19,CPSC436,Conservation Biology,39487,Lecture,AL1,09:30AM - 10:50AM,TR,2020B Natural History Building,"Paige, K"
20,CPSC453,Principles of Plant Breeding,31550,Laboratory,A,02:00PM - 03:50PM,T,W115 Turner Hall,"Diers, B"
