,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CS101,Intro Computing: Engrg & Sci,31018,Online Lecture,AL1,12:00PM - 12:50PM,MW,n.a.,"Davis, N"
1,CS101,Intro Computing: Engrg & Sci,31115,Laboratory-Discussion,AYA,02:00PM - 03:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
2,CS101,Intro Computing: Engrg & Sci,31116,Laboratory-Discussion,AYB,04:00PM - 05:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
3,CS101,Intro Computing: Engrg & Sci,31117,Laboratory-Discussion,AYC,06:00PM - 07:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
4,CS101,Intro Computing: Engrg & Sci,31118,Laboratory-Discussion,AYD,09:00AM - 10:50AM,T,L416 Digital Computer Laboratory,"Davis, N"
5,CS101,Intro Computing: Engrg & Sci,58967,Laboratory-Discussion,AYE,11:00AM - 12:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
6,CS101,Intro Computing: Engrg & Sci,31119,Laboratory-Discussion,AYF,01:00PM - 02:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
7,CS101,Intro Computing: Engrg & Sci,31120,Laboratory-Discussion,AYG,03:00PM - 04:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
8,CS101,Intro Computing: Engrg & Sci,31122,Laboratory-Discussion,AYH,05:00PM - 06:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
9,CS101,Intro Computing: Engrg & Sci,31123,Laboratory-Discussion,AYI,02:00PM - 03:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
10,CS101,Intro Computing: Engrg & Sci,31121,Laboratory-Discussion,AYJ,04:00PM - 05:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
11,CS101,Intro Computing: Engrg & Sci,31124,Laboratory-Discussion,AYK,06:00PM - 07:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
12,CS101,Intro Computing: Engrg & Sci,31125,Laboratory-Discussion,AYL,09:00AM - 10:50AM,R,L416 Digital Computer Laboratory,"Davis, N"
13,CS101,Intro Computing: Engrg & Sci,58968,Laboratory-Discussion,AYM,11:00AM - 12:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
14,CS101,Intro Computing: Engrg & Sci,31126,Laboratory-Discussion,AYN,01:00PM - 02:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
15,CS101,Intro Computing: Engrg & Sci,62100,Laboratory-Discussion,AYO,03:00PM - 04:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
16,CS101,Intro Computing: Engrg & Sci,62101,Laboratory-Discussion,AYP,05:00PM - 06:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
17,CS101,Intro Computing: Engrg & Sci,62102,Laboratory-Discussion,AYQ,09:00AM - 10:50AM,F,L416 Digital Computer Laboratory,"Davis, N"
18,CS101,Intro Computing: Engrg & Sci,62103,Laboratory-Discussion,AYR,11:00AM - 12:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
19,CS101,Intro Computing: Engrg & Sci,31020,Laboratory-Discussion,AYS,01:00PM - 02:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
20,CS101,Intro Computing: Engrg & Sci,72066,Laboratory-Discussion,AYT,03:00PM - 04:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
21,CS102,Little Bits to Big Ideas,63230,Laboratory,AB1,04:00PM - 05:15PM,T,G27 Foreign Languages Building,"Mathew, R"
22,CS102,Little Bits to Big Ideas,63231,Laboratory,AB2,04:00PM - 05:15PM,W,G27 Foreign Languages Building,"Kashinath, A"
23,CS102,Little Bits to Big Ideas,63232,Laboratory,AB3,04:00PM - 05:15PM,R,G27 Foreign Languages Building,"Mathew, R"
24,CS102,Little Bits to Big Ideas,66601,Laboratory,AB4,05:30PM - 06:45PM,T,G27 Foreign Languages Building,"Mathew, R"
25,CS102,Little Bits to Big Ideas,66603,Laboratory,AB5,05:30PM - 06:45PM,W,G27 Foreign Languages Building,"Kashinath, A"
26,CS102,Little Bits to Big Ideas,63225,Lecture,AL1,09:00AM - 09:50AM,MWF,100 Materials Science & Eng Bld,"Cunningham, R"
27,CS105,Intro Computing: Non-Tech,31127,Online Lecture,AL1,09:00AM - 10:45AM,R,n.a.,"Zilles, C"
28,CS105,Intro Computing: Non-Tech,31128,Online Lecture,AL2,04:00PM - 05:45PM,R,n.a.,"Zilles, C"
29,CS105,Intro Computing: Non-Tech,31144,Laboratory-Discussion,AYA,10:00AM - 11:20AM,T,101 901 W Oregon,"Zilles, C"
30,CS105,Intro Computing: Non-Tech,31145,Laboratory-Discussion,AYB,11:30AM - 12:50PM,T,101 901 W Oregon,"Zilles, C"
31,CS105,Intro Computing: Non-Tech,31134,Laboratory-Discussion,AYC,01:00PM - 02:20PM,T,101 901 W Oregon,"Zilles, C"
32,CS105,Intro Computing: Non-Tech,31131,Laboratory-Discussion,AYD,02:30PM - 03:50PM,T,101 901 W Oregon,"Zilles, C"
33,CS105,Intro Computing: Non-Tech,31132,Laboratory-Discussion,AYE,04:00PM - 05:20PM,T,101 901 W Oregon,"Zilles, C"
34,CS105,Intro Computing: Non-Tech,31135,Laboratory-Discussion,AYF,10:00AM - 11:20AM,W,101 901 W Oregon,"Zilles, C"
35,CS105,Intro Computing: Non-Tech,31136,Laboratory-Discussion,AYG,11:30AM - 12:50PM,W,101 901 W Oregon,"Zilles, C"
36,CS105,Intro Computing: Non-Tech,31137,Laboratory-Discussion,AYH,01:00PM - 02:20PM,W,101 901 W Oregon,"Zilles, C"
37,CS105,Intro Computing: Non-Tech,31138,Laboratory-Discussion,AYI,02:30PM - 03:50PM,W,101 901 W Oregon,"Zilles, C"
38,CS105,Intro Computing: Non-Tech,31139,Laboratory-Discussion,AYJ,04:00PM - 05:20PM,W,101 901 W Oregon,"Zilles, C"
39,CS105,Intro Computing: Non-Tech,31142,Laboratory-Discussion,AYM,02:00PM - 03:20PM,M,101 901 W Oregon,"Zilles, C"
40,CS105,Intro Computing: Non-Tech,31143,Laboratory-Discussion,AYN,03:30PM - 04:50PM,M,101 901 W Oregon,"Zilles, C"
41,CS105,Intro Computing: Non-Tech,31147,Laboratory-Discussion,AYP,05:00PM - 06:20PM,M,101 901 W Oregon,"Zilles, C"
42,CS107,Data Science Discovery,70340,Lecture,AL1,12:00PM - 12:50PM,MWF,100 Noyes Laboratory,"Fagen-Ulmschneider, W & Flanagan, K"
43,CS107,Data Science Discovery,70341,Laboratory-Discussion,AYA,09:30AM - 10:50AM,W,2078 Natural History Building,
44,CS107,Data Science Discovery,70344,Laboratory-Discussion,AYB,02:00PM - 03:20PM,W,1035 Campus Instructional Facility,
45,CS107,Data Science Discovery,70345,Laboratory-Discussion,AYC,03:30PM - 04:50PM,W,1035 Campus Instructional Facility,
46,CS107,Data Science Discovery,70346,Laboratory-Discussion,AYD,09:30AM - 10:50AM,R,1038 Campus Instructional Facility,
47,CS107,Data Science Discovery,70347,Laboratory-Discussion,AYE,11:00AM - 12:20PM,R,1038 Campus Instructional Facility,
48,CS107,Data Science Discovery,70348,Laboratory-Discussion,AYF,12:30PM - 01:50PM,R,1038 Campus Instructional Facility,
49,CS107,Data Science Discovery,70349,Laboratory-Discussion,AYG,02:00PM - 03:20PM,R,1038 Campus Instructional Facility,
50,CS107,Data Science Discovery,70350,Laboratory-Discussion,AYH,03:30PM - 04:50PM,R,1038 Campus Instructional Facility,
51,CS107,Data Science Discovery,70352,Laboratory-Discussion,AYI,05:00PM - 06:20PM,R,1038 Campus Instructional Facility,
52,CS107,Data Science Discovery,70342,Laboratory-Discussion,AYJ,09:30AM - 10:50AM,F,1038 Campus Instructional Facility,
53,CS107,Data Science Discovery,70343,Laboratory-Discussion,AYK,01:00PM - 02:20PM,F,2078 Natural History Building,
54,CS107,Data Science Discovery,70351,Laboratory-Discussion,AYL,02:30PM - 03:50PM,F,1035 Campus Instructional Facility,
55,CS124,Introduction to Computer Science I,71571,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Challen, G"
56,CS124,Introduction to Computer Science I,71572,Online Lecture,ALP,ARRANGED,n.a.,n.a.,"Challen, G"
57,CS124,Introduction to Computer Science I,71573,Discussion/ Recitation,AYA,09:00AM - 09:50AM,R,0403 Siebel Center for Comp Sci,"Challen, G"
58,CS124,Introduction to Computer Science I,71574,Discussion/ Recitation,AYB,10:00AM - 10:50AM,R,0403 Siebel Center for Comp Sci,"Challen, G"
59,CS124,Introduction to Computer Science I,71575,Discussion/ Recitation,AYC,11:00AM - 11:50AM,R,0403 Siebel Center for Comp Sci,"Challen, G"
60,CS124,Introduction to Computer Science I,71576,Discussion/ Recitation,AYD,12:00PM - 12:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
61,CS124,Introduction to Computer Science I,71577,Discussion/ Recitation,AYE,01:00PM - 01:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
62,CS124,Introduction to Computer Science I,71578,Discussion/ Recitation,AYF,02:00PM - 02:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
63,CS124,Introduction to Computer Science I,71579,Discussion/ Recitation,AYG,03:00PM - 03:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
64,CS124,Introduction to Computer Science I,71580,Discussion/ Recitation,AYH,04:00PM - 04:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
65,CS124,Introduction to Computer Science I,71581,Discussion/ Recitation,AYI,05:00PM - 05:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
66,CS124,Introduction to Computer Science I,71582,Discussion/ Recitation,AYJ,06:00PM - 06:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
67,CS124,Introduction to Computer Science I,71583,Discussion/ Recitation,AYK,07:00PM - 07:50PM,R,0403 Siebel Center for Comp Sci,"Challen, G"
68,CS124,Introduction to Computer Science I,71584,Discussion/ Recitation,AYL,09:00AM - 09:50AM,R,125 David Kinley Hall,"Challen, G"
69,CS124,Introduction to Computer Science I,71585,Discussion/ Recitation,AYM,10:00AM - 10:50AM,R,125 David Kinley Hall,"Challen, G"
