,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CSE401,Numerical Analysis,31432,Lecture-Discussion,B3,09:30AM - 10:45AM,WF,180 Bevier Hall,"Fischer, P"
1,CSE401,Numerical Analysis,31434,Lecture-Discussion,B4,09:30AM - 10:45AM,WF,180 Bevier Hall,"Fischer, P"
2,CSE402,Parallel Progrmg: Sci & Engrg,31372,Lecture-Discussion,D3,12:30PM - 01:45PM,TR,1320 Digital Computer Laboratory,"Kanakagiri, R"
3,CSE402,Parallel Progrmg: Sci & Engrg,39738,Lecture-Discussion,D4,12:30PM - 01:45PM,TR,1320 Digital Computer Laboratory,"Kanakagiri, R"
4,CSE412,Numerical Thermo-Fluid Mechs,61262,Lecture-Discussion,F2,01:00PM - 01:50PM,MWF,2051 Sidney Lu Mech Engr Bldg,"Vanka, S"
5,CSE412,Numerical Thermo-Fluid Mechs,61337,Lecture-Discussion,F3,01:00PM - 01:50PM,MWF,2051 Sidney Lu Mech Engr Bldg,"Vanka, S"
6,CSE412,Numerical Thermo-Fluid Mechs,61340,Lecture-Discussion,F4,01:00PM - 01:50PM,MWF,2051 Sidney Lu Mech Engr Bldg,"Vanka, S"
7,CSE414,Algorithms,31560,Lecture,AL1,02:00PM - 03:15PM,TR,1404 Siebel Center for Comp Sci,"Forbes, M"
8,CSE414,Algorithms,58767,Lecture,AL2,02:00PM - 03:15PM,TR,1404 Siebel Center for Comp Sci,"Forbes, M"
9,CSE422,Computer System Organization,31408,Lecture-Discussion,S3,02:00PM - 03:15PM,TR,1304 Siebel Center for Comp Sci,"Fletcher, C"
10,CSE422,Computer System Organization,31409,Lecture-Discussion,S4,02:00PM - 03:15PM,TR,1304 Siebel Center for Comp Sci,"Fletcher, C"
11,CSE427,Interactive Computer Graphics,31363,Lecture,AL1,11:00AM - 12:15PM,WF,103 Transportation Building,"Shaffer, E"
12,CSE427,Interactive Computer Graphics,31364,Lecture,AL2,11:00AM - 12:15PM,WF,103 Transportation Building,"Shaffer, E"
13,CSE428,Statistical Computing,63948,Lecture-Discussion,1GR,12:00PM - 12:50PM,MWF,1002 Lincoln Hall,"Zhang, S"
14,CSE428,Statistical Computing,63949,Lecture-Discussion,1UG,12:00PM - 12:50PM,MWF,1002 Lincoln Hall,"Zhang, S"
15,CSE440,Statistical Data Management,63955,Lecture-Discussion,1GR,11:00AM - 11:50AM,MWF,131 Animal Sciences Laboratory,"Kinson, C"
16,CSE440,Statistical Data Management,63956,Lecture-Discussion,1UG,11:00AM - 11:50AM,MWF,131 Animal Sciences Laboratory,"Kinson, C"
17,CSE440,Statistical Data Management,63957,Lecture-Discussion,2GR,04:00PM - 04:50PM,MWF,32 Psychology Building,"Kinson, C"
18,CSE440,Statistical Data Management,63958,Lecture-Discussion,2UG,04:00PM - 04:50PM,MWF,32 Psychology Building,"Kinson, C"
19,CSE441,Introduction to Optimization,33980,Online Discussion,OP3,11:00AM - 12:20PM,TR,n.a.,"Hu, B"
20,CSE441,Introduction to Optimization,54361,Online Discussion,OP4,11:00AM - 12:20PM,TR,n.a.,"Hu, B"
21,CSE448,Advanced Data Analysis,63959,Lecture-Discussion,1GR,11:00AM - 11:50AM,MWF,2233 Everitt Laboratory,"Glosemeyer, D"
22,CSE448,Advanced Data Analysis,67123,Lecture-Discussion,1UG,11:00AM - 11:50AM,MWF,2233 Everitt Laboratory,"Glosemeyer, D"
23,CSE448,Advanced Data Analysis,63960,Online,OGR,ARRANGED,n.a.,n.a.,"Bravo De Guenni, L"
24,CSE448,Advanced Data Analysis,67125,Online,OUG,ARRANGED,n.a.,n.a.,"Bravo De Guenni, L"
25,CSE451,Finite Element Analysis,37474,Lecture-Discussion,B3,12:00PM - 01:20PM,MW,4100 Sidney Lu Mech Engr Bldg,"Mercer, B"
26,CSE451,Finite Element Analysis,59678,Lecture-Discussion,B4,12:00PM - 01:20PM,MW,4100 Sidney Lu Mech Engr Bldg,"Mercer, B"
27,CSE461,Computational Aerodynamics,29957,Lecture-Discussion,A,01:00PM - 02:20PM,MW,403B2 Engineering Hall,"Hagen, W"
28,CSE461,Computational Aerodynamics,62529,Online,ONL,ARRANGED,n.a.,n.a.,"Hagen, W"
29,CSE498,Special Topics,70543,Lecture-Discussion,DM,11:00AM - 12:20PM,TR,2051 Sidney Lu Mech Engr Bldg,"Schleife, A"
30,CSE498,Special Topics,73402,Online,IM,10:00AM - 11:20AM,MW,n.a.,"Davis, N & Wickes, E"
31,CSE510,Numerical Methods for PDEs,50118,Lecture,N,11:00AM - 12:15PM,WF,3025 Campus Instructional Facility,"Kloeckner, A"
32,CSE522,Parallel Computer Architecture,57171,Lecture-Discussion,S,09:30AM - 10:45AM,TR,1109 Siebel Center for Comp Sci,"Torrellas, J"
33,CSE525,Computational Statistics,63832,Lecture-Discussion,A1,09:30AM - 10:50AM,TR,106B8 Engineering Hall,"Wang, S"
34,CSE542,Statistical Learning,63828,Lecture-Discussion,A1,03:00PM - 03:50PM,MWF,1002 Lincoln Hall,"Zhu, R"
35,CSE551,Finite Element Methods,31750,Lecture-Discussion,D,11:00AM - 12:20PM,MW,2311 Newmark Civil Engineering Bldg,"Lopez-Pamies, O"
36,CSE551,Finite Element Methods,60866,Online,ONL,ARRANGED,n.a.,n.a.,"Lopez-Pamies, O"
37,CSE566,Numerical Fluid Dynamics,63492,Lecture-Discussion,A,02:00PM - 02:50PM,MWF,1020 Natural History Building,"Jewett, B"
