,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,CWL119,Literature of Fantasy,47153,Online,M,09:30AM - 10:45AM,TR,n.a.,"Baron, I"
1,CWL122,Russia and Black America,72061,Discussion/ Recitation,AD1,03:00PM - 03:50PM,F,G36 Foreign Languages Building,"Tempest, R"
2,CWL122,Russia and Black America,72062,Discussion/ Recitation,AD2,04:00PM - 04:50PM,W,G20 Foreign Languages Building,"Tempest, R"
3,CWL122,Russia and Black America,70866,Lecture,AL1,03:00PM - 03:50PM,MW,108 English Building,"Tempest, R"
4,CWL189,Literatures of the Islamic World,73174,Lecture-Discussion,AL1,09:30AM - 10:50AM,TR,212 1205 W Oregon,"Calderwood, E"
5,CWL190,Modern Asian and African Literatures,30971,Lecture-Discussion,A,12:30PM - 01:50PM,TR,1110 Foreign Languages Building,"Tierney, R"
6,CWL191,Freshman Honors Tutorial,10453,Independent Study,,ARRANGED,n.a.,n.a.,
7,CWL199,Undergraduate Open Seminar,10454,Independent Study,,ARRANGED,n.a.,n.a.,
8,CWL199,Undergraduate Open Seminar,45834,Online,GOT,12:00PM - 01:20PM,MW,n.a.,"Hunt, A"
9,CWL202,Literature and Ideas,30979,Lecture-Discussion,A,11:00AM - 12:20PM,TR,1120 Foreign Languages Building,"Kaganovsky, L"
10,CWL206,Classical Allusions in Cinema,54655,Lecture-Discussion,A,02:00PM - 03:50PM,TR,157 Noyes Laboratory,"Augoustakis, A"
11,CWL207,Indian Cinema in Context,65011,Lecture-Discussion,A2,02:00PM - 03:20PM,MW,3039 Campus Instructional Facility,"Mehta, R"
12,CWL208,Cultures & Literatures of South Asia,52392,Lecture-Discussion,A,04:00PM - 05:20PM,MW,1065 Lincoln Hall,"Mehta, R"
13,CWL220,Origins of Western Literature,63847,Lecture-Discussion,D,11:00AM - 12:50PM,TR,311 Gregory Hall,"Williams, C"
14,CWL223,The Qur'an (Koran),49251,Lecture-Discussion,A,02:00PM - 03:20PM,TR,136 Davenport Hall,"Ali, M"
15,CWL226,Humanist Persp of Afro-Am Exp,39655,Lecture-Discussion,1,02:00PM - 04:50PM,MW,113 David Kinley Hall,"Ngumbi, E"
16,CWL242,Modern Masterpieces of Western Culture,30938,Discussion/ Recitation,ADA,09:00AM - 09:50AM,F,1120 Foreign Languages Building,"McDowell, S"
17,CWL242,Modern Masterpieces of Western Culture,38879,Discussion/ Recitation,ADD,10:00AM - 10:50AM,F,1120 Foreign Languages Building,"Francisco, M"
18,CWL242,Modern Masterpieces of Western Culture,38880,Discussion/ Recitation,ADE,11:00AM - 11:50AM,F,1120 Foreign Languages Building,"Taavon, M"
19,CWL242,Modern Masterpieces of Western Culture,38884,Discussion/ Recitation,ADI,12:00PM - 12:50PM,F,1120 Foreign Languages Building,"Francisco, M"
