,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,DANC100,Intro to Contemporary Dance,72285,Laboratory,A1,09:00AM - 10:20AM,R,2127 Krannert Center for Perf Arts,"Emadian, E & Gilmore, A"
1,DANC100,Intro to Contemporary Dance,72284,Lecture,AL1,09:00AM - 10:20AM,T,Location Pending,"Emadian, E"
2,DANC100,Intro to Contemporary Dance,72287,Laboratory,B1,09:00AM - 10:20AM,R,2500 Krannert Center for Perf Arts,"Emadian, E & Lim, S"
3,DANC100,Intro to Contemporary Dance,40306,Laboratory,GC,11:00AM - 12:20PM,R,19 FAR - Food Service Building,"Chin, A"
4,DANC100,Intro to Contemporary Dance,63422,Online,OL1,ARRANGED,n.a.,n.a.,"Beck, K"
5,DANC100,Intro to Contemporary Dance,70302,Online,OL2,ARRANGED,n.a.,n.a.,"Ayorinde, O"
6,DANC100,Intro to Contemporary Dance,63899,Online,OL3,ARRANGED,n.a.,n.a.,"Beck, K"
7,DANC101,Modern Dance I,31808,Laboratory,A,05:00PM - 06:20PM,MW,111 Dance Studio,"Lewis, T"
8,DANC102,Modern Dance II,31810,Laboratory,A,05:00PM - 06:20PM,TR,111 Dance Studio,"De Jesus-Valentin, R"
9,DANC104,Making Dances,60625,Laboratory,A,03:00PM - 04:20PM,TR,2500 Krannert Center for Perf Arts,"Henss, J"
10,DANC106,Jazz Dance II,31816,Laboratory,A,11:00AM - 12:30PM,TR,103 Dance Studio,"Bowie, J"
11,DANC107,Ballet I,31818,Laboratory,A,05:00PM - 06:20PM,MW,Location Pending,"De Jesus-Valentin, R"
12,DANC107,Ballet I,31819,Laboratory,B,05:00PM - 06:20PM,TR,Location Pending,"Kalogridis, J"
13,DANC108,Ballet II,70310,Laboratory,B,11:00AM - 12:30PM,MW,111 Dance Studio,"Sapozhnikov, A"
14,DANC109,Ballet III,70312,Laboratory,B,11:00AM - 12:30PM,MW,111 Dance Studio,"Sapozhnikov, A"
15,DANC111,Dancing Techniques/Non-Majors:,62029,Laboratory,H1,05:00PM - 06:20PM,MW,2500 Krannert Center for Perf Arts,"Anderson, B"
16,DANC121,Tap Dance II,31823,Laboratory,A,11:00AM - 12:30PM,TR,2127 Krannert Center for Perf Arts,"Emadian, E"
17,DANC131,Production Practicum I,31826,Laboratory,DP,ARRANGED,n.a.,Location Pending,"Ciofalo, T & Miguens, M"
18,DANC160,Beg Contemp Modern Tech Core,31828,Laboratory,C,09:00AM - 10:30AM,MW,2500 Krannert Center for Perf Arts,"Nance, C"
19,DANC166,Beginning Ballet Tech Core,40777,Laboratory,A,09:00AM - 10:30AM,TR,111 Dance Studio,"D'Orleans Juste, R"
20,DANC167,Beginning Ballet Tech Elect,51227,Laboratory,A,11:00AM - 12:30PM,MW,111 Dance Studio,"Sapozhnikov, A"
21,DANC199,Undergraduate Open Seminar,31833,Laboratory,DA,03:00PM - 04:20PM,MW,2127 Krannert Center for Perf Arts,"Ayorinde, O"
22,DANC199,Undergraduate Open Seminar,40778,Laboratory,P,08:00AM - 08:50AM,MW,Location Pending,"Lewis, T"
23,DANC201,Yoga Practicum,68595,Laboratory,A,08:00AM - 08:50AM,TR,103 Dance Studio,"Lehovec, L"
24,DANC201,Yoga Practicum,70305,Laboratory,JE,09:00AM - 10:20AM,MW,111 Dance Studio,"Erkert, J"
25,DANC210,Int Jazz Technique,63717,Laboratory,A,11:00AM - 12:30PM,TR,103 Dance Studio,"Bowie, J"
26,DANC212,Musical Theater Dance,68624,Laboratory,A,01:00PM - 02:30PM,TR,103 Dance Studio,"Rizzuto, R"
27,DANC215,Int Tap Dance Technique,62431,Laboratory,A,11:00AM - 12:30PM,TR,2127 Krannert Center for Perf Arts,"Emadian, E"
28,DANC220,Perf Pract Student Works I,40782,Independent Study,GP,ARRANGED,n.a.,n.a.,"Hook, S"
29,DANC220,Perf Pract Student Works I,69807,Independent Study,SW1,ARRANGED,n.a.,n.a.,"Toenjes, J"
