,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EALC120,East Asian Civilizations,34089,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,331 Gregory Hall,"Fu, P & Stetsuk, A"
1,EALC120,East Asian Civilizations,34090,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,111 Gregory Hall,"Fu, P & Stetsuk, A"
2,EALC120,East Asian Civilizations,34092,Discussion/ Recitation,AD3,02:00PM - 02:50PM,W,221 Gregory Hall,"Fu, P & Hsieh, P"
3,EALC120,East Asian Civilizations,34094,Discussion/ Recitation,AD4,04:00PM - 04:50PM,W,307 Gregory Hall,"Fu, P & Hsieh, P"
4,EALC120,East Asian Civilizations,34095,Discussion/ Recitation,AD5,11:00AM - 11:50AM,F,307 Gregory Hall,"Fu, P & Hsieh, P"
5,EALC120,East Asian Civilizations,34096,Discussion/ Recitation,AD6,11:00AM - 11:50AM,F,111 Gregory Hall,"Fu, P & Stetsuk, A"
6,EALC120,East Asian Civilizations,34098,Lecture,AL1,11:00AM - 11:50AM,MW,100 Materials Science & Eng Bld,"Fu, P"
7,EALC120,East Asian Civilizations,73218,Online,B,09:00AM - 10:50AM,MWF,n.a.,"Chen, X"
8,EALC132,Zen,38004,Lecture-Discussion,A,04:00PM - 06:50PM,F,307 Gregory Hall,"Mayer, A"
9,EALC199,Undergraduate Open Seminar,10596,Independent Study,,ARRANGED,n.a.,n.a.,
10,EALC221,Modern China,60136,Lecture-Discussion,A,10:00AM - 10:50AM,MWF,223 Gregory Hall,"Li, H"
11,EALC250,Intro to Japanese Culture,46154,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,G32 Foreign Languages Building,"McSweeney, F & Wilson, R"
12,EALC250,Intro to Japanese Culture,46155,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,G32 Foreign Languages Building,"Haight, N & Wilson, R"
13,EALC250,Intro to Japanese Culture,46157,Discussion/ Recitation,AD5,01:00PM - 01:50PM,R,1126 Foreign Languages Building,"Haight, N & Wilson, R"
14,EALC250,Intro to Japanese Culture,46164,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,G32 Foreign Languages Building,"McSweeney, F & Wilson, R"
15,EALC250,Intro to Japanese Culture,46121,Lecture,AL1,01:00PM - 01:50PM,MW,223 Gregory Hall,"Wilson, R"
16,EALC275,Masterpieces of East Asian Lit,46131,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,1038 Foreign Languages Building,"Chen, J"
17,EALC275,Masterpieces of East Asian Lit,46141,Discussion/ Recitation,AD7,09:00AM - 09:50AM,F,1038 Foreign Languages Building,"Chen, J"
18,EALC275,Masterpieces of East Asian Lit,61647,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,1038 Foreign Languages Building,"Chen, J"
19,EALC275,Masterpieces of East Asian Lit,33152,Lecture,AL,12:00PM - 12:50PM,MW,1090 Lincoln Hall,"Chen, J"
20,EALC285,Intro to Korea Through Film,52437,Lecture-Discussion,A,02:00PM - 03:20PM,MW,110 Speech & Hearing Science Bldg,"Song, M"
21,EALC287,Introduction to Buddhism,43692,Lecture-Discussion,A,03:30PM - 04:50PM,TR,217 Gregory Hall,"Callahan, C"
22,EALC343,Gov & Pol of China,48801,Lecture-Discussion,A,03:00PM - 04:20PM,MW,1000 Lincoln Hall,"Yang, Y"
23,EALC344,Government and Politics of Japan,72253,Lecture-Discussion,A,02:00PM - 03:20PM,TR,115 David Kinley Hall,"Nagashima, D"
24,EALC365,Contemporary Korean Society,44673,Lecture-Discussion,F,04:00PM - 05:20PM,MW,110 Speech & Hearing Science Bldg,"Song, M"
25,EALC390,Individual Study,10597,Independent Study,,ARRANGED,n.a.,n.a.,
26,EALC398,Colloquium in EALC,33159,Lecture-Discussion,B,01:30PM - 02:50PM,MW,G46 Foreign Languages Building,"Chen, J"
27,EALC398,Colloquium in EALC,61666,Lecture,BT1,02:00PM - 03:20PM,TR,Location Pending,"Butler, D & Ha, J"
28,EALC398,Colloquium in EALC,33161,Lecture,BTA,03:55PM - 05:10PM,TR,Location Pending,"Butler, D & Ha, J"
29,EALC398,Colloquium in EALC,70133,Lecture-Discussion,GPP,02:00PM - 04:30PM,F,G32 Foreign Languages Building,"Persiani, G"
30,EALC398,Colloquium in EALC,33160,Lecture-Discussion,NG,01:00PM - 02:20PM,TR,206 David Kinley Hall,"Gunji, N"
31,EALC403,Word and Image in Chinese Art,40432,Online Lecture,A3,02:00PM - 03:20PM,MW,n.a.,"Burkus-Chasson, A"
32,EALC403,Word and Image in Chinese Art,40772,Online Lecture,G,02:00PM - 03:20PM,MW,n.a.,"Burkus-Chasson, A"
33,EALC420,China Under the Qing Dynasty,40127,Lecture-Discussion,G2,01:00PM - 03:20PM,M,214 Davenport Hall,"Chow, K"
34,EALC420,China Under the Qing Dynasty,40128,Lecture-Discussion,G4,01:00PM - 03:20PM,M,214 Davenport Hall,"Chow, K"
35,EALC420,China Under the Qing Dynasty,40129,Lecture-Discussion,U3,01:00PM - 03:20PM,M,214 Davenport Hall,"Chow, K"
36,EALC430,Intro to East Asian Ling,40276,Lecture-Discussion,G4A,01:00PM - 02:20PM,MW,1110 Foreign Languages Building,"Sadler, M"
37,EALC430,Intro to East Asian Ling,39278,Lecture-Discussion,U3A,01:00PM - 02:20PM,MW,1110 Foreign Languages Building,"Sadler, M"
38,EALC476,Classical Chinese Thought,43868,Lecture-Discussion,A3,02:00PM - 03:20PM,TR,Location Pending,"Chow, K"
39,EALC476,Classical Chinese Thought,33168,Lecture-Discussion,A4,02:00PM - 03:20PM,TR,Location Pending,"Chow, K"
40,EALC488,History of Chinese Buddhism,57383,Online,AM,04:00PM - 06:50PM,W,n.a.,
41,EALC488,History of Chinese Buddhism,71281,Online,G4,04:00PM - 06:50PM,W,n.a.,"Mayer, A"
42,EALC490,Individual Study,10599,Independent Study,,ARRANGED,n.a.,n.a.,"Butler, D & Ha, J"
43,EALC495,Topics in Asian Religions,65595,Lecture-Discussion,CC3,05:00PM - 07:50PM,R,1118 Foreign Languages Building,"Callahan, C"
44,EALC495,Topics in Asian Religions,65596,Lecture-Discussion,CC4,05:00PM - 07:50PM,R,1118 Foreign Languages Building,"Callahan, C"
45,EALC512,Applied LiteraryTranslation II,72205,Lecture-Discussion,A,03:30PM - 05:50PM,M,Location Pending,"Ivashkiv, R"
46,EALC522,Research Seminar: China,48002,Discussion/ Recitation,A,02:00PM - 04:20PM,W,1118 Foreign Languages Building,"Shao, D"
47,EALC550,Seminar in EALC,70596,Lecture-Discussion,GP,04:00PM - 05:20PM,MW,1048 Foreign Languages Building,"Persiani, G"
48,EALC550,Seminar in EALC,70282,Lecture-Discussion,GPP,02:00PM - 04:30PM,F,G32 Foreign Languages Building,"Persiani, G"
49,EALC550,Seminar in EALC,33171,Lecture-Discussion,KWC,02:00PM - 03:50PM,TR,1046 Foreign Languages Building,"Chow, K"
50,EALC550,Seminar in EALC,45206,Lecture-Discussion,RTT,03:00PM - 05:50PM,T,1022 Foreign Languages Building,"Tierney, R"
51,EALC588,Sem Second Lang Learn,57104,Lecture-Discussion,SM,02:00PM - 04:50PM,M,1024 Foreign Languages Building,"Montrul, S"
52,EALC588,Sem Second Lang Learn,57510,Lecture-Discussion,XY,02:00PM - 03:20PM,TR,G8A Foreign Languages Building,"Yan, X"
53,EALC590,Individual Study and Research,10003,Independent Study,,ARRANGED,n.a.,n.a.,
54,EALC590,Individual Study and Research,71028,Independent Study,,ARRANGED,n.a.,n.a.,"Tierney, R"
55,EALC590,Individual Study and Research,69750,Independent Study,CS,ARRANGED,n.a.,n.a.,"Shih, C"
56,EALC599,Thesis Research,10007,Independent Study,,ARRANGED,n.a.,n.a.,
