,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ECE101,Exploring Digital Info Technol,39895,Laboratory,ABB,10:00AM - 11:50AM,F,2025 Campus Instructional Facility,
1,ECE101,Exploring Digital Info Technol,39374,Lecture,AL,11:00AM - 11:50AM,MW,3081 Electrical & Computer Eng Bldg,"Lumetta, S & Roy Choudhury, R"
2,ECE110,Introduction to Electronics,32463,Laboratory,AB0,09:00AM - 11:50AM,T,1001 Electrical & Computer Eng Bldg,
3,ECE110,Introduction to Electronics,73480,Online Lab,AB1,09:00AM - 11:50AM,T,n.a.,
4,ECE110,Introduction to Electronics,32460,Laboratory,AB2,09:00AM - 11:50AM,R,1001 Electrical & Computer Eng Bldg,
5,ECE110,Introduction to Electronics,52912,Laboratory,AB3,09:00AM - 11:50AM,F,1001 Electrical & Computer Eng Bldg,
6,ECE110,Introduction to Electronics,32470,Laboratory,AB4,12:00PM - 02:50PM,M,1001 Electrical & Computer Eng Bldg,
7,ECE110,Introduction to Electronics,52914,Laboratory,AB5,12:00PM - 02:50PM,T,1001 Electrical & Computer Eng Bldg,
8,ECE110,Introduction to Electronics,52910,Laboratory,AB6,12:00PM - 02:50PM,W,1001 Electrical & Computer Eng Bldg,
9,ECE110,Introduction to Electronics,32466,Laboratory,AB7,12:00PM - 02:50PM,R,1001 Electrical & Computer Eng Bldg,
10,ECE110,Introduction to Electronics,32461,Laboratory,AB8,12:00PM - 02:50PM,F,1001 Electrical & Computer Eng Bldg,
11,ECE110,Introduction to Electronics,52913,Laboratory,AB9,03:00PM - 05:50PM,M,1001 Electrical & Computer Eng Bldg,
12,ECE110,Introduction to Electronics,32456,Laboratory,ABA,03:00PM - 05:50PM,T,1001 Electrical & Computer Eng Bldg,
13,ECE110,Introduction to Electronics,52911,Laboratory,ABB,03:00PM - 05:50PM,W,1001 Electrical & Computer Eng Bldg,
14,ECE110,Introduction to Electronics,32467,Laboratory,ABC,03:00PM - 05:50PM,R,1001 Electrical & Computer Eng Bldg,
15,ECE110,Introduction to Electronics,73481,Online Lab,ABD,09:00AM - 11:50AM,R,n.a.,
16,ECE110,Introduction to Electronics,32469,Laboratory,ABE,06:00PM - 08:50PM,M,1001 Electrical & Computer Eng Bldg,
