,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ECON102,Microeconomic Principles,33195,Discussion/ Recitation,ADA,08:00AM - 08:50AM,F,119 David Kinley Hall,"Bao, D & Dee, E & DiIanni, I"
1,ECON102,Microeconomic Principles,33197,Discussion/ Recitation,ADB,09:00AM - 09:50AM,F,119 David Kinley Hall,"Bao, D & Dee, E & DiIanni, I"
2,ECON102,Microeconomic Principles,33198,Discussion/ Recitation,ADC,10:00AM - 10:50AM,F,119 David Kinley Hall,"Bao, D & Dee, E & DiIanni, I"
3,ECON102,Microeconomic Principles,33200,Discussion/ Recitation,ADD,11:00AM - 11:50AM,F,119 David Kinley Hall,"Bao, D & Dee, E & DiIanni, I"
4,ECON102,Microeconomic Principles,33201,Discussion/ Recitation,ADE,12:00PM - 12:50PM,F,119 David Kinley Hall,"Dee, E & DiIanni, I & Velentzas, T"
5,ECON102,Microeconomic Principles,33203,Discussion/ Recitation,ADF,01:00PM - 01:50PM,F,119 David Kinley Hall,"Dee, E & DiIanni, I & Velentzas, T"
6,ECON102,Microeconomic Principles,33205,Discussion/ Recitation,ADG,02:00PM - 02:50PM,F,119 David Kinley Hall,"Dee, E & DiIanni, I & Velentzas, T"
7,ECON102,Microeconomic Principles,33209,Discussion/ Recitation,ADH,03:00PM - 03:50PM,F,119 David Kinley Hall,"Dee, E & DiIanni, I & Velentzas, T"
8,ECON102,Microeconomic Principles,39870,Discussion/ Recitation,ADI,04:00PM - 04:50PM,F,119 David Kinley Hall,"Dee, E & DiIanni, I & Sun, X"
9,ECON102,Microeconomic Principles,39873,Discussion/ Recitation,ADJ,11:00AM - 11:50AM,F,245 Wohlers Hall,"Dee, E & DiIanni, I & Sun, X"
10,ECON102,Microeconomic Principles,39875,Discussion/ Recitation,ADK,12:00PM - 12:50PM,F,245 Wohlers Hall,"Dee, E & DiIanni, I & Yu, Y"
11,ECON102,Microeconomic Principles,39878,Discussion/ Recitation,ADL,01:00PM - 01:50PM,F,245 Wohlers Hall,"Dee, E & DiIanni, I & Yu, Y"
12,ECON102,Microeconomic Principles,39879,Discussion/ Recitation,ADM,02:00PM - 02:50PM,F,245 Wohlers Hall,"Dee, E & DiIanni, I"
13,ECON102,Microeconomic Principles,39880,Discussion/ Recitation,ADN,03:00PM - 03:50PM,F,245 Wohlers Hall,"Dee, E & DiIanni, I"
14,ECON102,Microeconomic Principles,67059,Discussion/ Recitation,ADO,04:00PM - 04:50PM,F,245 Wohlers Hall,"Dee, E & DiIanni, I"
