,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EDPR199,Undergraduate Open Seminar,33749,Practice,CG,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
1,EDPR199,Undergraduate Open Seminar,33752,Practice,FL,ARRANGED,n.a.,Location Pending,"Henshaw, F & Krushnowski, J"
2,EDPR250,School & Community Experiences,10040,Independent Study,,ARRANGED,n.a.,n.a.,"Mann, J"
3,EDPR250,School & Community Experiences,67452,Practice,EL1,08:00AM - 03:30PM,T,Location Pending,"Gutzmer, C"
4,EDPR250,School & Community Experiences,67453,Practice,EL2,08:00AM - 03:30PM,T,Location Pending,"Gutzmer, C"
5,EDPR250,School & Community Experiences,67454,Practice,EL3,08:00AM - 03:30PM,T,Location Pending,"Gutzmer, C"
6,EDPR250,School & Community Experiences,67455,Practice,EL4,08:00AM - 03:30PM,T,Location Pending,"Gutzmer, C"
7,EDPR250,School & Community Experiences,33748,Practice,LBS,07:00PM - 08:50PM,T,22 Education Building,"Andrews, L"
8,EDPR420,School Access & Supports,33755,Practice,LBS,ARRANGED,T,Location Pending,"Andrews, L"
9,EDPR420,School Access & Supports,33756,Practice,LBT,07:00PM - 08:50PM,T,Location Pending,"Andrews, L"
10,EDPR432,Ed Prac in EC & ELED,33757,Lecture,EC,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
11,EDPR432,Ed Prac in EC & ELED,33759,Lecture,EL,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
12,EDPR438,Educational Practice in Special Fields,33763,Practice,A,ARRANGED,n.a.,Location Pending,"Bergmark, J & Spicuzza, A"
13,EDPR438,Educational Practice in Special Fields,33764,Practice,L,ARRANGED,n.a.,Location Pending,"Shasteen, R"
14,EDPR438,Educational Practice in Special Fields,33765,Practice,O,ARRANGED,n.a.,Location Pending,"Peterson, E"
15,EDPR438,Educational Practice in Special Fields,33766,Practice,P,ARRANGED,n.a.,Location Pending,"O'Connor, J"
16,EDPR442,Educational Practice in Secondary Education,33768,Practice,A,ARRANGED,n.a.,Location Pending,"Bergmark, J & Spicuzza, A"
17,EDPR442,Educational Practice in Secondary Education,33791,Practice,AE,ARRANGED,n.a.,Location Pending,"Ochs, G"
18,EDPR442,Educational Practice in Secondary Education,33770,Practice,E,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
19,EDPR442,Educational Practice in Secondary Education,33771,Practice,FF,ARRANGED,n.a.,Location Pending,"Henshaw, F & Krushnowski, J"
20,EDPR442,Educational Practice in Secondary Education,33772,Practice,FG,ARRANGED,n.a.,Location Pending,"Henshaw, F & Krushnowski, J"
21,EDPR442,Educational Practice in Secondary Education,33773,Practice,FL,ARRANGED,n.a.,Location Pending,"Henshaw, F & Krushnowski, J"
22,EDPR442,Educational Practice in Secondary Education,33775,Practice,FS,ARRANGED,n.a.,Location Pending,"Henshaw, F & Krushnowski, J"
23,EDPR442,Educational Practice in Secondary Education,33776,Practice,L,ARRANGED,n.a.,Location Pending,"Shasteen, R"
24,EDPR442,Educational Practice in Secondary Education,33777,Practice,M,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
25,EDPR442,Educational Practice in Secondary Education,43507,Practice,MG,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
26,EDPR442,Educational Practice in Secondary Education,33778,Practice,O,ARRANGED,n.a.,Location Pending,"Peterson, E"
27,EDPR442,Educational Practice in Secondary Education,33779,Practice,P,ARRANGED,n.a.,Location Pending,"O'Connor, J"
28,EDPR442,Educational Practice in Secondary Education,33782,Practice,SB,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
29,EDPR442,Educational Practice in Secondary Education,33783,Practice,SC,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
30,EDPR442,Educational Practice in Secondary Education,33784,Practice,SE,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
31,EDPR442,Educational Practice in Secondary Education,33787,Practice,SP,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
32,EDPR442,Educational Practice in Secondary Education,33788,Practice,T,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
33,EDPR442,Educational Practice in Secondary Education,66156,Practice,T2,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
34,EDPR550,School and Community Experience,69971,Practice,ART,ARRANGED,n.a.,Location Pending,"Bergmark, J"
35,EDPR550,School and Community Experience,65893,Practice,EL1,ARRANGED,n.a.,Location Pending,"Gutzmer, C"
