,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EDUC199,Undergraduate Open Seminar,71923,Online,LS1,03:30PM - 05:00PM,R,n.a.,"Fink, L"
1,EDUC199,Undergraduate Open Seminar,71913,Lecture-Discussion,MFE,04:00PM - 04:50PM,W,4F Education Building,"Foellmer, M"
2,EDUC199,Undergraduate Open Seminar,71914,Lecture-Discussion,MFR,04:00PM - 04:50PM,W,4F Education Building,"Foellmer, M"
3,EDUC199,Undergraduate Open Seminar,71915,Online,VSA,ARRANGED,n.a.,n.a.,"Witt, A"
4,EDUC201,Identity and Difference in Education,66994,Discussion/ Recitation,AD1,12:00PM - 01:50PM,R,42A Education Building,"Garcia-Villegas, L & Mason, C"
5,EDUC201,Identity and Difference in Education,66995,Discussion/ Recitation,AD2,01:00PM - 02:50PM,R,385 Education Building,"Mason, C & Pokimica, J"
6,EDUC201,Identity and Difference in Education,66996,Discussion/ Recitation,AD3,10:00AM - 11:50AM,F,4F Education Building,"Coder, E & Mason, C"
7,EDUC201,Identity and Difference in Education,66997,Discussion/ Recitation,AD4,11:00AM - 12:50PM,F,42A Education Building,"Bandales, J & Mason, C"
8,EDUC201,Identity and Difference in Education,69611,Discussion/ Recitation,AD5,10:00AM - 11:50AM,T,323 Education Building,"Gillespie, M & Mason, C"
9,EDUC201,Identity and Difference in Education,69612,Discussion/ Recitation,AD6,11:00AM - 12:50PM,T,42A Education Building,"Garner, A & Mason, C"
10,EDUC201,Identity and Difference in Education,66993,Online Lecture,LE1,ARRANGED,n.a.,n.a.,"Mason, C"
11,EDUC201,Identity and Difference in Education,71909,Online Lecture,LE2,ARRANGED,n.a.,n.a.,"Mason, C"
12,EDUC201,Identity and Difference in Education,71910,Online Lecture,LE3,ARRANGED,n.a.,n.a.,"Mason, C"
13,EDUC202,"Social Justice, School and Society",63344,Discussion/ Recitation,AD1,02:00PM - 03:50PM,W,162 Education Building,"Johnson, M & Wilson, A"
14,EDUC202,"Social Justice, School and Society",63345,Discussion/ Recitation,AD2,12:00PM - 01:50PM,W,22 Education Building,"Crenshaw, M & Wilson, A"
15,EDUC202,"Social Justice, School and Society",63346,Discussion/ Recitation,AD3,01:00PM - 02:50PM,W,17 Education Building,"Wilson, A"
16,EDUC202,"Social Justice, School and Society",63347,Discussion/ Recitation,AD4,01:00PM - 02:50PM,R,389 Education Building,"Threadgill, R & Wilson, A"
17,EDUC202,"Social Justice, School and Society",63348,Discussion/ Recitation,AD5,12:00PM - 01:50PM,R,4F Education Building,"Elassi, A & Wilson, A"
18,EDUC202,"Social Justice, School and Society",63349,Discussion/ Recitation,AD6,02:00PM - 03:50PM,R,4G Education Building,"Bandales, J & Wilson, A"
19,EDUC202,"Social Justice, School and Society",65473,Discussion/ Recitation,AD7,11:00AM - 12:50PM,R,166 Education Building,"Nachreiner, C & Wilson, A"
20,EDUC202,"Social Justice, School and Society",68649,Discussion/ Recitation,AD8,11:00AM - 12:50PM,W,162 Education Building,"Brown-Tess, K & Wilson, A"
21,EDUC202,"Social Justice, School and Society",63343,Online Lecture,LE1,11:00AM - 11:50AM,T,n.a.,"Wilson, A"
22,EDUC202,"Social Justice, School and Society",71911,Online Lecture,LE2,11:00AM - 11:50AM,T,n.a.,"Wilson, A"
23,EDUC202,"Social Justice, School and Society",71912,Online Lecture,LE3,11:00AM - 11:50AM,T,n.a.,"Wilson, A"
24,EDUC299,Education Study Abroad,69314,Online,SSA,ARRANGED,n.a.,n.a.,"Witt, A"
25,EDUC499,Education Abroad,67670,Online,EA,ARRANGED,n.a.,n.a.,"Witt, A"
26,EDUC499,Education Abroad,67749,Online,ITG,ARRANGED,n.a.,n.a.,"Witt, A"
27,EDUC499,Education Abroad,68378,Online,ITU,ARRANGED,n.a.,n.a.,"Witt, A"
28,EDUC499,Education Abroad,67668,Online,SI,ARRANGED,n.a.,n.a.,"Witt, A"
29,EDUC499,Education Abroad,67750,Online,TAI,ARRANGED,n.a.,n.a.,"Liu, W"
