,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EIL199,Undergraduate Open Seminar,10587,Independent Study,,ARRANGED,n.a.,n.a.,
1,EIL214,TESL in the Elementary School,31895,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Sadler, R"
2,EIL215,TESL in the Secondary School,41444,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Sadler, R"
3,EIL411,Intro to TESL Methodology,43708,Lecture-Discussion,G4,03:00PM - 03:50PM,MWF,G20 Foreign Languages Building,"Pierce, L"
4,EIL411,Intro to TESL Methodology,43683,Lecture-Discussion,U3,03:00PM - 03:50PM,MWF,G20 Foreign Languages Building,"Pierce, L"
5,EIL445,Second Lang Reading & Writing,31910,Lecture-Discussion,G4,09:30AM - 10:50AM,TR,G27 Foreign Languages Building,"Sadler, R"
6,EIL445,Second Lang Reading & Writing,31909,Lecture-Discussion,U3,09:30AM - 10:50AM,TR,G27 Foreign Languages Building,"Sadler, R"
7,EIL460,Principles of Language Testing,31916,Lecture-Discussion,G4,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
8,EIL460,Principles of Language Testing,31914,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
9,EIL488,Phonology for Second Language Teachers,32958,Lecture-Discussion,G4,11:00AM - 12:20PM,TR,G20 Foreign Languages Building,"Franks, S"
10,EIL488,Phonology for Second Language Teachers,59068,Online,OCE,ARRANGED,n.a.,n.a.,"Franks, S"
11,EIL488,Phonology for Second Language Teachers,32956,Lecture-Discussion,U3,11:00AM - 12:20PM,TR,G20 Foreign Languages Building,"Franks, S"
12,EIL512,Practicum in Teaching ESL,61763,Lecture-Discussion,EJP,04:00PM - 05:50PM,MTWR,G36 Foreign Languages Building,"King, E & Pierce, L"
13,EIL591,Research in Special Topics,10588,Independent Study,,ARRANGED,n.a.,n.a.,
14,EIL599,Thesis Research,10589,Independent Study,,ARRANGED,n.a.,n.a.,
