,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ENG100,Engineering Orientation,70969,Lecture,A,04:00PM - 04:50PM,MW,147 Loomis Laboratory,"Forman, G"
1,ENG101,Engineering at Illinois,73775,Discussion/ Recitation,SD1,09:00AM - 09:50AM,W,203 Transportation Building,"Forman, G"
2,ENG101,Engineering at Illinois,73776,Discussion/ Recitation,SD2,10:00AM - 10:50AM,R,203 Transportation Building,"Forman, G"
3,ENG101,Engineering at Illinois,73774,Online Lecture,SL1,ARRANGED,n.a.,n.a.,"Forman, G"
4,ENG110,Communicating and Presenting in Engineering,70353,Lecture-Discussion,EB,09:00AM - 09:50AM,MW,2018 Campus Instructional Facility,"Amos, J"
5,ENG111,MEP Mentoring,73389,Lecture-Discussion,ARI,02:00PM - 02:50PM,M,1035 Campus Instructional Facility,"Favila, I & Montagner Martinez, A"
6,ENG111,MEP Mentoring,73390,Lecture-Discussion,MIE,04:00PM - 04:50PM,T,2036 Campus Instructional Facility,"Cervantes, V & Favila, I"
7,ENG177,Engineering First-Year Experience Seminars,73582,Lecture-Discussion,GSD,03:00PM - 03:50PM,R,1131 Siebel Center for Comp Sci,"Forman, G"
8,ENG177,Engineering First-Year Experience Seminars,70789,Lecture-Discussion,GSL,09:00AM - 10:20AM,T,1038 Campus Instructional Facility,"Blumthal, M & Brewer, E & Cervantes, V & Montagner Martinez, A"
9,ENG177,Engineering First-Year Experience Seminars,73055,Lecture-Discussion,IE2,02:00PM - 03:20PM,M,204 Transportation Building,"Moore, C & Niehans, K"
10,ENG177,Engineering First-Year Experience Seminars,70638,Lecture-Discussion,SC2,02:00PM - 02:50PM,W,1304 Siebel Center for Comp Sci,"Forman, G & Stites, L"
11,ENG177,Engineering First-Year Experience Seminars,70639,Lecture-Discussion,SD2,01:00PM - 02:50PM,W,2036 Campus Instructional Facility,"Rodriguez, L & Stablein, M"
12,ENG177,Engineering First-Year Experience Seminars,70502,Discussion/ Recitation,SL2,02:00PM - 02:50PM,T,3038 Campus Instructional Facility,"Forman, G"
13,ENG177,Engineering First-Year Experience Seminars,70501,Discussion/ Recitation,SP2,01:00PM - 01:50PM,W,2320 Digital Computer Laboratory,"Bradley, J"
14,ENG177,Engineering First-Year Experience Seminars,70503,Discussion/ Recitation,SR2,04:00PM - 04:50PM,W,3038 Campus Instructional Facility,"Mamaril, N"
15,ENG177,Engineering First-Year Experience Seminars,70504,Discussion/ Recitation,SS2,02:00PM - 02:50PM,R,3038 Campus Instructional Facility,"Forman, G"
16,ENG177,Engineering First-Year Experience Seminars,72350,Lecture-Discussion,ST2,02:00PM - 02:50PM,W,204 Transportation Building,"Conway, B & Neiss, C"
17,ENG198,Special Topics,70031,Independent Study,,ARRANGED,n.a.,n.a.,"Blumthal, M"
18,ENG198,Special Topics,53702,Lecture-Discussion,CYB,04:00PM - 04:50PM,W,106B6 Engineering Hall,"Bashir, M & Saebeler, D"
19,ENG199,Undergraduate Open Seminar,66222,Lecture-Discussion,PLT,ARRANGED,n.a.,Location Pending,"Favila, I & Tempel, D"
20,ENG199,Undergraduate Open Seminar,70623,Lecture-Discussion,PP,02:30PM - 04:00PM,MW,203 Transportation Building,"Moore, C & Niehans, K"
21,ENG199,Undergraduate Open Seminar,56548,Discussion/ Recitation,PUR,ARRANGED,n.a.,Location Pending,"Fagen-Ulmschneider, W"
22,ENG199,Undergraduate Open Seminar,73995,Laboratory,TOF,ARRANGED,n.a.,Location Pending,"Blumthal, M"
23,ENG298,Special Topics,55566,Lecture-Discussion,CPT,ARRANGED,n.a.,Location Pending,"Dennis, U"
24,ENG298,Special Topics,71412,Online Lecture,SAW,ARRANGED,n.a.,n.a.,"Tempel, D"
25,ENG299,Engineering Study Abroad,34515,Study Abroad,A,ARRANGED,n.a.,n.a.,"Blumthal, M"
26,ENG310,Engineering Internship,68938,Online,CS,ARRANGED,n.a.,n.a.,"Conway, B & Turner, D"
27,ENG310,Engineering Internship,34511,Online,FT,ARRANGED,n.a.,n.a.,"Conway, B & Turner, D"
28,ENG310,Engineering Internship,66664,Online,PT,ARRANGED,n.a.,n.a.,"Conway, B & Turner, D"
29,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73558,Lecture-Discussion,A,10:00AM - 10:50AM,MW,1038 Campus Instructional Facility,"Forman, G"
30,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73559,Lecture-Discussion,B,04:00PM - 04:50PM,TR,1131 Siebel Center for Comp Sci,"Forman, G"
31,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73560,Lecture-Discussion,C,11:00AM - 11:50AM,TR,1103 Siebel Center for Comp Sci,"Forman, G"
32,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73561,Lecture-Discussion,D,08:00AM - 08:50AM,MW,1038 Campus Instructional Facility,"Forman, G"
33,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73562,Lecture-Discussion,E,08:00AM - 08:50AM,TR,2320 Digital Computer Laboratory,"Forman, G"
34,ENG377,Pedagogy and Mentoring for Engineering Learning Assistants,73393,Online Lecture Discussion,GLT,08:00AM - 08:50AM,F,n.a.,"Forman, G"
35,ENG398,Special Topics,53221,Lecture-Discussion,GE1,09:00AM - 09:50AM,MW,1131 Siebel Center for Comp Sci,"Forman, G"
36,ENG398,Special Topics,55572,Lecture-Discussion,GE2,10:00AM - 10:50AM,MW,1131 Siebel Center for Comp Sci,"Forman, G"
37,ENG398,Special Topics,55574,Lecture-Discussion,GE3,04:00PM - 04:50PM,MW,1038 Campus Instructional Facility,"Forman, G"
38,ENG398,Special Topics,59876,Lecture-Discussion,GE4,09:00AM - 09:50AM,TR,1047 Sidney Lu Mech Engr Bldg,"Forman, G"
39,ENG398,Special Topics,63742,Lecture-Discussion,GE5,01:00PM - 01:50PM,TR,3101 Sidney Lu Mech Engr Bldg,"Forman, G"
40,ENG398,Special Topics,64183,Lecture-Discussion,GE6,02:00PM - 02:50PM,TR,1131 Siebel Center for Comp Sci,"Forman, G"
41,ENG398,Special Topics,64458,Lecture-Discussion,GE7,04:00PM - 04:50PM,TR,1103 Siebel Center for Comp Sci,"Forman, G"
42,ENG398,Special Topics,65323,Lecture-Discussion,GE8,01:00PM - 01:50PM,MW,1103 Siebel Center for Comp Sci,"Forman, G"
