,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ENGL103,Intro to Fiction,34534,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,150 English Building,"Anthony, C"
1,ENGL104,Introduction to Film,34551,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,148 Armory,"Claborn, J"
2,ENGL104,Introduction to Film,34547,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,148 Armory,"Claborn, J"
3,ENGL104,Introduction to Film,48003,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,148 Armory,"Lafond, B"
4,ENGL104,Introduction to Film,34541,Lecture-Discussion,M,10:00AM - 10:50AM,MWF,148 Armory,"Claborn, J"
5,ENGL104,Introduction to Film,34539,Lecture-Discussion,P,02:00PM - 03:15PM,TR,148 Armory,"Slobodnik, S"
6,ENGL104,Introduction to Film,43489,Lecture-Discussion,Y,03:30PM - 04:45PM,TR,148 Armory,"Slobodnik, S"
7,ENGL109,Intro to Fiction-ACP,34580,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,131 English Building,"Odom, M"
8,ENGL109,Intro to Fiction-ACP,34586,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,131 English Building,"Chatterjee, D"
9,ENGL109,Intro to Fiction-ACP,47237,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,131 English Building,"McLeer, H"
10,ENGL109,Intro to Fiction-ACP,31922,Lecture-Discussion,S,02:00PM - 03:15PM,TR,104 English Building,"Hartley-Kroeger, F"
11,ENGL109,Intro to Fiction-ACP,51857,Lecture-Discussion,T,03:30PM - 04:45PM,TR,131 English Building,"Hudek, B"
12,ENGL115,Intro to British Literature,68287,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,150 English Building,"Brakke, C"
13,ENGL116,Introduction to American Literature,31935,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,150 English Building,"Schmidt, A"
14,ENGL119,Literature of Fantasy,47149,Online,M,09:30AM - 10:45AM,TR,n.a.,"Baron, I"
15,ENGL121,Introduction to Comics,62333,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,150 English Building,"Gilmore, S"
16,ENGL150,Black Literature in America,61996,Lecture-Discussion,IR,11:00AM - 12:20PM,TR,137 Henry Administration Bldg,"Hunt, I"
17,ENGL199,Undergraduate Open Seminar,10065,Independent Study,,ARRANGED,n.a.,n.a.,
18,ENGL199,Undergraduate Open Seminar,70946,"Independent Study<br/><i><span class=""app-text-value"">Meets 05/02/22-05/04/22</span></i>",AS,ARRANGED,n.a.,n.a.,"Johnson, L"
19,ENGL199,Undergraduate Open Seminar,57256,Lecture-Discussion,CHP,10:00AM - 10:50AM,MWF,212 1205 W Oregon,"Freeburg, C"
20,ENGL199,Undergraduate Open Seminar,58392,Online,X,12:00PM - 12:50PM,MW,n.a.,
21,ENGL200,Introduction to the Study of Literature and Culture,39032,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,143 Henry Administration Bldg,"Pollock, A"
22,ENGL200,Introduction to the Study of Literature and Culture,34519,Lecture-Discussion,G,12:00PM - 12:50PM,MWF,149 Henry Administration Bldg,"Pollock, A"
23,ENGL200,Introduction to the Study of Literature and Culture,60132,Lecture-Discussion,Q,12:30PM - 01:45PM,TR,119 English Building,"Oh, R"
24,ENGL202,Medieval Literature and Culture,43183,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,150 English Building,"Norcross, K"
25,ENGL204,Renaissance Literature and Culture,31978,Lecture-Discussion,M,12:00PM - 12:50PM,MWF,137 Henry Administration Bldg,"Larkin, M"
26,ENGL206,Enlightenment Literature and Culture,31983,Online,B,09:30AM - 10:45AM,TR,n.a.,"Nazar, H"
27,ENGL208,Victorian Literature and Culture,31992,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,143 Henry Administration Bldg,"Cheslow, E"
28,ENGL209,Early British Literature and Culture,31994,Online Discussion,AD1,10:00AM - 10:50AM,F,n.a.,"Brassell, C"
29,ENGL209,Early British Literature and Culture,31997,Online Discussion,AD2,11:00AM - 11:50AM,F,n.a.,"Brassell, C"
30,ENGL209,Early British Literature and Culture,32004,Discussion/ Recitation,AD3,12:00PM - 12:50PM,F,125 English Building,"Ellis, H"
31,ENGL209,Early British Literature and Culture,32008,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,125 English Building,"Ellis, H"
32,ENGL209,Early British Literature and Culture,32013,Lecture,AL1,10:00AM - 10:50AM,MW,160 English Building,"Barrett, R"
33,ENGL218,Introduction to Shakespeare,40489,Lecture-Discussion,S,12:00PM - 12:50PM,MWF,104 English Building,"Short, C"
