,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ENVS101,Introduction to Energy Sources,34667,Lecture,A,03:00PM - 03:50PM,MWF,1024 Chemistry Annex,"Mettler, J"
1,ENVS210,Environmental Economics,30543,Online Discussion,AD2,10:00AM - 10:50AM,F,n.a.,"Cai, C & Damon, L"
2,ENVS210,Environmental Economics,30544,Online Discussion,AD3,11:00AM - 11:50AM,F,n.a.,"Cai, C & Damon, L"
3,ENVS210,Environmental Economics,30545,Online Discussion,AD4,12:00PM - 12:50PM,F,n.a.,"Damon, L & Hsieh, H"
4,ENVS210,Environmental Economics,55320,Online Discussion,AD6,02:00PM - 02:50PM,F,n.a.,"Damon, L & Hsieh, H"
5,ENVS210,Environmental Economics,30546,Lecture,AL1,03:00PM - 03:50PM,MW,103 Mumford Hall,"Damon, L"
6,ENVS220,Communicating Agriculture,52698,Laboratory-Discussion,A,12:30PM - 01:50PM,TR,215B David Kinley Hall,"Roberts, O"
7,ENVS220,Communicating Agriculture,73166,Laboratory-Discussion,B,12:30PM - 01:50PM,TR,215B David Kinley Hall,"Roberts, O"
8,ENVS299,Ind Studies of Env. Topics,10084,Independent Study,,ARRANGED,n.a.,n.a.,
9,ENVS301,Tools for Sustainability,63305,Lecture-Discussion,A,10:00AM - 10:50AM,MWF,337 National Soybean Res Ctr,"Green, E"
10,ENVS301,Tools for Sustainability,72123,Lecture-Discussion,B,11:00AM - 11:50AM,MWF,337 National Soybean Res Ctr,"Green, E"
11,ENVS310,Natural Resource Economics,60468,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,"29 ACES Lib, Info & Alum Ctr","Brazee, R"
12,ENVS310,Natural Resource Economics,60469,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,"30 ACES Lib, Info & Alum Ctr","Brazee, R"
13,ENVS310,Natural Resource Economics,60460,Online Lecture,AL1,11:00AM - 11:50AM,MW,n.a.,"Ando, A"
14,ENVS380,Environmental Geology,33539,Laboratory,AB1,03:00PM - 05:20PM,M,122 Davenport Hall,"Altaner, S & Cao, Z"
15,ENVS380,Environmental Geology,33540,Lecture,AL1,02:00PM - 02:50PM,MWF,122 Davenport Hall,"Altaner, S"
16,ENVS406,Urban Ecology,49794,Lecture,DS,11:00AM - 12:20PM,TR,119 David Kinley Hall,"Schneider, D"
17,ENVS420,Conservation Biology,39498,Laboratory,AB1,02:00PM - 03:50PM,T,4004 Natural History Building,"Paige, K"
18,ENVS420,Conservation Biology,39500,Laboratory,AB2,12:00PM - 01:50PM,T,4004 Natural History Building,"Paige, K"
19,ENVS420,Conservation Biology,47630,Laboratory,AB3,12:00PM - 01:50PM,W,4004 Natural History Building,"Paige, K"
20,ENVS420,Conservation Biology,39495,Lecture,AL1,09:30AM - 10:50AM,TR,2020B Natural History Building,"Paige, K"
21,ENVS469,Environmental Health,54047,Lecture-Discussion,G4,09:30AM - 10:50AM,TR,1002 Huff Hall,"Martenies, S"
22,ENVS469,Environmental Health,60867,Lecture-Discussion,GMP,09:30AM - 10:50AM,TR,1002 Huff Hall,"Martenies, S"
23,ENVS469,Environmental Health,54048,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,146 Armory,"Martenies, S"
24,ENVS491,Sustainability Experience,63317,Conference,CSI,ARRANGED,n.a.,Location Pending,"Cai, X & Green, E"
25,ENVS491,Sustainability Experience,63315,Conference,SSC,ARRANGED,n.a.,Location Pending,"Cai, X & Green, E"
26,ENVS491,Sustainability Experience,63316,Conference,SWA,ARRANGED,n.a.,Location Pending,"Cai, X & Green, E"
27,ENVS516,Reprod & Dev Toxicology,39447,Lecture,1,03:00PM - 03:50PM,WF,3526 Vet Med Basic Sciences Bldg,"Flaws, J & Francis, B & Schantz, S"
28,ENVS596,Interdisciplinary Tox Sem,38484,Lecture-Discussion,A,12:00PM - 12:50PM,F,3526 Vet Med Basic Sciences Bldg,"Flaws, J & Johnson, R & Lane, S & Schantz, S"
