,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EPOL199,Undergraduate Open Seminar,72452,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",N10,10:00AM - 05:00PM,S,Location Pending,"Sanden, N & Skiba, M"
1,EPOL199,Undergraduate Open Seminar,72453,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",N11,10:00AM - 05:00PM,S,Location Pending,"March, L & Sanden, N"
2,EPOL199,Undergraduate Open Seminar,72454,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS0,10:00AM - 05:00PM,S,Location Pending,"Murphy, C & Sanden, N"
3,EPOL199,Undergraduate Open Seminar,72455,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS1,10:00AM - 05:00PM,S,Location Pending,"Floyd, A & Sanden, N"
4,EPOL199,Undergraduate Open Seminar,72456,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS2,10:00AM - 05:00PM,S,Location Pending,"Huang, N & Sanden, N"
5,EPOL199,Undergraduate Open Seminar,72458,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS4,10:00AM - 05:00PM,S,Location Pending,"Sanden, N & Simon, J"
6,EPOL199,Undergraduate Open Seminar,72459,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS5,10:00AM - 05:00PM,S,Location Pending,"Lin, I & Sanden, N"
7,EPOL199,Undergraduate Open Seminar,72461,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS7,10:00AM - 05:00PM,S,Location Pending,"Blanden, K & Sanden, N"
8,EPOL199,Undergraduate Open Seminar,72462,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS8,10:00AM - 05:00PM,S,Location Pending,"Fitzjarrald, A & Sanden, N"
9,EPOL199,Undergraduate Open Seminar,72463,"Lecture-Discussion<br/><i><span class=""app-text-value"">Meets 02/05/22</span></i>",NS9,10:00AM - 05:00PM,S,Location Pending,"Betterton, E & Sanden, N"
10,EPOL201,Foundations of Education,72475,Discussion/ Recitation,AD1,12:00PM - 12:50PM,W,42A Education Building,"Barkley, A & Mason, C"
11,EPOL201,Foundations of Education,72476,Discussion/ Recitation,AD2,01:00PM - 01:50PM,T,42A Education Building,"Mason, C & Terry, C"
12,EPOL201,Foundations of Education,72477,Online Lecture,AL1,11:00AM - 11:50AM,TR,n.a.,"Mason, C"
13,EPOL202,Foundations of Education-ACP,72478,Discussion/ Recitation,AD1,01:00PM - 02:50PM,T,17 Education Building,"Getowicz, C & Mason, C"
14,EPOL202,Foundations of Education-ACP,72479,Discussion/ Recitation,AD2,02:00PM - 03:50PM,W,42A Education Building,"Barkley, A & Mason, C"
15,EPOL202,Foundations of Education-ACP,72480,Online Lecture,AL1,11:00AM - 11:50AM,TR,n.a.,"Mason, C"
16,EPOL310,Race and Cultural Diversity,72223,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,22 Education Building,"Anderson, J & Livingston, C & Studamire, D"
17,EPOL310,Race and Cultural Diversity,72224,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,42A Education Building,"Anderson, J & Perkins-Williams, R & Studamire, D"
18,EPOL310,Race and Cultural Diversity,72225,Lecture,L,02:00PM - 03:50PM,T,22 Education Building,"Anderson, J & Livingston, C & Perkins-Williams, R & Studamire, D"
19,EPOL395,Independent Study,69912,Independent Study,,ARRANGED,n.a.,n.a.,
20,EPOL403,Historical and Social Barriers,72481,Online,A,06:00PM - 09:00PM,T,n.a.,"Hale, J & Porter Rallins, J & Rochon, A"
21,EPOL403,Historical and Social Barriers,73375,Online,B,06:00PM - 09:00PM,T,n.a.,"Hale, J & Porter Rallins, J & Rochon, A"
22,EPOL403,Historical and Social Barriers,72482,Online,ONL,06:00PM - 09:00PM,T,n.a.,"Hale, J & Porter Rallins, J & Rochon, A"
23,EPOL405,School and Society,72483,Online,A,05:00PM - 07:00PM,T,n.a.,"Nipa, I & Taylor, R"
24,EPOL405,School and Society,73377,Online,B,05:00PM - 07:00PM,T,n.a.,"Nipa, I & Taylor, R"
25,EPOL405,School and Society,72484,Online,ONL,05:00PM - 07:00PM,T,n.a.,"Nipa, I & Taylor, R"
