,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,EPSY199,Undergraduate Open Seminar,46232,Lecture-Discussion,A,12:30PM - 01:50PM,TR,22 Education Building,"Napolitano, C"
1,EPSY201,Educational Psychology,41158,Discussion/ Recitation,AD0,03:00PM - 04:50PM,F,4G Education Building,"Keyser, G & Quirk, V"
2,EPSY201,Educational Psychology,33931,Discussion/ Recitation,AD1,09:00AM - 10:50AM,F,22 Education Building,"Keyser, G & Pan, M"
3,EPSY201,Educational Psychology,33932,Discussion/ Recitation,AD2,09:00AM - 10:50AM,F,329 Gregory Hall,"Chen, R & Keyser, G"
4,EPSY201,Educational Psychology,33933,Discussion/ Recitation,AD3,09:00AM - 10:50AM,F,205 Gregory Hall,"Keyser, G & McCall, G"
5,EPSY201,Educational Psychology,33934,Discussion/ Recitation,AD4,11:00AM - 12:50PM,F,4G Education Building,"Keyser, G & Shipley, E"
6,EPSY201,Educational Psychology,33935,Discussion/ Recitation,AD5,11:00AM - 12:50PM,F,329 Gregory Hall,"Cicek, Y & Keyser, G"
7,EPSY201,Educational Psychology,33936,Online Discussion,AD6,11:00AM - 12:50PM,F,n.a.,"Keyser, G & Threadgill, R"
8,EPSY201,Educational Psychology,33937,Discussion/ Recitation,AD7,01:00PM - 02:50PM,F,4G Education Building,"Keyser, G & Yun, G"
9,EPSY201,Educational Psychology,33938,Online Discussion,AD8,01:00PM - 02:50PM,F,n.a.,"Keyser, G & Williams-Dobosz, D"
10,EPSY201,Educational Psychology,33940,Online Lecture,AL1,ARRANGED,n.a.,n.a.,"Keyser, G"
11,EPSY202,Exploring Cultural Diversity,33926,Online Discussion,AD1,01:00PM - 02:50PM,R,n.a.,"Ding, Y & Landrum-Brown, J"
12,EPSY202,Exploring Cultural Diversity,33927,Discussion/ Recitation,AD2,10:00AM - 11:50AM,T,382 Education Building,"Garcia-Villegas, L & Landrum-Brown, J"
13,EPSY202,Exploring Cultural Diversity,33928,Online Discussion,AD3,10:00AM - 11:50AM,R,n.a.,"Landrum-Brown, J & Ogunfemi, N"
14,EPSY202,Exploring Cultural Diversity,33929,Online Discussion,AD4,10:00AM - 11:50AM,W,n.a.,"Kunze, A & Landrum-Brown, J"
15,EPSY202,Exploring Cultural Diversity,40605,Online Discussion,AD5,01:00PM - 02:50PM,W,n.a.,"Landrum-Brown, J & Waight, C"
16,EPSY202,Exploring Cultural Diversity,40606,Discussion/ Recitation,AD6,01:00PM - 02:50PM,F,17 Education Building,"Landrum-Brown, J & Safir, S"
17,EPSY202,Exploring Cultural Diversity,33930,Online Lecture,AL1,03:00PM - 03:50PM,M,n.a.,"Landrum-Brown, J"
18,EPSY203,Social Issues Group Dialogues,50833,Laboratory-Discussion,AD3,03:00PM - 05:00PM,M,242 Education Building,"Bidner, S & Brewster, T & Deterding, R"
