,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ERAM550,Methods of Educational Inquiry,73709,Lecture-Discussion,A,05:00PM - 07:50PM,M,22 Education Building,"Zarate, K"
1,ERAM550,Methods of Educational Inquiry,73710,Online,ONL,07:00PM - 09:30PM,W,n.a.,"Bear, J & Lee, S"
2,ERAM551,Philosophy and Educational Research,72105,Lecture-Discussion,A,04:00PM - 05:50PM,R,166 Education Building,"Burbules, N"
3,ERAM554,Postcolonial Theory and Methodology,72495,Lecture-Discussion,A,12:00PM - 02:50PM,R,376 Education Building,"McCarthy, C"
4,ERAM555,Ethnographic Methods in Education,72144,Lecture-Discussion,A,04:00PM - 06:50PM,W,323 Education Building,"Dyson, A"
5,ERAM556,Program Evaluation,72469,Online,A,04:00PM - 06:00PM,T,n.a.,"Flesher, J"
6,ERAM556,Program Evaluation,72470,Online,ONL,04:00PM - 06:00PM,T,n.a.,"Flesher, J"
7,ERAM557,Meaning Patterns: Semiotics and the Interpretation of Meanings in Education and the Social Sciences,72221,Online,A,05:30PM - 07:30PM,M,n.a.,"Cope, W & Francis, K & Mattingly, S & Saini, A & Tzirides, A"
8,ERAM557,Meaning Patterns: Semiotics and the Interpretation of Meanings in Education and the Social Sciences,72222,Online,ONL,05:30PM - 07:30PM,M,n.a.,"Cope, W & Francis, K & Mattingly, S & Saini, A & Tzirides, A"
9,ERAM571,Traditions in Philosophy of Education,72520,Online,A,05:00PM - 07:00PM,T,n.a.,"Taylor, R"
10,ERAM571,Traditions in Philosophy of Education,72521,Online,ONL,05:00PM - 07:00PM,T,n.a.,"Taylor, R"
11,ERAM574,Education Law,72240,Online,A,05:30PM - 08:30PM,M,n.a.,"Alexander, S"
12,ERAM574,Education Law,72241,Online,ONL,05:30PM - 08:30PM,M,n.a.,"Alexander, S"
13,ERAM575,Action Research and Educational Leadership,73223,Online,A,05:30PM - 08:30PM,W,n.a.,"Roegman, R"
14,ERAM575,Action Research and Educational Leadership,73224,Online,ONL,05:30PM - 08:30PM,W,n.a.,"Roegman, R"
15,ERAM583,Evaluation with Applied Survey Design III,73543,Online,A,05:00PM - 07:00PM,T,n.a.,"Lindgren, S"
16,ERAM583,Evaluation with Applied Survey Design III,73544,Online,ONL,05:00PM - 07:00PM,T,n.a.,"Lindgren, S"
