,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ESE103,Earth's Physical Systems,54793,Laboratory-Discussion,AB1,02:00PM - 03:50PM,R,Location Pending,"Melendez Bernardo, M"
1,ESE103,Earth's Physical Systems,54794,Laboratory-Discussion,AB2,10:00AM - 11:50AM,F,Location Pending,"Melendez Bernardo, M"
2,ESE103,Earth's Physical Systems,54795,Laboratory-Discussion,AB3,12:00PM - 01:50PM,F,Location Pending,"Melendez Bernardo, M"
3,ESE103,Earth's Physical Systems,54792,Online,AL1,11:00AM - 12:20PM,TR,n.a.,"Cienciala, P"
4,ESE111,Emergence of Life,61955,Online,A,ARRANGED,n.a.,n.a.,"Chen, M & Cole, T & Li, Y & Peng, L"
5,ESE118,Natural Disasters,54829,Lecture,A,11:00AM - 11:50AM,MWF,2079 Natural History Building,"Christie, M & Dendy, S"
6,ESE120,Severe and Hazardous Weather,54843,Lecture,A,02:00PM - 03:20PM,TR,THEAT Lincoln Hall,"Choate, J"
7,ESE120,Severe and Hazardous Weather,54870,Lecture,HA,02:00PM - 03:20PM,TR,THEAT Lincoln Hall,"Choate, J"
8,ESE140,Climate and Global Change,54862,Online Lecture,A,11:00AM - 12:20PM,TR,n.a.,"De Vera, M & Hence, D"
9,ESE208,History of the Earth System,54832,Laboratory,AB1,10:00AM - 11:50AM,R,220 Davenport Hall,"Stewart, M & Todorov, L"
10,ESE208,History of the Earth System,54833,Laboratory,AB2,01:00PM - 02:50PM,R,220 Davenport Hall,"Stewart, M & Todorov, L"
11,ESE208,History of the Earth System,54831,Lecture,AL1,12:00PM - 12:50PM,MWF,122 Davenport Hall,"Stewart, M"
12,ESE210,Social & Environmental Issues,54796,Online,ONL,ARRANGED,n.a.,n.a.,"Alvarado, N & Chyon, S"
13,ESE222,Big Rivers of the World,54797,Lecture-Discussion,A,02:00PM - 02:50PM,MWF,2020A Natural History Building,"Best, J"
14,ESE254,"American People, Places, & Environments",69951,Lecture-Discussion,A,12:30PM - 01:50PM,TR,137D Davenport Hall,"Pierce, C"
15,ESE287,Environment and Society,54847,Discussion/ Recitation,AD1,01:00PM - 01:50PM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
16,ESE287,Environment and Society,54848,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,W115 Turner Hall,"Golebie, E & Joffe-Nelson, N"
17,ESE287,Environment and Society,54849,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
18,ESE287,Environment and Society,54850,Discussion/ Recitation,AD4,12:00PM - 12:50PM,F,316S Mumford Hall,"Golebie, E & Sharma, S"
19,ESE287,Environment and Society,55546,Discussion/ Recitation,AD6,01:00PM - 01:50PM,F,382 Education Building,"Golebie, E & Shin, S"
20,ESE287,Environment and Society,68927,Discussion/ Recitation,AD7,12:00PM - 12:50PM,F,W115 Turner Hall,"Golebie, E & Joffe-Nelson, N"
21,ESE287,Environment and Society,68935,Discussion/ Recitation,AD9,11:00AM - 11:50AM,F,382 Education Building,"Golebie, E & Shin, S"
22,ESE287,Environment and Society,54846,Lecture,AL1,01:00PM - 01:50PM,MW,103 Mumford Hall,"Golebie, E"
23,ESE311,Environmental Issues Today,54920,Conference,A,03:30PM - 04:50PM,TR,1306 Everitt Laboratory,"Kanter, R"
24,ESE320,"Water Planet, Water Crisis",58559,Lecture,AL1,11:00AM - 12:20PM,TR,2020A Natural History Building,"Sivapalan, M"
25,ESE333,Earth Materials and the Env,54835,Laboratory,AB1,01:00PM - 02:50PM,T,1022 Natural History Building,"Altaner, S & Margason, A"
26,ESE333,Earth Materials and the Env,54834,Lecture,AL1,10:00AM - 10:50AM,MWF,122 Davenport Hall,"Altaner, S"
27,ESE360,Environmental Writing,66865,Online,A,ARRANGED,n.a.,n.a.,"Shuger, A"
28,ESE360,Environmental Writing,67476,Lecture-Discussion,B,09:30AM - 10:50AM,TR,219 Gregory Hall,"Cole, L"
29,ESE379,Intro to GIS Systems,54799,Laboratory,AB1,02:00PM - 03:50PM,M,338 Davenport Hall,"Anderson, D"
30,ESE379,Intro to GIS Systems,54800,Laboratory,AB2,03:00PM - 04:50PM,T,338 Davenport Hall,"Anderson, D"
31,ESE379,Intro to GIS Systems,54798,Lecture,AE1,01:00PM - 01:50PM,MW,1000 Lincoln Hall,"Minn, M"
32,ESE379,Intro to GIS Systems,62098,Online,ONL,ARRANGED,n.a.,n.a.,"Winata, F"
33,ESE380,GIS II: Spatial Prob Solving,61528,Laboratory-Discussion,A,09:30AM - 10:50AM,TR,1020 Natural History Building,"Han, S"
34,ESE401,ESE Capstone,54841,Independent Study,,ARRANGED,n.a.,n.a.,
35,ESE439,Biogeography,56936,Lecture-Discussion,A,09:30AM - 10:50AM,TR,2083 Natural History Building,"Punyasena, S"
36,ESE445,Earth Resources Sustainability,61711,Online,A,ARRANGED,n.a.,n.a.,"Cole, T"
37,ESE465,Transportation & Sustainability,65614,Lecture-Discussion,G1,09:00AM - 09:50AM,MWF,2020A Natural History Building,"Cidell, J"
38,ESE465,Transportation & Sustainability,65575,Lecture-Discussion,U1,09:00AM - 09:50AM,MWF,2020A Natural History Building,"Cidell, J"
39,ESE482,Challenges of Sustainability,63386,Lecture,A,09:30AM - 10:50AM,TR,132 Davenport Hall,"Brown, C"
40,ESE498,Environmental Writing for Publication,67478,Lecture-Discussion,A,02:00PM - 03:50PM,W,313 Davenport Hall,"Kanter, R"
