,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,ESL110,English Pronunciation & Oral Fluency,63051,Lecture-Discussion,A,01:00PM - 01:50PM,MWF,G24 Foreign Languages Building,"Dees, J & Faivre, S & Franks, S"
1,ESL110,English Pronunciation & Oral Fluency,47488,Lecture-Discussion,B,03:00PM - 03:50PM,MWF,G46 Foreign Languages Building,"Corrigan, R & Faivre, S & Franks, S"
2,ESL110,English Pronunciation & Oral Fluency,33119,Lecture-Discussion,C,09:00AM - 09:50AM,MWF,G36 Foreign Languages Building,"Faivre, S & Franks, S & Zhang, J"
3,ESL110,English Pronunciation & Oral Fluency,33121,Lecture-Discussion,F,10:00AM - 10:50AM,MWF,G24 Foreign Languages Building,"Faivre, S & Franks, S & Masuda, M"
4,ESL111,Intro to Academic Writing I,65402,Lecture-Discussion,A,03:00PM - 03:50PM,MWF,G8A Foreign Languages Building,"Al Bulushi, Z & Faivre, S"
5,ESL111,Intro to Academic Writing I,65403,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,G8A Foreign Languages Building,"Bednarz, A & Faivre, S"
6,ESL111,Intro to Academic Writing I,65404,Lecture-Discussion,C,08:00AM - 08:50AM,MWF,G8A Foreign Languages Building,"Bednarz, A & Faivre, S"
7,ESL111,Intro to Academic Writing I,61320,Lecture-Discussion,J,10:00AM - 10:50AM,MWF,G8B Foreign Languages Building,"Al Bulushi, Z & Faivre, S"
8,ESL111,Intro to Academic Writing I,69176,Lecture-Discussion,Y,01:00PM - 01:50PM,MWF,G13 Foreign Languages Building,"Faivre, S & Sims, L"
9,ESL112,Intro to Academic Writing II,60647,Lecture-Discussion,A,02:00PM - 02:50PM,MWF,G7 Foreign Languages Building,"Faivre, S & Gomez Cayapu, R"
10,ESL112,Intro to Academic Writing II,60648,Lecture-Discussion,B,08:00AM - 08:50AM,MWF,G13 Foreign Languages Building,"Bishop, H & Faivre, S"
11,ESL112,Intro to Academic Writing II,60649,Lecture-Discussion,C,01:00PM - 01:50PM,MWF,G8B Foreign Languages Building,"Carroll Curry, E & Faivre, S"
12,ESL112,Intro to Academic Writing II,60650,Lecture-Discussion,D,09:00AM - 09:50AM,MWF,G13 Foreign Languages Building,"Faivre, S & Zhang, Y"
13,ESL112,Intro to Academic Writing II,60651,Lecture-Discussion,E,12:00PM - 12:50PM,MWF,G13 Foreign Languages Building,"Faivre, S & Sedriks, B"
14,ESL112,Intro to Academic Writing II,60652,Lecture-Discussion,F,11:00AM - 11:50AM,MWF,G52 Foreign Languages Building,"Abdar, O & Faivre, S"
15,ESL112,Intro to Academic Writing II,60653,Lecture-Discussion,G,02:00PM - 02:50PM,MWF,G8B Foreign Languages Building,"Faivre, S & Kotnarowski, J"
16,ESL112,Intro to Academic Writing II,60654,Lecture-Discussion,H,10:00AM - 10:50AM,MWF,G13 Foreign Languages Building,"Faivre, S & Sedriks, B"
17,ESL112,Intro to Academic Writing II,60663,Lecture-Discussion,I,03:00PM - 03:50PM,MWF,G8B Foreign Languages Building,"Faivre, S & Kotnarowski, J"
18,ESL112,Intro to Academic Writing II,60656,Lecture-Discussion,J,04:00PM - 04:50PM,MWF,G52 Foreign Languages Building,"Faivre, S & Krokhmal, A"
19,ESL112,Intro to Academic Writing II,60657,Lecture-Discussion,K,12:00PM - 12:50PM,MWF,G8B Foreign Languages Building,"Carroll Curry, E & Faivre, S"
20,ESL112,Intro to Academic Writing II,67513,Lecture-Discussion,M,04:00PM - 04:50PM,MWF,G8B Foreign Languages Building,"Faivre, S & Leroux, W"
21,ESL112,Intro to Academic Writing II,67514,Lecture-Discussion,N,01:00PM - 01:50PM,MWF,G3 Foreign Languages Building,"Faivre, S & Pan, Y"
22,ESL112,Intro to Academic Writing II,67516,Lecture-Discussion,O,11:00AM - 11:50AM,MWF,G8B Foreign Languages Building,"Buonomo, E & Faivre, S"
23,ESL112,Intro to Academic Writing II,69180,Lecture-Discussion,S,03:00PM - 03:50PM,MWF,G3 Foreign Languages Building,"Faivre, S & Gumus, M"
24,ESL115,Principles of Academic Writing,59118,Lecture-Discussion,A1,10:00AM - 10:50AM,MWF,G23 Foreign Languages Building,"Faivre, S & Kim, E"
25,ESL115,Principles of Academic Writing,59120,Lecture-Discussion,C1,01:00PM - 01:50PM,MWF,G23 Foreign Languages Building,"Faivre, S & Williams, B"
26,ESL115,Principles of Academic Writing,33125,Lecture-Discussion,E,12:00PM - 12:50PM,MWF,G23 Foreign Languages Building,"Faivre, S & Williams, B"
27,ESL115,Principles of Academic Writing,50999,Lecture-Discussion,G,09:00AM - 09:50AM,MWF,G23 Foreign Languages Building,"Faivre, S & Farcus, A"
28,ESL115,Principles of Academic Writing,51001,Lecture-Discussion,I,03:00PM - 03:50PM,MWF,G13 Foreign Languages Building,"Faivre, S & Prentice, J"
29,ESL115,Principles of Academic Writing,51002,Lecture-Discussion,J,11:00AM - 11:50AM,MWF,G13 Foreign Languages Building,"Faivre, S & Farcus, A"
30,ESL115,Principles of Academic Writing,55439,Lecture-Discussion,K,04:00PM - 04:50PM,MWF,G13 Foreign Languages Building,"Faivre, S & Prentice, J"
31,ESL115,Principles of Academic Writing,59108,Lecture-Discussion,Q,01:00PM - 01:50PM,MWF,G17 Foreign Languages Building,"Bowen, M & Faivre, S"
