,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,FAA110,Exploring Arts and Creativity,67765,Lecture-Discussion,A,10:00AM - 11:20AM,M,1002 Siebel Center for Design,"Bentz, J & Jones, C & Rivera, M"
1,FAA110,Exploring Arts and Creativity,60868,Lecture-Discussion,B,10:00AM - 11:20AM,W,131 Flagg Hall,"Burgos, A & Hammie, P & Rivera, M"
2,FAA110,Exploring Arts and Creativity,60872,Lecture-Discussion,C,09:30AM - 10:50AM,R,166 Education Building,"Barnard, J & Lucero, J & Rivera, M"
3,FAA110,Exploring Arts and Creativity,69421,Lecture-Discussion,D,01:30PM - 02:50PM,R,301 Noyes Laboratory,"Mehrtens, B & Morrissette, J & Rivera, M"
4,FAA199,Undergraduate Open Seminar,51054,Lecture-Discussion,BAT,11:30AM - 12:45PM,MW,1002 Siebel Center for Design,"Russell, T"
5,FAA202,Artsful Teaching through Integ,65138,"Laboratory<br/><i><span class=""app-text-value"">Meets 01/24/22-05/04/22</span></i>",A,04:00PM - 06:50PM,R,1030 Music Building,"Antoline, M"
6,FAA299,FAA Study Abroad,32515,Conference,A,ARRANGED,n.a.,Location Pending,"Turner, N"
7,FAA330,Making Sustainable Design,71455,Studio,DS,02:00PM - 04:50PM,MWF,1050 Siebel Center for Design,"Fang, F & Hodgin Jones, K & Taylor, M & Weiss, A"
8,FAA398,Sustainable Design Internship,73103,Internship,SD,ARRANGED,n.a.,Location Pending,"Turner, N"
9,FAA431,Capstone Studio,73011,Studio,SD,08:00AM - 12:20PM,MW,0060 Siebel Center for Design,"Benson, E"
10,FAA491,Special Problems in Sustainable Design,73197,Independent Study,A,ARRANGED,n.a.,n.a.,"Schneider, D"
