,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,FIN199,Undergraduate Open Seminar,10109,Independent Study,,ARRANGED,n.a.,n.a.,
1,FIN199,Undergraduate Open Seminar,32516,Lecture-Discussion,HON,03:30PM - 04:50PM,TR,152 Wohlers Hall,"Excell, R"
2,FIN221,Corporate Finance,32520,Discussion/ Recitation,ADA,09:00AM - 09:50AM,F,1025 Business Instructional Fac,"Dyer, M & Lei, L"
3,FIN221,Corporate Finance,32522,Discussion/ Recitation,ADC,10:00AM - 10:50AM,F,1025 Business Instructional Fac,"Dyer, M & Lei, L"
4,FIN221,Corporate Finance,32523,Discussion/ Recitation,ADD,10:00AM - 10:50AM,F,2057 Business Instructional Fac,"Dyer, M & Mohr, J"
5,FIN221,Corporate Finance,32526,Discussion/ Recitation,ADG,10:00AM - 10:50AM,F,3009 Business Instructional Fac,"Dyer, M & Lee, J"
6,FIN221,Corporate Finance,32529,Discussion/ Recitation,ADJ,01:00PM - 01:50PM,F,3009 Business Instructional Fac,"Dyer, M & Lien, C"
7,FIN221,Corporate Finance,32530,Discussion/ Recitation,ADK,02:00PM - 02:50PM,F,1025 Business Instructional Fac,"Dyer, M & Lee, J"
8,FIN221,Corporate Finance,32531,Discussion/ Recitation,ADL,02:00PM - 02:50PM,F,3009 Business Instructional Fac,"Dyer, M & Lien, C"
9,FIN221,Corporate Finance,32540,Discussion/ Recitation,ADN,03:00PM - 03:50PM,F,2057 Business Instructional Fac,"Dyer, M & Mohr, J"
10,FIN221,Corporate Finance,32554,Discussion/ Recitation,ADO,02:00PM - 02:50PM,F,2057 Business Instructional Fac,"Dyer, M & Lei, L"
11,FIN221,Corporate Finance,32556,Discussion/ Recitation,ADQ,03:00PM - 03:50PM,F,3009 Business Instructional Fac,"Dyer, M & Lien, C"
12,FIN221,Corporate Finance,32557,Discussion/ Recitation,ADR,08:00AM - 08:50AM,F,3009 Business Instructional Fac,"Dyer, M & Mohr, J"
13,FIN221,Corporate Finance,32562,Discussion/ Recitation,ADS,09:00AM - 09:50AM,F,2043 Business Instructional Fac,"Dyer, M & Mohr, J"
14,FIN221,Corporate Finance,32563,Discussion/ Recitation,ADT,01:00PM - 01:50PM,F,1025 Business Instructional Fac,"Dyer, M & Lee, J"
