,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,FR101,Elementary French I,32707,Lecture-Discussion,B,09:00AM - 09:50AM,MTWR,326 David Kinley Hall,"Clay, A & Peterson, S"
1,FR101,Elementary French I,32705,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,326 David Kinley Hall,"Clay, A & Peterson, S"
2,FR101,Elementary French I,32706,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,326 David Kinley Hall,"Clay, A & Rangel, E"
3,FR101,Elementary French I,48104,Lecture-Discussion,E,01:00PM - 01:50PM,MTWR,326 David Kinley Hall,"Clay, A & Rangel, E"
4,FR102,Elementary French II,32713,Lecture-Discussion,B,09:00AM - 09:50AM,MTWR,309 English Building,"Clay, A & Wikle, J"
5,FR102,Elementary French II,32709,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,309 English Building,"Clay, A & Laing, A"
6,FR102,Elementary French II,32711,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,309 English Building,"Clay, A & Laing, A"
7,FR102,Elementary French II,32712,Lecture-Discussion,D2,12:00PM - 12:50PM,MTWR,309 English Building,"Clay, A & Wikle, J"
8,FR102,Elementary French II,32710,Lecture-Discussion,E,01:00PM - 01:50PM,MTWR,136 Burrill Hall,"Clay, A & Prieu, C"
9,FR102,Elementary French II,64702,Lecture-Discussion,E2,02:00PM - 02:50PM,MTWR,309 English Building,"Clay, A"
10,FR103,Intermediate French I,32715,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,221 Gregory Hall,"Brittingham, L & Clay, A"
11,FR103,Intermediate French I,32716,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,221 Gregory Hall,"Clay, A & Gorham, J"
12,FR103,Intermediate French I,32719,Lecture-Discussion,D2,09:00AM - 09:50AM,MTWR,221 Gregory Hall,"Clay, A & Zghal, S"
13,FR104,Intermediate French II,32721,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,136 Burrill Hall,"Clay, A & Karimi Balan, E"
14,FR104,Intermediate French II,32722,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,136 Burrill Hall,"Asamoah Frimpong, W & Clay, A"
15,FR104,Intermediate French II,32724,Lecture-Discussion,F,01:00PM - 01:50PM,MTWR,309 English Building,"Clay, A"
16,FR156,Exploring Paris,58606,Lecture-Discussion,D,11:00AM - 12:20PM,TR,314 Altgeld Hall,"Maroun, D"
17,FR199,Undergraduate Open Seminar,10135,Independent Study,,ARRANGED,n.a.,n.a.,
18,FR205,Oral French,32809,Lecture-Discussion,D2,10:00AM - 10:50AM,MWF,1040 Foreign Languages Building,"Andre, E & Maroun, D"
19,FR205,Oral French,32808,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,1024 Foreign Languages Building,"Maroun, D & Turner, R"
20,FR207,Writing and Grammar Workshop,32811,Lecture-Discussion,A,09:30AM - 10:50AM,TR,1110 Foreign Languages Building,"Fagyal, Z & Gorham, J"
21,FR207,Writing and Grammar Workshop,32810,Lecture-Discussion,B,12:30PM - 01:20PM,MW,1018 Foreign Languages Building,"Fagyal, Z & Thrasher, T"
22,FR211,Introduction to Literary Studies,66018,Lecture-Discussion,A,11:00AM - 12:20PM,MW,G24 Foreign Languages Building,"Keller, M"
23,FR212,Introduction to Cultural Analysis: French Identities,64955,Online,A,11:00AM - 12:20PM,TR,n.a.,"Mall, L"
24,FR212,Introduction to Cultural Analysis: French Identities,66019,Online,B,02:00PM - 03:20PM,TR,n.a.,"Mall, L"
25,FR213,French Phonetics,32890,Lecture-Discussion,A1,09:30AM - 10:50AM,T,G3 Foreign Languages Building,"Fagyal, Z & Turner, R"
26,FR299,Study Abroad,32908,Study Abroad,A,ARRANGED,n.a.,n.a.,
27,FR301,Medieval and Early Modern Literature,67037,Lecture,A,02:00PM - 03:20PM,MW,1030 Foreign Languages Building,"Keller, M"
28,FR319,Francophone Worlds,56830,Lecture-Discussion,A,12:30PM - 01:50PM,TR,G18 Foreign Languages Building,"Reynolds, F"
29,FR336,French Cultural History 1789-1968,65140,Lecture-Discussion,F,12:30PM - 01:50PM,TR,1032 Foreign Languages Building,"Proulx, F"
30,FR390,Indiv Study Major Tutorial,47496,Independent Study,,ARRANGED,n.a.,n.a.,
31,FR460,Principles of Language Testing,31920,Lecture-Discussion,G4,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
32,FR460,Principles of Language Testing,31919,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
33,FR462,Introduction to Romance Linguistics,64880,Lecture-Discussion,G4,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
34,FR462,Introduction to Romance Linguistics,58567,Lecture-Discussion,U3,12:00PM - 12:50PM,MWF,G20 Foreign Languages Building,"Hualde, J"
35,FR481,Theoretical Foundations of SLA,38717,Lecture-Discussion,G4,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
