,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,FSHN101,The Science of Food and How it Relates to You,73391,Lecture,A,02:00PM - 03:20PM,TR,213 Gregory Hall,"Gist, T"
1,FSHN101,The Science of Food and How it Relates to You,32983,Online,ONL,ARRANGED,n.a.,n.a.,"Gist, T"
2,FSHN120,Contemporary Nutrition,32987,Lecture-Discussion,A,12:30PM - 01:50PM,TR,AUD Foellinger Auditorium,"Gist, T"
3,FSHN120,Contemporary Nutrition,73122,Discussion/ Recitation,BLC,03:00PM - 04:50PM,W,2050 Student Dining & Res Program,"Gist, T"
4,FSHN120,Contemporary Nutrition,57561,Online,ONL,ARRANGED,n.a.,n.a.,"Gist, T"
5,FSHN145,Intro Hospitality Management,32999,Laboratory,AB1,04:00PM - 08:50PM,F,286 Bevier Hall,"Brotherton, J"
6,FSHN145,Intro Hospitality Management,33004,Lecture,AL1,02:00PM - 03:20PM,M,286 Bevier Hall,"Brotherton, J"
7,FSHN175,Science of Fermented Foods,70512,Online,ONL,ARRANGED,n.a.,n.a.,"Miller, M"
8,FSHN199,Undergraduate Open Seminar,18917,Discussion/ Recitation,HN,ARRANGED,W,Location Pending,"Gist, T"
9,FSHN199,Undergraduate Open Seminar,33009,Online,ONL,ARRANGED,n.a.,n.a.,"Bohn, D"
10,FSHN199,Undergraduate Open Seminar,65366,Lecture,TFS,03:00PM - 04:20PM,TR,328 Bevier Hall,"Lee, S"
11,FSHN199,Undergraduate Open Seminar,69377,Internship,ULL,ARRANGED,n.a.,Location Pending,"Gist, T"
12,FSHN201,Math for Food Science,71908,Lecture,A,12:30PM - 01:50PM,TR,"22 ACES Lib, Info & Alum Ctr","Takhar, P"
13,FSHN232,Science of Food Preparation,60344,Discussion/ Recitation,AL1,12:00PM - 12:50PM,F,131 Animal Sciences Laboratory,"Ma, S"
14,FSHN232,Science of Food Preparation,60345,Discussion/ Recitation,AL2,12:00PM - 12:50PM,F,131 Animal Sciences Laboratory,"Ma, S"
15,FSHN232,Science of Food Preparation,60346,Laboratory-Discussion,AY1,10:00AM - 11:50AM,TR,362 Bevier Hall,"Ma, S"
16,FSHN232,Science of Food Preparation,60347,Laboratory-Discussion,AY2,02:00PM - 03:50PM,TR,358 Bevier Hall,"Ma, S"
17,FSHN249,Food Service Sanitation,72744,Online,A,ARRANGED,n.a.,n.a.,"Craft, J"
18,FSHN251,Nutritional Physiology II,72369,Lecture,A,11:00AM - 12:20PM,TR,328 Bevier Hall,"Amengual Terrasa, J"
19,FSHN260,Raw Materials for Processing,33027,Lecture,A,10:00AM - 12:00PM,M,272 Agricultural Engr Sciences Bld,"Lee, Y"
20,FSHN292,Hospitality Management: Professional Issues,72371,Lecture,A,04:00PM - 04:50PM,W,328 Bevier Hall,"Craft, J"
21,FSHN293,Off Campus Internship,68253,Internship,,ARRANGED,n.a.,Location Pending,
22,FSHN294,On Campus Internship,68528,Internship,,ARRANGED,n.a.,Location Pending,
23,FSHN294,On Campus Internship,41193,Internship,BAP,ARRANGED,n.a.,Location Pending,"Perry, B"
24,FSHN295,UG Research or Thesis,10165,Independent Study,,ARRANGED,n.a.,n.a.,
25,FSHN322,Nutrition and the Life Cycle,33030,Lecture-Discussion,A,10:00AM - 11:20AM,MW,328 Bevier Hall,"Karduck, J"
26,FSHN329,Communication in Nutrition,33016,Lecture-Discussion,A,12:30PM - 01:50PM,MW,328 Bevier Hall,"Karduck, J"
27,FSHN340,Food Production and Service,33020,Laboratory,AB1,08:30AM - 01:50PM,MW,292 Bevier Hall,"Brotherton, J & Phillips, C"
28,FSHN340,Food Production and Service,33021,Laboratory,AB2,08:30AM - 01:50PM,WF,292 Bevier Hall,"Brotherton, J & Phillips, C"
29,FSHN340,Food Production and Service,33022,Laboratory,AB3,08:30AM - 01:50PM,MF,292 Bevier Hall,"Brotherton, J & Phillips, C"
30,FSHN340,Food Production and Service,33023,Laboratory,AB4,08:30AM - 01:50PM,TR,292 Bevier Hall,"Brotherton, J & Phillips, C"
31,FSHN340,Food Production and Service,33024,Lecture,AL1,02:00PM - 02:50PM,TR,286 Bevier Hall,"Brotherton, J & Phillips, C"
32,FSHN346,Foundations of Hotel Management,72374,Lecture,A,02:00PM - 03:20PM,WF,108 Bevier Hall,"Craft, J"
33,FSHN396,UG Honors Research or Thesis,10176,Independent Study,,ARRANGED,n.a.,n.a.,
34,FSHN398,Undergraduate Seminar,68596,Internship,S&E,05:00PM - 05:50PM,M,Location Pending,"Perry, B"
35,FSHN398,Undergraduate Seminar,58408,Internship,UGM,ARRANGED,n.a.,Location Pending,"Gist, T"
36,FSHN418,Food Analysis,33029,Laboratory,A,02:00PM - 04:50PM,TR,280 Agricultural Engr Sciences Bld,"Cadwallader, K"
37,FSHN423,Advances in Foods & Nutrition,10181,Independent Study,,ARRANGED,n.a.,n.a.,
