,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GEOG100,Introduction to Meteorology,53956,Discussion/ Recitation,ADB,10:00AM - 10:50AM,R,G7 Foreign Languages Building,"Adams, A & Frame, J"
1,GEOG100,Introduction to Meteorology,53958,Discussion/ Recitation,ADC,11:00AM - 11:50AM,R,G7 Foreign Languages Building,"Adams, A & Frame, J"
2,GEOG100,Introduction to Meteorology,53960,Discussion/ Recitation,ADE,01:00PM - 01:50PM,R,G27 Foreign Languages Building,"Adams, A & Frame, J"
3,GEOG100,Introduction to Meteorology,53961,Discussion/ Recitation,ADF,02:00PM - 02:50PM,R,G27 Foreign Languages Building,"Adams, A & Frame, J"
4,GEOG100,Introduction to Meteorology,53966,Discussion/ Recitation,ADK,10:00AM - 10:50AM,F,G17 Foreign Languages Building,"Frame, J & Wolff, E"
5,GEOG100,Introduction to Meteorology,53967,Discussion/ Recitation,ADL,11:00AM - 11:50AM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
6,GEOG100,Introduction to Meteorology,53969,Discussion/ Recitation,ADM,12:00PM - 12:50PM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
7,GEOG100,Introduction to Meteorology,53970,Discussion/ Recitation,ADN,01:00PM - 01:50PM,F,G7 Foreign Languages Building,"Frame, J & Wolff, E"
8,GEOG100,Introduction to Meteorology,53973,Lecture,AL2,01:00PM - 01:50PM,MW,100 Gregory Hall,"Frame, J"
9,GEOG101,Global Development&Environment,33253,Online,ONL,ARRANGED,n.a.,n.a.,"Acosta-Cordova, J & Butcher, S"
10,GEOG103,Earth's Physical Systems,33267,Laboratory-Discussion,AB1,02:00PM - 03:50PM,R,Location Pending,"Melendez Bernardo, M"
11,GEOG103,Earth's Physical Systems,33292,Laboratory-Discussion,AB2,10:00AM - 11:50AM,F,Location Pending,"Melendez Bernardo, M"
12,GEOG103,Earth's Physical Systems,33295,Laboratory-Discussion,AB3,12:00PM - 01:50PM,F,Location Pending,"Melendez Bernardo, M"
13,GEOG103,Earth's Physical Systems,33301,Online,AL1,11:00AM - 12:20PM,TR,n.a.,"Cienciala, P"
14,GEOG199,Undergraduate Open Seminar,10231,Independent Study,,ARRANGED,n.a.,n.a.,
15,GEOG204,Cities of the World,46967,Online,ONL,ARRANGED,n.a.,n.a.,"Roberts, N"
16,GEOG210,Social & Environmental Issues,33345,Online,ONL,ARRANGED,n.a.,n.a.,"Alvarado, N & Chyon, S"
17,GEOG222,Big Rivers of the World,51509,Lecture-Discussion,A,02:00PM - 02:50PM,MWF,2020A Natural History Building,"Best, J"
18,GEOG254,"American People, Places, & Environments",68574,Lecture-Discussion,A,12:30PM - 01:50PM,TR,137D Davenport Hall,"Pierce, C"
