,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GER101,Beginning German I,72114,Online,A,09:00AM - 09:50AM,TR,n.a.,"Webster, C"
1,GER101,Beginning German I,33558,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,G32 Foreign Languages Building,"Agu, B & Webster, C"
2,GER101,Beginning German I,33559,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,G32 Foreign Languages Building,"Agu, B & Webster, C"
3,GER101,Beginning German I,33561,Lecture-Discussion,E,01:00PM - 01:50PM,MTWR,G32 Foreign Languages Building,"Jin, S & Webster, C"
4,GER102,Beginning German II,33563,Lecture-Discussion,C,10:00AM - 10:50AM,MTWR,207 Gregory Hall,"Groesch, A & Webster, C"
5,GER102,Beginning German II,33564,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,207 Gregory Hall,"Wang, C & Webster, C"
6,GER102,Beginning German II,33565,Lecture-Discussion,D2,01:00PM - 01:50PM,MTWR,207 Gregory Hall,"Schwenk, A & Webster, C"
7,GER102,Beginning German II,33566,Lecture-Discussion,E,02:00PM - 02:50PM,MTWR,207 Gregory Hall,"Schwenk, A & Webster, C"
8,GER103,Intermediate German I,33571,Lecture-Discussion,D,11:00AM - 11:50AM,MTWR,313 Gregory Hall,"Hader, Z & Webster, C"
9,GER103,Intermediate German I,33569,Lecture-Discussion,G,02:00PM - 02:50PM,MTWR,313 Gregory Hall,"Slattery, J & Webster, C"
10,GER104,Intermediate German II,33573,Lecture-Discussion,E,01:00PM - 01:50PM,MTWR,313 Gregory Hall,"Beckmann, E & Webster, C"
11,GER104,Intermediate German II,33572,Lecture-Discussion,X,10:00AM - 10:50AM,MTWR,313 Gregory Hall,"Alomerovic, B & Webster, C"
12,GER191,Freshman Honors Tutorial,10276,Independent Study,,ARRANGED,n.a.,n.a.,
13,GER199,Undergraduate Open Seminar,42070,Online,A1,12:00PM - 01:20PM,MW,n.a.,"Hunt, A"
14,GER201,German Popular Culture,63431,Lecture-Discussion,A,12:30PM - 01:50PM,TR,304 English Building,"Pinkert, A"
15,GER211,Conversation and Writing I,39080,Online,F,12:00PM - 12:50PM,MW,n.a.,"Schmude, K & Webster, C"
16,GER212,Conversation and Writing II,43204,Online,G,02:00PM - 02:50PM,MW,n.a.,"Castle, J & Webster, C"
17,GER251,Grimm's Fairy Tales in Context,60015,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,132 Davenport Hall,"Guo, L & Johnson, L"
18,GER251,Grimm's Fairy Tales in Context,60018,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,132 Davenport Hall,"Guo, L & Johnson, L"
19,GER251,Grimm's Fairy Tales in Context,60021,Discussion/ Recitation,AD3,01:00PM - 01:50PM,F,132 Davenport Hall,"Johnson, L & Schneeberger, A"
20,GER251,Grimm's Fairy Tales in Context,68654,Discussion/ Recitation,AD4,09:00AM - 09:50AM,F,132 Davenport Hall,"Guo, L & Johnson, L"
21,GER251,Grimm's Fairy Tales in Context,68655,Discussion/ Recitation,AD5,12:00PM - 12:50PM,F,132 Davenport Hall,"Johnson, L & Schneeberger, A"
22,GER251,Grimm's Fairy Tales in Context,68656,Discussion/ Recitation,AD6,02:00PM - 02:50PM,F,132 Davenport Hall,"Johnson, L & Schneeberger, A"
23,GER251,Grimm's Fairy Tales in Context,60024,Lecture,AL1,02:00PM - 02:50PM,MW,103 Mumford Hall,"Johnson, L"
24,GER260,The Holocaust in Context - ACP,60055,Online,NS,ARRANGED,n.a.,n.a.,"Hunt, A"
25,GER261,The Holocaust in Context,60039,Lecture-Discussion,AL1,11:00AM - 12:20PM,TR,113 David Kinley Hall,"Wade, M"
26,GER299,Study Abroad,33584,Lecture-Discussion,A,ARRANGED,n.a.,Location Pending,"Webster, C"
27,GER321,German for Economics,33579,Lecture-Discussion,D,02:00PM - 03:20PM,MT,1018 Foreign Languages Building,"Alomerovic, B"
28,GER331,Intro to German Literature,39105,Lecture-Discussion,B,02:00PM - 03:20PM,TR,G18 Foreign Languages Building,
29,GER405,History of Translation,72446,Lecture-Discussion,G4,02:00PM - 03:20PM,TR,G30 Foreign Languages Building,"Cooper, D"
30,GER405,History of Translation,73647,Online,GON,02:00PM - 03:20PM,TR,n.a.,"Cooper, D"
31,GER405,History of Translation,72440,Lecture-Discussion,U3,02:00PM - 03:20PM,TR,G30 Foreign Languages Building,"Cooper, D"
32,GER420,German Cultural History,50381,Lecture-Discussion,E,02:00PM - 03:20PM,TR,1120 Foreign Languages Building,"Niekerk, C"
33,GER460,Principles of Language Testing,32938,Lecture-Discussion,G4,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
34,GER460,Principles of Language Testing,32936,Lecture-Discussion,U3,12:30PM - 01:50PM,TR,G3 Foreign Languages Building,"Yan, X"
35,GER473,1920s to Today,55521,Lecture-Discussion,P,03:00PM - 04:50PM,W,1120 Foreign Languages Building,"Niekerk, C"
36,GER489,Theoretical Foundations of SLA,38718,Lecture-Discussion,G4,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
37,GER489,Theoretical Foundations of SLA,38715,Lecture-Discussion,U3,01:00PM - 01:50PM,MWF,G18 Foreign Languages Building,"Pierce, L"
38,GER491,Honors Senior Thesis,10289,Independent Study,,ARRANGED,n.a.,n.a.,
39,GER496,Special Topics German Studies,10291,Independent Study,,ARRANGED,n.a.,n.a.,
40,GER510,Introduction to Graduate Study,71930,Lecture-Discussion,A2,03:00PM - 04:50PM,T,1118 Foreign Languages Building,"Wade, M"
41,GER512,Applied LiteraryTranslation II,72207,Lecture-Discussion,A,03:30PM - 05:50PM,M,Location Pending,"Ivashkiv, R"
42,GER571,Medieval German Studies,39100,Lecture-Discussion,G,03:00PM - 04:50PM,R,1040 Foreign Languages Building,"Hoefig, V"
43,GER576,Open Seminar in German Studies,43209,Lecture-Discussion,S,03:00PM - 04:50PM,W,1120 Foreign Languages Building,"Niekerk, C"
