,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GLBL100,Intro to Global Studies,52239,Lecture-Discussion,A,01:00PM - 02:20PM,MW,144 Armory,"Leffingwell, S"
1,GLBL100,Intro to Global Studies,57933,Lecture-Discussion,B,01:00PM - 02:20PM,TR,143 Armory,"Casey, M"
2,GLBL100,Intro to Global Studies,60337,Lecture-Discussion,C,03:00PM - 04:20PM,TR,370 Armory,"Shin, H"
3,GLBL100,Intro to Global Studies,63491,Lecture-Discussion,D,03:30PM - 04:50PM,TR,143 Armory,"Casey, M"
4,GLBL100,Intro to Global Studies,66831,Lecture-Discussion,DGS,11:00AM - 12:20PM,TR,144 Armory,"Wedig, T"
5,GLBL100,Intro to Global Studies,69640,Lecture-Discussion,H,03:00PM - 04:20PM,MW,144 Armory,"Leffingwell, S"
6,GLBL118,Natural Disasters,46625,Lecture,A,11:00AM - 11:50AM,MWF,2079 Natural History Building,"Christie, M & Dendy, S"
7,GLBL130,Resistance Movements,73130,Lecture-Discussion,AA,12:00PM - 01:20PM,MW,215 Gregory Hall,"Bonatti, V & Jamal, M"
8,GLBL199,Undergraduate Open Seminar,62639,Conference,A,ARRANGED,n.a.,Location Pending,"Chih, D"
9,GLBL199,Undergraduate Open Seminar,68384,Independent Study,AW,ARRANGED,n.a.,n.a.,"Jamal, M"
10,GLBL200,Foundations of Research,58783,Lecture-Discussion,A,02:00PM - 03:20PM,TR,311 Gregory Hall,"Schrag, D"
11,GLBL225,Career Development:Internships,62077,Lecture-Discussion,A,04:00PM - 05:20PM,W,G30 Foreign Languages Building,"Jamal, M"
12,GLBL240,Global Health,73051,Online,A,09:00AM - 10:20AM,TR,n.a.,"Bonatti, V"
13,GLBL250,Development,58786,Online,A,02:00PM - 03:20PM,MW,n.a.,"Bonatti, V"
14,GLBL251,Warfare Milit Insts & Soc,34135,Lecture-Discussion,A,01:00PM - 01:50PM,MWF,1065 Lincoln Hall,"Lynn, J"
15,GLBL260,Global Human Rights,69479,Lecture-Discussion,A,03:30PM - 04:50PM,TR,144 Armory,"Schrag, D"
16,GLBL270,Introduction to Global Markets and Society,64101,Lecture-Discussion,A,02:00PM - 03:20PM,MW,259 English Building,"Fogelman, C"
17,GLBL272,Language and Culture in Turkey,70897,Online,A,11:00AM - 12:20PM,TR,n.a.,"Ozcan, A & Saadah, E"
18,GLBL280,Nuclear Weapons & Arms Control,38669,Lecture,A,02:00PM - 03:20PM,TR,144 Loomis Laboratory,"Grosse Perdekamp, M"
19,GLBL280,Nuclear Weapons & Arms Control,40898,Laboratory,L11,10:00AM - 10:50AM,M,4036 Campus Instructional Facility,"Rathod, S"
20,GLBL280,Nuclear Weapons & Arms Control,40899,Laboratory,L12,11:00AM - 11:50AM,M,4036 Campus Instructional Facility,"Sayad, M"
21,GLBL280,Nuclear Weapons & Arms Control,40901,Laboratory,L13,12:00PM - 12:50PM,M,4036 Campus Instructional Facility,"Upadhyaya, L"
22,GLBL280,Nuclear Weapons & Arms Control,40902,Laboratory,L14,01:00PM - 01:50PM,M,4036 Campus Instructional Facility,"Tate, A"
23,GLBL280,Nuclear Weapons & Arms Control,40903,Laboratory,L15,02:00PM - 02:50PM,M,4036 Campus Instructional Facility,"Bright, A"
24,GLBL280,Nuclear Weapons & Arms Control,40906,Laboratory,L16,03:00PM - 03:50PM,M,4036 Campus Instructional Facility,"Hoppesch, M"
25,GLBL280,Nuclear Weapons & Arms Control,40904,Laboratory,L17,04:00PM - 04:50PM,M,4036 Campus Instructional Facility,"Rathod, S"
26,GLBL296,Global St Foundation Seminar,62739,Lecture-Discussion,F,02:00PM - 04:00PM,F,137 Armory,"Kilgore, J"
27,GLBL296,Global St Foundation Seminar,60585,Lecture-Discussion,HS,03:00PM - 04:20PM,W,165 Noyes Laboratory,"Silverman, H"
28,GLBL296,Global St Foundation Seminar,60626,Lecture-Discussion,PD,04:00PM - 06:00PM,T,137 Armory,"Diehl, P"
29,GLBL296,Global St Foundation Seminar,63495,Lecture-Discussion,SCT,12:00PM - 01:50PM,M,Location Pending,"Fogelman, C"
30,GLBL298,Global Studies Seminar Abroad,54040,Lecture-Discussion,DD,05:00PM - 07:50PM,W,225 Temple Hoyne Buell Hall,"Salo, K"
31,GLBL298,Global Studies Seminar Abroad,67183,Lecture-Discussion,HS,05:00PM - 06:50PM,W,1057 Lincoln Hall,"Silverman, H"
32,GLBL340,Global Health: Policy & Governance,63807,Online,A,11:00AM - 12:15PM,TR,n.a.,"Bonatti, V"
33,GLBL357,Ethnic Conflict,47183,Lecture-Discussion,A,02:00PM - 03:20PM,TR,106 David Kinley Hall,"Diehl, P"
34,GLBL392,Int Diplomacy and Negotiation,56967,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,144 Armory,"Wedig, T"
35,GLBL392,Int Diplomacy and Negotiation,56964,Lecture,AL1,03:00PM - 03:50PM,MW,1028 Lincoln Hall,"Wedig, T"
36,GLBL403,Women in Muslim Societies,70417,Lecture-Discussion,G4,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
37,GLBL403,Women in Muslim Societies,70416,Lecture-Discussion,U3,12:30PM - 03:20PM,T,113 David Kinley Hall,"Erten, N"
38,GLBL450,Poverty Interventions and Evaluation,63496,Lecture-Discussion,A,12:30PM - 01:50PM,TR,312 Davenport Hall,"Fogelman, C"
39,GLBL480,Energy and Security,57050,Discussion/ Recitation,AD2,12:30PM - 01:50PM,R,218 Ceramics Building,"Uddin, R"
40,GLBL480,Energy and Security,34776,Lecture-Discussion,AE1,12:30PM - 01:50PM,T,403B2 Engineering Hall,"Uddin, R"
41,GLBL483,Seminar on Security,34792,Lecture-Discussion,A,04:00PM - 04:50PM,M,2036 Campus Instructional Facility,"Stubbins, J"
42,GLBL495,Research Methods II,52710,Lecture-Discussion,A,05:00PM - 06:20PM,W,1062 Lincoln Hall,"Schrag, D"
43,GLBL499,Special Topics,55131,Online,AB,05:30PM - 08:30PM,W,n.a.,"Fogelman, C & Jamal, M & Schrag, D & Wedig, T"
44,GLBL501,Perspectives on Global Studies,67919,Online,ZG,06:00PM - 07:50PM,M,n.a.,"Witt, S"
