,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GRK102,Elementary Greek II,33611,Lecture-Discussion,A,11:00AM - 11:50AM,MWF,1032 Foreign Languages Building,"Leon Ruiz, D"
1,GRK199,Undergraduate Open Seminar,10302,Independent Study,,ARRANGED,n.a.,n.a.,
2,GRK202,Classical & Koine Greek II,70669,Lecture-Discussion,A,09:30AM - 10:50AM,TR,1024 Foreign Languages Building,"Tzanetou, A"
3,GRK252,Elementary Modern Greek II,52756,Lecture-Discussion,AE1,01:00PM - 01:50PM,MW,Location Pending,"Hadjipolycarpou, M"
4,GRK401,Survey of Greek Literature,70670,Lecture-Discussion,A,09:30AM - 10:50AM,TR,1024 Foreign Languages Building,"Tzanetou, A"
5,GRK404,Intermediate Modern Greek II,54935,Lecture-Discussion,A,03:00PM - 03:50PM,MW,Location Pending,"Hadjipolycarpou, M"
6,GRK491,Readings in Greek Literature,40094,Lecture-Discussion,G,01:00PM - 01:50PM,MWF,393 Bevier Hall,"Traill, A"
7,GRK491,Readings in Greek Literature,33621,Lecture-Discussion,U,01:00PM - 01:50PM,MWF,393 Bevier Hall,"Traill, A"
8,GRK492,Senior Thesis,10306,Independent Study,,ARRANGED,n.a.,n.a.,
9,GRK493,Independent Reading,10313,Independent Study,,ARRANGED,n.a.,n.a.,
10,GRK599,Thesis Research,10316,Independent Study,,ARRANGED,n.a.,n.a.,
11,GRK599,Thesis Research,69887,Independent Study,ATZ,ARRANGED,n.a.,n.a.,"Tzanetou, A"
