,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GS101,Exploring General Studies,62727,Lecture-Discussion,001,03:00PM - 03:50PM,W,157 Noyes Laboratory,"Myers, M & Smothers, S"
1,GS102,Preparation for 21st Century Challenges,70727,Lecture-Discussion,EE1,09:30AM - 10:20AM,T,222 David Kinley Hall,"Singh, G & Watson, S"
2,GS102,Preparation for 21st Century Challenges,70728,Lecture-Discussion,EE2,09:00AM - 09:50AM,W,327 Gregory Hall,"Gutwein, C & Watson, S"
3,GS102,Preparation for 21st Century Challenges,70729,Lecture-Discussion,EE3,02:00PM - 02:50PM,W,222 David Kinley Hall,"Faulkner, A & Watson, S"
4,GS102,Preparation for 21st Century Challenges,70730,Lecture-Discussion,EE4,03:30PM - 04:20PM,R,223 David Kinley Hall,"Gutwein, C & Watson, S"
5,GS102,Preparation for 21st Century Challenges,70731,Lecture-Discussion,EE5,02:00PM - 02:50PM,F,149 Henry Administration Bldg,"Singh, G & Watson, S"
6,GS198,DGS Honors Seminar,65839,Lecture-Discussion,JS1,03:00PM - 03:50PM,W,160 English Building,"Smothers, S"
7,GS198,DGS Honors Seminar,65840,Lecture-Discussion,JS2,09:30AM - 10:20AM,T,160 English Building,"Smothers, S"
8,GS199,Undergraduate Open Seminar,70733,Lecture-Discussion,AS1,11:00AM - 12:15PM,T,209 David Kinley Hall,"Farr, T & Walk, A"
9,GS199,Undergraduate Open Seminar,70734,Lecture-Discussion,AS2,03:00PM - 04:15PM,W,219 Gregory Hall,"Farr, T & Walk, A"
10,GS299,DGS Study Abroad,53798,Study Abroad,A,ARRANGED,n.a.,n.a.,
