,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GSD101,Introduction to Game Studies and Design,71831,Discussion/ Recitation,AD1,04:00PM - 05:20PM,W,428 Armory,"Baird, D & Kim, A"
1,GSD101,Introduction to Game Studies and Design,71833,Discussion/ Recitation,AD2,04:00PM - 05:20PM,W,1002 Siebel Center for Design,"Kim, A & Zacks, T"
2,GSD101,Introduction to Game Studies and Design,71760,Online Lecture,AL,04:00PM - 05:20PM,M,n.a.,"Kim, A"
3,GSD103,The Basics of Game Design,71834,Laboratory,AB1,02:00PM - 03:50PM,T,"FAB LAB Art-East Annex, Studio 2","Butt, E"
4,GSD103,The Basics of Game Design,71835,Laboratory,AB2,10:00AM - 11:50AM,W,"FAB LAB Art-East Annex, Studio 2","Butt, E"
5,GSD103,The Basics of Game Design,71836,Laboratory,AB3,02:00PM - 03:50PM,R,"FAB LAB Art-East Annex, Studio 2","Butt, E"
6,GSD103,The Basics of Game Design,71759,Lecture,AL,10:00AM - 10:50AM,M,432 Armory,"Butt, E"
7,GSD199,Individual Study,71916,Independent Study,,ARRANGED,n.a.,n.a.,
8,GSD399,Advanced Individual Study,73170,Independent Study,,ARRANGED,n.a.,n.a.,
9,GSD405,Introduction to the Video Game Development Process,71851,Lecture-Discussion,A,12:30PM - 01:50PM,TR,209 Huff Hall,"Cermak, D"
