,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,GWS100,Intro Gender & Women's Studies,52480,Discussion/ Recitation,AD1,04:00PM - 04:50PM,R,311 Gregory Hall,"Gonzalez, A & Velez, E"
1,GWS100,Intro Gender & Women's Studies,52485,Discussion/ Recitation,AD2,05:00PM - 05:50PM,R,311 Gregory Hall,"Gonzalez, A & Velez, E"
2,GWS100,Intro Gender & Women's Studies,52489,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,321 Gregory Hall,"Velez, E & Wilson, M"
3,GWS100,Intro Gender & Women's Studies,52493,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,321 Gregory Hall,"Velez, E & Wilson, M"
4,GWS100,Intro Gender & Women's Studies,52469,Lecture,AL1,11:00AM - 11:50AM,MW,213 Gregory Hall,"Velez, E"
5,GWS103,Black Women in the Diaspora,44763,Lecture-Discussion,A,09:30AM - 10:50AM,TR,145 Armory,"McDuffie, E"
6,GWS199,Undergraduate Open Seminar,10354,Independent Study,,ARRANGED,n.a.,n.a.,
7,GWS201,"Race, Gender & Power",71805,Lecture-Discussion,DVB,03:30PM - 04:50PM,TR,166 Bevier Hall,"Vergara Bracamontes, D"
8,GWS202,Sexualities,61621,Discussion/ Recitation,AD1,05:00PM - 05:50PM,W,1026 Lincoln Hall,"McCarthy, D & Moussawi, G"
9,GWS202,Sexualities,61628,Discussion/ Recitation,AD2,04:00PM - 04:50PM,W,1026 Lincoln Hall,"McCarthy, D & Moussawi, G"
10,GWS202,Sexualities,61631,Discussion/ Recitation,AD3,03:30PM - 04:20PM,R,1064 Lincoln Hall,"Malo, G & Moussawi, G"
11,GWS202,Sexualities,61633,Discussion/ Recitation,AD4,04:30PM - 05:20PM,R,1064 Lincoln Hall,"Malo, G & Moussawi, G"
12,GWS202,Sexualities,71815,Discussion/ Recitation,AD5,03:30PM - 04:20PM,F,217 Gregory Hall,"Hernandez, J & Moussawi, G"
13,GWS202,Sexualities,71816,Online Discussion,AD6,04:30PM - 05:20PM,F,n.a.,"Hernandez, J & Moussawi, G"
14,GWS202,Sexualities,61611,Online,AL1,12:00PM - 12:50PM,MW,n.a.,"Moussawi, G"
15,GWS215,US Citizenship Comparatively,52320,Lecture-Discussion,A,01:00PM - 02:20PM,MW,115 David Kinley Hall,"Park, D"
16,GWS218,Intro to Social Issues Theatre,49364,Laboratory-Discussion,A,01:00PM - 02:50PM,MW,40 Allen Residence Hall,"Enslin, M"
17,GWS226,Black Women Contemp US Society,63816,Lecture-Discussion,DMC,02:00PM - 04:50PM,TR,2018 Campus Instructional Facility,
18,GWS230,Latina/o Genders & Sexualities,63776,Lecture-Discussion,A,09:30AM - 10:50AM,TR,103 1207 W Oregon,"Caraves, J"
19,GWS250,Gender and Representation,73467,Online,SC,10:00AM - 11:20AM,WF,n.a.,"Cate, S"
20,GWS280,Women Writers,49540,Online,Q,12:30PM - 01:45PM,TR,n.a.,"Baron, I"
21,GWS282,Feminist and Queer Activisms,71812,Online,MN,01:00PM - 02:20PM,MW,n.a.,"Cate, S"
22,GWS295,Beginning Topics GWS,55398,Lecture-Discussion,FN,04:00PM - 05:20PM,MW,1024 Lincoln Hall,"Ngo, F"
23,GWS305,"Theories of Race, Gender, and Sexuality",69049,Lecture-Discussion,A,10:00AM - 11:20AM,TR,320 Mumford Hall,"Sabherwal, S"
24,GWS320,Gender & Latina/o Migration,52855,Lecture-Discussion,A,12:30PM - 01:50PM,TR,103 1207 W Oregon,"Velasquez Estrada, R"
25,GWS343,Criminalization and Punishment,69449,Lecture-Discussion,A,03:30PM - 04:50PM,TR,106 David Kinley Hall,"Velasquez Estrada, R"
