,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,HDFS105,Intro to Human Development,33633,Discussion/ Recitation,ADA,09:00AM - 09:50AM,T,144 Bevier Hall,"Brooks, J & Hu, K"
1,HDFS105,Intro to Human Development,33636,Discussion/ Recitation,ADB,09:00AM - 09:50AM,T,103 Bevier Hall,"Brooks, J & Gong, Q"
2,HDFS105,Intro to Human Development,33638,Discussion/ Recitation,ADC,10:00AM - 10:50AM,T,144 Bevier Hall,"Brooks, J & Hu, K"
3,HDFS105,Intro to Human Development,33641,Discussion/ Recitation,ADD,10:00AM - 10:50AM,T,103 Bevier Hall,"Brooks, J & Gong, Q"
4,HDFS105,Intro to Human Development,33643,Discussion/ Recitation,ADE,11:00AM - 11:50AM,T,103 Bevier Hall,"Alexander, C & Brooks, J"
5,HDFS105,Intro to Human Development,33646,Discussion/ Recitation,ADF,11:00AM - 11:50AM,T,242 Bevier Hall,"Brooks, J & Krishnaswamy, M"
6,HDFS105,Intro to Human Development,33647,Discussion/ Recitation,ADG,12:00PM - 12:50PM,T,144 Bevier Hall,"Brooks, J & Krishnaswamy, M"
7,HDFS105,Intro to Human Development,33651,Discussion/ Recitation,ADH,12:00PM - 12:50PM,T,103 Bevier Hall,"Alexander, C & Brooks, J"
8,HDFS105,Intro to Human Development,33663,Online,AL1,ARRANGED,n.a.,n.a.,"Brooks, J"
9,HDFS105,Intro to Human Development,71674,Online,C1,ARRANGED,n.a.,n.a.,"Billington, A"
10,HDFS105,Intro to Human Development,70212,Online,C2,ARRANGED,n.a.,n.a.,"Cai, T"
11,HDFS120,Intro to Family Studies,33680,Discussion/ Recitation,AD1,09:00AM - 09:50AM,M,103 Bevier Hall,"Jimenez, V & Smith, S"
12,HDFS120,Intro to Family Studies,33683,Discussion/ Recitation,AD2,10:00AM - 10:50AM,M,103 Bevier Hall,"Jimenez, V & Smith, S"
13,HDFS120,Intro to Family Studies,33785,Lecture-Discussion,AE1,09:00AM - 10:50AM,F,160 English Building,"Smith, S"
14,HDFS120,Intro to Family Studies,58550,Online,C,ARRANGED,n.a.,n.a.,"Hughes, R"
15,HDFS140,Intro Gender & Women's Studies,52509,Discussion/ Recitation,AD1,04:00PM - 04:50PM,R,311 Gregory Hall,"Gonzalez, A & Velez, E"
16,HDFS140,Intro Gender & Women's Studies,52510,Discussion/ Recitation,AD2,05:00PM - 05:50PM,R,311 Gregory Hall,"Gonzalez, A & Velez, E"
17,HDFS140,Intro Gender & Women's Studies,52511,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,321 Gregory Hall,"Velez, E & Wilson, M"
18,HDFS140,Intro Gender & Women's Studies,52512,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,321 Gregory Hall,"Velez, E & Wilson, M"
19,HDFS140,Intro Gender & Women's Studies,52508,Lecture,AL1,11:00AM - 11:50AM,MW,213 Gregory Hall,"Velez, E"
20,HDFS199,Undergraduate Open Seminar,19307,Lecture-Discussion,JLH,11:00AM - 11:50AM,MWF,144 Bevier Hall,"Hardesty, J"
21,HDFS206,Early Childhood Curriculum Dev,33793,Laboratory,AB1,08:00AM - 11:50AM,M,109B Child Development Laboratory,"McBride, B & Yao, L"
22,HDFS206,Early Childhood Curriculum Dev,33794,Laboratory,AB2,08:00AM - 11:50AM,T,109B Child Development Laboratory,"McBride, B & Yao, L"
23,HDFS206,Early Childhood Curriculum Dev,33795,Laboratory,AB3,08:00AM - 11:50AM,W,109B Child Development Laboratory,"McBride, B & Yao, L"
24,HDFS206,Early Childhood Curriculum Dev,33796,Laboratory,AB4,08:00AM - 11:50AM,R,109B Child Development Laboratory,"McBride, B & Yao, L"
25,HDFS206,Early Childhood Curriculum Dev,33797,Laboratory,AB5,08:00AM - 11:50AM,F,109B Child Development Laboratory,"McBride, B & Yao, L"
26,HDFS206,Early Childhood Curriculum Dev,33802,Lecture-Discussion,AE1,04:00PM - 05:50PM,M,3 Christopher Hall,"Yao, L"
27,HDFS208,Child Fam with Special Needs,68553,Lecture-Discussion,A,12:30PM - 01:50PM,TR,132 Bevier Hall,"Brooks, J & Fanta Alarcon, A"
28,HDFS220,Families in Global Perspective,33807,Online Lecture,AL1,11:00AM - 12:20PM,TR,n.a.,"Codamon, A & Kramer, K & Sahin, E"
29,HDFS221,Asian Families in America,62167,Lecture-Discussion,A,05:15PM - 06:30PM,MW,132 Bevier Hall,"Balgopal, A"
30,HDFS221,Asian Families in America,73222,Lecture-Discussion,B,09:30AM - 10:45AM,TR,107 Animal Sciences Laboratory,"Chih, D"
31,HDFS225,Close Relationships,57315,Lecture-Discussion,A,09:30AM - 10:50AM,TR,242 Bevier Hall,"Maniotes, C"
32,HDFS259,Motor Development and Control,64875,Laboratory,AB1,02:00PM - 03:50PM,F,130 Freer Hall,"Andhale, J"
33,HDFS259,Motor Development and Control,64975,Laboratory,AB2,02:00PM - 03:50PM,T,130 Freer Hall,"Fang, H"
34,HDFS259,Motor Development and Control,66509,Laboratory,AB3,09:00AM - 10:50AM,F,450 Freer Hall,"Andhale, J"
35,HDFS259,Motor Development and Control,66510,Laboratory,AB4,10:00AM - 11:50AM,T,130 Freer Hall,"Fang, H"
36,HDFS259,Motor Development and Control,64876,Lecture,AL1,02:00PM - 02:50PM,MW,150 Animal Sciences Laboratory,"Hernandez, M"
37,HDFS262,"Motor Develop, Growth & Form",35178,Laboratory,AD1,11:00AM - 11:50AM,R,121A Freer Hall,"Skorin, N"
38,HDFS262,"Motor Develop, Growth & Form",35186,Lecture,AL1,10:00AM - 10:50AM,TR,450 Freer Hall,"Ison, S"
39,HDFS263,"Diversity in Recreation, Sport, and Tourism",62899,Online,A,ARRANGED,n.a.,n.a.,"Pazmino, J & Stodolska, M"
40,HDFS290,Intro to Research Methods,44214,Lecture-Discussion,AE1,09:00AM - 10:50AM,MW,7 Christopher Hall,"Hu, Y & Ju, S & McElwain, N"
41,HDFS291,HDFS Career Planning & Preparation,60165,Lecture-Discussion,A,03:30PM - 04:20PM,T,103 Bevier Hall,"Anderson, B"
42,HDFS294,Research Internship,10333,Independent Study,,ARRANGED,n.a.,n.a.,
43,HDFS295,Independent Study or Research,10336,Independent Study,,ARRANGED,n.a.,n.a.,
44,HDFS301,Infancy & Early Childhood,54385,Lecture,A,02:00PM - 03:50PM,TR,124 Burrill Hall,"Yao, L"
45,HDFS305,Middle Childhood,39480,Lecture-Discussion,A,12:30PM - 01:50PM,TR,166 Bevier Hall,"Aguirre, J & Tu, K"
46,HDFS310,Adult Development,61533,Lecture-Discussion,A,02:00PM - 03:20PM,MW,7 Christopher Hall,"Koerner, S & Rivas-Koehl, M"
47,HDFS322,US Latina and Latino Families,65153,Lecture-Discussion,A,02:00PM - 03:20PM,TR,242 Bevier Hall,"Munoz, L"
48,HDFS379,HDFS Study Abroad Experience,58551,Lecture-Discussion,SA,06:00PM - 07:50PM,T,Location Pending,"Brooks, J"
49,HDFS396,Honors Research or Thesis,10339,Independent Study,,ARRANGED,n.a.,n.a.,
50,HDFS398,Undergraduate Seminar,71852,Online Lecture,JB,09:00AM - 09:50AM,TRF,n.a.,"Brooks, J"
51,HDFS398,Undergraduate Seminar,71853,Lecture-Discussion,JK,04:00PM - 05:50PM,R,7 Christopher Hall,"Kramer, J"
52,HDFS404,Gerontology,62468,Lecture-Discussion,ASG,02:00PM - 03:20PM,TR,432 Armory,"Hernandez, M"
53,HDFS404,Gerontology,62467,Lecture-Discussion,ASU,02:00PM - 03:20PM,TR,432 Armory,"Hernandez, M"
54,HDFS405,Adolescent Development,70279,Lecture-Discussion,AL,10:00AM - 10:50AM,MWF,166 Bevier Hall,"Barton, A & Li, X"
55,HDFS408,Hospitalized Children,66795,Lecture-Discussion,AU2,11:00AM - 12:20PM,TR,7 Christopher Hall,"Hurth, E"
56,HDFS408,Hospitalized Children,66796,Lecture-Discussion,GR2,11:00AM - 12:20PM,TR,7 Christopher Hall,"Hurth, E"
57,HDFS420,"Inequality, Public Policy, and U.S. Families",33813,Lecture-Discussion,A,09:30AM - 10:50AM,TR,7 Christopher Hall,"Duran, N & Lleras, C"
58,HDFS420,"Inequality, Public Policy, and U.S. Families",44457,Lecture-Discussion,GR,09:30AM - 10:50AM,TR,7 Christopher Hall,"Duran, N & Lleras, C"
59,HDFS424,Racial and Ethnic Families,68794,Online,A,ARRANGED,n.a.,n.a.,"Barnett, B"
60,HDFS424,Racial and Ethnic Families,68795,Online,B,ARRANGED,n.a.,n.a.,"Barnett, B"
61,HDFS426,Family Conflict Management,33826,Discussion/ Recitation,A,11:00AM - 12:20PM,WF,7 Christopher Hall,"Thomann Mitchell, E"
62,HDFS426,Family Conflict Management,44460,Discussion/ Recitation,GR,11:00AM - 12:20PM,WF,7 Christopher Hall,"Thomann Mitchell, E"
63,HDFS444,"LGBT Indiv, Fam & Community",61591,Lecture-Discussion,A,04:00PM - 05:50PM,W,242 Bevier Hall,"Routon, J"
64,HDFS444,"LGBT Indiv, Fam & Community",61592,Lecture-Discussion,GR,04:00PM - 05:50PM,W,242 Bevier Hall,"Routon, J"
65,HDFS494,Applied Research Methods,57302,Laboratory-Discussion,SK,04:30PM - 05:50PM,T,7 Christopher Hall,"Koester, B"
66,HDFS503,Social-Emotional Development,70293,Lecture-Discussion,A,02:00PM - 04:50PM,R,3 Christopher Hall,"McElwain, N"
67,HDFS521,Family Theories,33828,Lecture-Discussion,A,02:00PM - 04:50PM,W,5 Christopher Hall,"Smith, S"
68,HDFS550,Advanced Practicum in HDFS,47857,Independent Study,,ARRANGED,n.a.,n.a.,
69,HDFS586,"Health and Leisure in Recreation, Sport and Tourism",70852,Lecture-Discussion,HL,02:00PM - 03:20PM,MW,3005 Huff Hall,"Liechty, T"
70,HDFS591,Qualitative Methods,70910,Lecture-Discussion,E,02:00PM - 04:50PM,R,5 Christopher Hall,"Cuthbertson, C & Park, S"
71,HDFS594,Intermed Statistical Analysis,65081,Lecture-Discussion,A,02:00PM - 04:50PM,T,"22 ACES Lib, Info & Alum Ctr","Freeman Bost, K & Hu, Y"
72,HDFS595,Seminar,65196,Lecture-Discussion,KB,02:00PM - 04:50PM,W,3 Christopher Hall,"Freeman Bost, K"
73,HDFS596,Advanced Studies in HDFS,10345,Independent Study,,ARRANGED,n.a.,n.a.,
74,HDFS598,Special Problems in HDFS,65959,Independent Study,,ARRANGED,n.a.,n.a.,
75,HDFS599,Thesis Research,65152,Independent Study,,ARRANGED,n.a.,n.a.,
